state,state_abbr,sector_abbr,year,observed_capacity_mw
Alabama,AL,com,2014,0.68313
Arizona,AZ,com,2014,144.6089835
Arkansas,AR,com,2014,0.7172415
California,CA,com,2014,825.06
Colorado,CO,com,2014,78.285
Connecticut,CT,com,2014,33.39916
Delaware,DE,com,2014,9.805
District of Columbia,DC,com,2014,1.37615
Florida,FL,com,2014,30.83464
Georgia,GA,com,2014,13.085
Idaho,ID,com,2014,0.1609195
Illinois,IL,com,2014,6.54175
Indiana,IN,com,2014,2.549
Iowa,IA,com,2014,6.871
Kansas,KS,com,2014,7.96081933333
Kentucky,KY,com,2014,0.1126435
Louisiana,LA,com,2014,0.4425
Maine,ME,com,2014,7.96081933333
Maryland,MD,com,2014,60.81533
Massachusetts,MA,com,2014,278.0674465
Michigan,MI,com,2014,3.0255
Minnesota,MN,com,2014,6.8775655
Mississippi,MS,com,2014,0.15
Missouri,MO,com,2014,27.198
Montana,MT,com,2014,0.091954
Nebraska,NE,com,2014,7.96081933333
Nevada,NV,com,2014,31.858464
New Hampshire,NH,com,2014,0.8065
New Jersey,NJ,com,2014,492.39
New Mexico,NM,com,2014,17.7958905
New York,NY,com,2014,85.774089
North Carolina,NC,com,2014,49.739
North Dakota,ND,com,2014,7.96081933333
Ohio,OH,com,2014,35.925
Oklahoma,OK,com,2014,0.052299
Oregon,OR,com,2014,18.465
Pennsylvania,PA,com,2014,85.689562
Rhode Island,RI,com,2014,0.0317085
South Carolina,SC,com,2014,0.182874
South Dakota,SD,com,2014,7.96081933333
Tennessee,TN,com,2014,24.01924
Texas,TX,com,2014,20.8595
Utah,UT,com,2014,4.1593835
Vermont,VT,com,2014,5.7635
Virginia,VA,com,2014,3.135
Washington,WA,com,2014,4.575
West Virginia,WV,com,2014,7.96081933333
Wisconsin,WI,com,2014,5.75555
Wyoming,WY,com,2014,0.063793
Alabama,AL,ind,2014,0.68313
Arizona,AZ,ind,2014,144.6089835
Arkansas,AR,ind,2014,0.7172415
California,CA,ind,2014,825.06
Colorado,CO,ind,2014,78.285
Connecticut,CT,ind,2014,33.39916
Delaware,DE,ind,2014,9.805
District of Columbia,DC,ind,2014,1.37615
Florida,FL,ind,2014,30.83464
Georgia,GA,ind,2014,13.085
Idaho,ID,ind,2014,0.1609195
Illinois,IL,ind,2014,6.54175
Indiana,IN,ind,2014,2.549
Iowa,IA,ind,2014,6.871
Kansas,KS,ind,2014,7.96081933333
Kentucky,KY,ind,2014,0.1126435
Louisiana,LA,ind,2014,0.4425
Maine,ME,ind,2014,7.96081933333
Maryland,MD,ind,2014,60.81533
Massachusetts,MA,ind,2014,278.0674465
Michigan,MI,ind,2014,3.0255
Minnesota,MN,ind,2014,6.8775655
Mississippi,MS,ind,2014,0.15
Missouri,MO,ind,2014,27.198
Montana,MT,ind,2014,0.091954
Nebraska,NE,ind,2014,7.96081933333
Nevada,NV,ind,2014,31.858464
New Hampshire,NH,ind,2014,0.8065
New Jersey,NJ,ind,2014,492.39
New Mexico,NM,ind,2014,17.7958905
New York,NY,ind,2014,85.774089
North Carolina,NC,ind,2014,49.739
North Dakota,ND,ind,2014,7.96081933333
Ohio,OH,ind,2014,35.925
Oklahoma,OK,ind,2014,0.052299
Oregon,OR,ind,2014,18.465
Pennsylvania,PA,ind,2014,85.689562
Rhode Island,RI,ind,2014,0.0317085
South Carolina,SC,ind,2014,0.182874
South Dakota,SD,ind,2014,7.96081933333
