year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2015,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2016,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2017,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2018,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2019,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2020,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2021,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2022,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2023,2792.5954461566216,1916.711920094111,1916.711920094111,31.61188421931047,19.585014473992967,19.585014473992967,0.0,0.0,0.0
2024,3153.6197393392217,1721.6542036692445,1721.6542036692445,29.8319479302532,17.6335925328598,17.6335925328598,0.0,0.0,0.0
2025,2948.6840823308335,1608.5293173596804,1608.5293173596804,28.100391587334762,16.702524127160274,16.702524127160274,0.0,0.0,0.0
2026,2743.7484253224447,1495.404431050116,1495.404431050116,26.36883524441632,15.771455721460747,15.771455721460747,0.0,0.0,0.0
2027,2538.8127683140565,1382.279544740552,1382.279544740552,24.637278901497883,14.84038731576122,14.84038731576122,0.0,0.0,0.0
2028,2333.877111305668,1269.1546584309876,1269.1546584309876,22.90572255857944,13.909318910061693,13.909318910061693,0.0,0.0,0.0
2029,2128.9414542972795,1156.0297721214235,1156.0297721214235,21.174166215661003,12.978250504362165,12.978250504362165,0.0,0.0,0.0
2030,1924.0057972888912,1042.9048858118592,1042.9048858118592,19.442609872742562,12.047182098662638,12.047182098662638,0.0,0.0,0.0
2031,1890.3688805571767,1021.8648867487036,1021.8648867487036,19.158402539703218,11.874013496927695,11.874013496927695,0.0,0.0,0.0
2032,1856.7319638254623,1000.824887685548,1000.824887685548,18.874195206663874,11.700844895192748,11.700844895192748,0.0,0.0,0.0
2033,1823.0950470937478,979.7848886223924,979.7848886223924,18.58998787362453,11.527676293457805,11.527676293457805,0.0,0.0,0.0
2034,1789.4581303620332,958.7448895592369,958.7448895592369,18.30578054058519,11.354507691722858,11.354507691722858,0.0,0.0,0.0
2035,1755.8212136303187,937.7048904960814,937.7048904960814,18.021573207545845,11.181339089987915,11.181339089987915,0.0,0.0,0.0
2036,1722.184296898604,916.6648914329256,916.6648914329256,17.7373658745065,11.00817048825297,11.00817048825297,0.0,0.0,0.0
2037,1688.5473801668895,895.6248923697701,895.6248923697701,17.45315854146716,10.835001886518025,10.835001886518025,0.0,0.0,0.0
2038,1654.910463435175,874.5848933066146,874.5848933066146,17.168951208427814,10.66183328478308,10.66183328478308,0.0,0.0,0.0
2039,1621.2735467034604,853.5448942434589,853.5448942434589,16.88474387538847,10.488664683048135,10.488664683048135,0.0,0.0,0.0
2040,1587.6366299717458,832.5048951803035,832.5048951803035,16.600536542349126,10.315496081313192,10.315496081313192,0.0,0.0,0.0
2041,1565.0811962385478,818.6229975176807,818.6229975176807,16.40995963192696,10.201241855329236,10.201241855329236,0.0,0.0,0.0
2042,1542.5257625053496,804.7410998550579,804.7410998550579,16.219382721504793,10.086987629345282,10.086987629345282,0.0,0.0,0.0
2043,1519.9703287721516,790.859202192435,790.859202192435,16.028805811082623,9.972733403361326,9.972733403361326,0.0,0.0,0.0
2044,1497.4148950389533,776.9773045298122,776.9773045298122,15.838228900660456,9.85847917737737,9.85847917737737,0.0,0.0,0.0
2045,1474.8594613057553,763.0954068671894,763.0954068671894,15.647651990238288,9.744224951393415,9.744224951393415,0.0,0.0,0.0
2046,1452.304027572557,749.2135092045665,749.2135092045665,15.45707507981612,9.629970725409459,9.629970725409459,0.0,0.0,0.0
2047,1429.748593839359,735.3316115419436,735.3316115419436,15.266498169393952,9.515716499425505,9.515716499425505,0.0,0.0,0.0
2048,1407.1931601061608,721.4497138793209,721.4497138793209,15.075921258971784,9.401462273441549,9.401462273441549,0.0,0.0,0.0
2049,1384.6377263729628,707.567816216698,707.567816216698,14.885344348549616,9.287208047457593,9.287208047457593,0.0,0.0,0.0
2050,1362.082292639764,693.685918554075,693.685918554075,14.694767438127442,9.172953821473635,9.172953821473635,0.0,0.0,0.0
