year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2015,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2016,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2017,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2018,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2019,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2020,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2021,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2022,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2023,2806.483322,1825.863792,1825.863792,29.78115829,18.38439326,18.38439326,0,0,0
2024,2665.822897,1745.424772,1745.424772,28.44153186,17.71016419,17.71016419,0,0,0
2025,2525.162472,1664.985752,1664.985752,27.10190543,17.03593512,17.03593512,0,0,0
2026,2384.502046,1584.546731,1584.546731,25.76227899,16.36170605,16.36170605,0,0,0
2027,2243.841621,1504.107711,1504.107711,24.42265256,15.68747697,15.68747697,0,0,0
2028,2103.181196,1423.668691,1423.668691,23.08302612,15.0132479,15.0132479,0,0,0
2029,1962.520771,1343.229671,1343.229671,21.74339969,14.33901883,14.33901883,0,0,0
2030,1821.860345,1262.79065,1262.79065,20.40377325,13.66478976,13.66478976,0,0,0
2031,1681.19992,1182.35163,1182.35163,19.06414682,12.99056068,12.99056068,0,0,0
2032,1540.539495,1101.91261,1101.91261,17.72452039,12.31633161,12.31633161,0,0,0
2033,1399.87907,1021.47359,1021.47359,16.38489395,11.64210254,11.64210254,0,0,0
2034,1259.218645,941.0345694,941.0345694,15.04526752,10.96787346,10.96787346,0,0,0
2035,1118.558219,860.5955492,860.5955492,13.70564108,10.29364439,10.29364439,0,0,0
2036,1102.152175,851.0057606,851.0057606,13.54939265,10.21326407,10.21326407,0,0,0
2037,1085.746131,841.415972,841.415972,13.39314422,10.13288375,10.13288375,0,0,0
2038,1069.340086,831.8261835,831.8261835,13.23689579,10.05250343,10.05250343,0,0,0
2039,1052.934042,822.2363949,822.2363949,13.08064736,9.972123108,9.972123108,0,0,0
2040,1036.527998,812.6466063,812.6466063,12.92439893,9.891742787,9.891742787,0,0,0
2041,1020.121953,803.0568177,803.0568177,12.7681505,9.811362466,9.811362466,0,0,0
2042,1003.715909,793.4670292,793.4670292,12.61190207,9.730982145,9.730982145,0,0,0
2043,987.3098649,783.8772406,783.8772406,12.45565364,9.650601824,9.650601824,0,0,0
2044,970.9038206,774.287452,774.287452,12.29940521,9.570221504,9.570221504,0,0,0
2045,954.4977763,764.6976634,764.6976634,12.14315678,9.489841183,9.489841183,0,0,0
2046,938.091732,755.1078749,755.1078749,11.98690835,9.409460862,9.409460862,0,0,0
2047,921.6856877,745.5180863,745.5180863,11.83065992,9.329080541,9.329080541,0,0,0
2048,905.2796434,735.9282977,735.9282977,11.67441149,9.24870022,9.24870022,0,0,0
2049,888.873599,726.3385092,726.3385092,11.51816306,9.168319899,9.168319899,0,0,0
2050,872.4675547,716.7487206,716.7487206,11.36191463,9.087939578,9.087939578,0,0,0
