year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2015,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2016,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2017,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2018,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2019,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2020,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2021,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2022,2947.143747,1906.302812,1906.302812,31.12078473,19.05862234,19.05862234,0,0,0
2023,2891.839681,1879.575475,1879.575475,30.59407802,18.83459739,18.83459739,0,0,0
2024,2836.535614,1852.848138,1852.848138,30.06737131,18.61057243,18.61057243,0,0,0
2025,2781.231547,1826.120802,1826.120802,29.5406646,18.38654748,18.38654748,0,0,0
2026,2725.927481,1799.393465,1799.393465,29.0139579,18.16252253,18.16252253,0,0,0
2027,2670.623414,1772.666128,1772.666128,28.48725119,17.93849758,17.93849758,0,0,0
2028,2615.319348,1745.938791,1745.938791,27.96054448,17.71447263,17.71447263,0,0,0
2029,2560.015281,1719.211454,1719.211454,27.43383777,17.49044768,17.49044768,0,0,0
2030,2504.711215,1692.484117,1692.484117,26.90713106,17.26642273,17.26642273,0,0,0
2031,2449.407148,1665.75678,1665.75678,26.38042435,17.04239778,17.04239778,0,0,0
2032,2394.103081,1639.029443,1639.029443,25.85371765,16.81837282,16.81837282,0,0,0
2033,2338.799015,1612.302106,1612.302106,25.32701094,16.59434787,16.59434787,0,0,0
2034,2283.494948,1585.574769,1585.574769,24.80030423,16.37032292,16.37032292,0,0,0
2035,2228.190882,1558.847432,1558.847432,24.27359752,16.14629797,16.14629797,0,0,0
2036,2184.758534,1531.446956,1531.446956,23.85995508,15.91663086,15.91663086,0,0,0
2037,2141.326186,1504.04648,1504.04648,23.44631265,15.68696375,15.68696375,0,0,0
2038,2097.893838,1476.646005,1476.646005,23.03267021,15.45729663,15.45729663,0,0,0
2039,2054.46149,1449.245529,1449.245529,22.61902777,15.22762952,15.22762952,0,0,0
2040,2011.029142,1421.845053,1421.845053,22.20538533,14.99796241,14.99796241,0,0,0
2041,1967.596794,1394.444577,1394.444577,21.79174289,14.7682953,14.7682953,0,0,0
2042,1924.164446,1367.044101,1367.044101,21.37810045,14.53862819,14.53862819,0,0,0
2043,1880.732098,1339.643625,1339.643625,20.96445801,14.30896107,14.30896107,0,0,0
2044,1837.299751,1312.243149,1312.243149,20.55081557,14.07929396,14.07929396,0,0,0
2045,1793.867403,1284.842673,1284.842673,20.13717314,13.84962685,13.84962685,0,0,0
2046,1750.435055,1257.442197,1257.442197,19.7235307,13.61995974,13.61995974,0,0,0
2047,1707.002707,1230.041721,1230.041721,19.30988826,13.39029262,13.39029262,0,0,0
2048,1663.570359,1202.641245,1202.641245,18.89624582,13.16062551,13.16062551,0,0,0
2049,1620.138011,1175.240769,1175.240769,18.48260338,12.9309584,12.9309584,0,0,0
2050,1576.705663,1147.840293,1147.840293,18.06896094,12.70129129,12.70129129,0,0,0
