year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,3096.324736,2464.680204,2464.680204,24.29,18.36025339,18.36025339,0,0,0
2015,3096.324736,2464.680204,2464.680204,24.29,18.36025339,18.36025339,0,0,0
2016,2931.783029,2180.198259,2180.198259,22.86,17.27422805,17.27422805,0,0,0
2017,2769.735246,1857.000226,1857.000226,23.42778178,17.93538039,17.93538039,0,0,0
2018,2639.797316,1810.013773,1810.013773,21.47546663,17.1022807,17.1022807,0,0,0
2019,2575.320233,1722.51361,1722.51361,20.60256186,16.99196057,16.99196057,0,0,0
2020,2510.84315,1622.867066,1622.867066,20.0867452,16.00898422,16.00898422,0,0,0
2021,2400.608248,1599.877327,1599.877327,19.20486599,15.78219893,15.78219893,0,0,0
2022,2290.373347,1562.907998,1562.907998,18.32298678,15.41751016,15.41751016,0,0,0
2023,2180.138446,1525.93867,1525.93867,17.44110756,15.05282139,15.05282139,0,0,0
2024,2069.903544,1488.969342,1488.969342,16.55922835,14.68813262,14.68813262,0,0,0
2025,1959.668643,1452.000013,1452.000013,15.67734914,14.32344385,14.32344385,0,0,0
2026,1849.433742,1415.030685,1415.030685,14.79546993,13.95875508,13.95875508,0,0,0
2027,1739.19884,1378.061357,1378.061357,13.91359072,13.59406631,13.59406631,0,0,0
2028,1628.963939,1341.092028,1341.092028,13.03171151,13.22937754,13.22937754,0,0,0
2029,1518.729038,1304.1227,1304.1227,12.1498323,12.86468877,12.86468877,0,0,0
2030,1408.494136,1267.153372,1267.153372,11.26795309,12.5,12.5,0,0,0
2031,1381.737284,1255.227634,1255.227634,11.05389827,12.382357,12.382357,0,0,0
2032,1354.980432,1243.301895,1243.301895,10.83984345,12.264714,12.264714,0,0,0
2033,1328.223579,1231.376157,1231.376157,10.62578863,12.14707099,12.14707099,0,0,0
2034,1301.466727,1219.450419,1219.450419,10.41173382,12.02942799,12.02942799,0,0,0
2035,1274.709875,1207.524681,1207.524681,10.197679,11.91178499,11.91178499,0,0,0
2036,1247.953022,1195.598943,1195.598943,9.983624179,11.79414199,11.79414199,0,0,0
2037,1221.19617,1183.673204,1183.673204,9.769569361,11.67649898,11.67649898,0,0,0
2038,1194.439318,1171.747466,1171.747466,9.555514542,11.55885598,11.55885598,0,0,0
2039,1167.682465,1159.821728,1159.821728,9.341459724,11.44121298,11.44121298,0,0,0
2040,1140.925613,1147.89599,1147.89599,9.127404905,11.32356998,11.32356998,0,0,0
2041,1129.443756,1134.478661,1134.478661,9.035550051,11.19121298,11.19121298,0,0,0
2042,1117.9619,1121.061331,1121.061331,8.943695197,11.05885598,11.05885598,0,0,0
2043,1106.480043,1107.644002,1107.644002,8.851840343,10.92649898,10.92649898,0,0,0
2044,1094.998186,1094.226673,1094.226673,8.759985489,10.79414199,10.79414199,0,0,0
2045,1083.516329,1080.809344,1080.809344,8.668130635,10.66178499,10.66178499,0,0,0
2046,1080.813064,1067.392014,1067.392014,8.646504508,10.52942799,10.52942799,0,0,0
2047,1078.109798,1053.974685,1053.974685,8.624878381,10.39707099,10.39707099,0,0,0
2048,1075.406532,1040.557356,1040.557356,8.603252254,10.264714,10.264714,0,0,0
2049,1072.703266,1027.140027,1027.140027,8.581626127,10.132357,10.132357,0,0,0
2050,1070,1013.722697,1013.722697,8.56,10,10,0,0,0
