year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2015,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2016,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2017,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2018,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2019,2796.245071,1812.523781,1812.523781,22,18,18,0,0,0
2020,2743.333,1783.562289,1783.562289,29.295962,18.778165,18.778165,0,0,0
2021,2650,1597.99419,1597.99419,28.97369585,17.92000868,17.92000868,0,0,0
2022,2609.491928,1585.804673,1585.804673,28.58406384,17.80609467,17.80609467,0,0,0
2023,2568.983855,1573.615156,1573.615156,28.19443182,17.69218067,17.69218067,0,0,0
2024,2528.475783,1561.425639,1561.425639,27.80479981,17.57826666,17.57826666,0,0,0
2025,2487.967711,1549.236122,1549.236122,27.41516779,17.46435266,17.46435266,0,0,0
2026,2447.459638,1538.225966,1538.225966,27.02553578,17.35043866,17.35043866,0,0,0
2027,2406.951566,1527.195976,1527.195976,26.63590376,17.23652465,17.23652465,0,0,0
2028,2366.443494,1516.146183,1516.146183,26.24627174,17.12261065,17.12261065,0,0,0
2029,2325.935421,1505.076617,1505.076617,25.85663973,17.00869664,17.00869664,0,0,0
2030,2285.427349,1493.987308,1493.987308,25.46700771,16.89478264,16.89478264,0,0,0
2031,2221.977412,1465.635899,1465.635899,24.85670648,16.63084246,16.63084246,0,0,0
2032,2158.527476,1437.28449,1437.28449,24.24640524,16.36690229,16.36690229,0,0,0
2033,2095.077539,1408.933081,1408.933081,23.636104,16.10296211,16.10296211,0,0,0
2034,2031.627603,1380.581672,1380.581672,23.02580276,15.83902194,15.83902194,0,0,0
2035,1968.177666,1352.230263,1352.230263,22.41550152,15.57508176,15.57508176,0,0,0
2036,1904.72773,1323.878854,1323.878854,21.80520029,15.31114159,15.31114159,0,0,0
2037,1841.277793,1295.527445,1295.527445,21.19489905,15.04720141,15.04720141,0,0,0
2038,1777.827856,1267.176036,1267.176036,20.58459781,14.78326124,14.78326124,0,0,0
2039,1714.37792,1238.824627,1238.824627,19.97429657,14.51932107,14.51932107,0,0,0
2040,1650.927983,1210.473219,1210.473219,19.36399534,14.25538089,14.25538089,0,0,0
2041,1587.478047,1182.12181,1182.12181,18.7536941,13.99144072,13.99144072,0,0,0
2042,1524.02811,1153.770401,1153.770401,18.14339286,13.72750054,13.72750054,0,0,0
2043,1460.578174,1125.418992,1125.418992,17.53309162,13.46356037,13.46356037,0,0,0
2044,1397.128237,1097.067583,1097.067583,16.92279039,13.19962019,13.19962019,0,0,0
2045,1333.678301,1068.716174,1068.716174,16.31248915,12.93568002,12.93568002,0,0,0
2046,1270.228364,1040.364765,1040.364765,15.70218791,12.67173984,12.67173984,0,0,0
2047,1206.778427,1012.013356,1012.013356,15.09188667,12.40779967,12.40779967,0,0,0
2048,1143.328491,983.6619474,983.6619474,14.48158544,12.14385949,12.14385949,0,0,0
2049,1079.878554,955.3105385,955.3105385,13.8712842,11.87991932,11.87991932,0,0,0
2050,1016.428618,926.9591296,926.9591296,13.26098296,11.61597914,11.61597914,0,0,0
