year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2015,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2016,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2017,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2018,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2019,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2020,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2021,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2022,3182.9957314709854,2058.2954411795413,2058.2954411795413,33.6112973923104,20.58383260163619,20.58383260163619,0.0,0.0,0.0
2023,2682.1846272586527,1845.2278596640967,1845.2278596640967,30.362045461474846,18.81068194789143,18.81068194789143,0.0,0.0,0.0
2024,2600.5763395800877,1794.7388271671873,1794.7388271671873,29.531747558093898,18.38700912724464,18.38700912724464,0.0,0.0,0.0
2025,2518.9680519015233,1744.2497946702779,1744.2497946702779,28.701449654712953,17.96333630659785,17.96333630659785,0.0,0.0,0.0
2026,2437.3597642229583,1693.7607621733682,1693.7607621733682,27.871151751332,17.539663485951056,17.539663485951056,0.0,0.0,0.0
2027,2355.751476544394,1643.271729676459,1643.271729676459,27.040853847951055,17.115990665304263,17.115990665304263,0.0,0.0,0.0
2028,2274.1431888658294,1592.7826971795494,1592.7826971795494,26.210555944570107,16.692317844657474,16.692317844657474,0.0,0.0,0.0
2029,2192.5349011872645,1542.29366468264,1542.29366468264,25.38025804118916,16.26864502401068,16.26864502401068,0.0,0.0,0.0
2030,2110.9266135087,1491.8046321857303,1491.8046321857303,24.549960137808213,15.844972203363888,15.844972203363888,0.0,0.0,0.0
2031,2029.3183258301353,1441.315599688821,1441.315599688821,23.71966223442726,15.421299382717098,15.421299382717098,0.0,0.0,0.0
2032,1947.7100381515709,1390.8265671919114,1390.8265671919114,22.88936433104632,14.997626562070305,14.997626562070305,0.0,0.0,0.0
2033,1866.1017504730064,1340.337534695002,1340.337534695002,22.05906642766537,14.573953741423516,14.573953741423516,0.0,0.0,0.0
2034,1784.493462794442,1289.8485021980925,1289.8485021980925,21.22876852428443,14.150280920776723,14.150280920776723,0.0,0.0,0.0
2035,1702.885175115879,1239.359469701182,1239.359469701182,20.3984706209035,13.726608100129923,13.726608100129923,0.0,0.0,0.0
2036,1669.897725033643,1218.682987346094,1218.682987346094,20.062850165919258,13.553103812818218,13.553103812818218,0.0,0.0,0.0
2037,1636.9102749514066,1198.006504991006,1198.006504991006,19.727229710935024,13.379599525506514,13.379599525506514,0.0,0.0,0.0
2038,1603.9228248691704,1177.330022635918,1177.330022635918,19.391609255950783,13.206095238194813,13.206095238194813,0.0,0.0,0.0
2039,1570.935374786934,1156.6535402808304,1156.6535402808304,19.055988800966546,13.032590950883108,13.032590950883108,0.0,0.0,0.0
2040,1537.947924704698,1135.9770579257422,1135.9770579257422,18.72036834598231,12.859086663571404,12.859086663571404,0.0,0.0,0.0
2041,1504.9604746224616,1115.3005755706542,1115.3005755706542,18.38474789099807,12.685582376259699,12.685582376259699,0.0,0.0,0.0
2042,1471.9730245402254,1094.6240932155665,1094.6240932155665,18.049127436013833,12.512078088947998,12.512078088947998,0.0,0.0,0.0
2043,1438.985574457989,1073.9476108604786,1073.9476108604786,17.713506981029596,12.338573801636294,12.338573801636294,0.0,0.0,0.0
2044,1405.998124375753,1053.2711285053906,1053.2711285053906,17.37788652604536,12.165069514324589,12.165069514324589,0.0,0.0,0.0
2045,1373.0106742935166,1032.5946461503024,1032.5946461503024,17.042266071061118,11.991565227012885,11.991565227012885,0.0,0.0,0.0
2046,1340.0232242112804,1011.9181637952145,1011.9181637952145,16.70664561607688,11.81806093970118,11.81806093970118,0.0,0.0,0.0
2047,1307.035774129044,991.2416814401265,991.2416814401265,16.371025161092643,11.644556652389475,11.644556652389475,0.0,0.0,0.0
2048,1274.048324046808,970.5651990850384,970.5651990850384,16.035404706108405,11.471052365077771,11.471052365077771,0.0,0.0,0.0
2049,1241.0608739645716,949.8887167299504,949.8887167299504,15.69978425112417,11.297548077766066,11.297548077766066,0.0,0.0,0.0
2050,1208.0734238823359,929.2122343748616,929.2122343748616,15.364163796139934,11.124043790454357,11.124043790454357,0.0,0.0,0.0
