year,economic_lifetime_yrs,loan_term_yrs_res,loan_interest_rate_res,down_payment_fraction_res,real_discount_rate_res,tax_rate_res,loan_term_yrs_nonres,loan_interest_rate_nonres,down_payment_fraction_nonres,real_discount_rate_nonres,tax_rate_nonres
2014,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2016,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2018,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2020,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2022,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2024,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2026,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2028,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2030,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2032,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2034,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2036,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2038,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2040,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2042,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2044,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2046,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2048,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
2050,30,30,0.012,1,0.027,0.257,30,0.012,1,0.027,0.257
