year,pv_kw_per_sqft_res,pv_kw_per_sqft_com,pv_kw_per_sqft_ind,pv_degradation_factor_res,pv_degradation_factor_com,pv_degradation_factor_ind
2014,0.013942594,0.013942594,0.013942594,0.005,0.005,0.005
2015,0.014407347,0.014407347,0.014407347,0.005,0.005,0.005
2016,0.0148721,0.0148721,0.0148721,0.005,0.005,0.005
2017,0.0148721,0.0148721,0.0148721,0.005,0.005,0.005
2018,0.0148721,0.0148721,0.0148721,0.005,0.005,0.005
2019,0.015336853,0.015336853,0.015336853,0.005,0.005,0.005
2020,0.015801606,0.015801606,0.015801606,0.005,0.005,0.005
2021,0.015801606,0.015801606,0.015801606,0.005,0.005,0.005
2022,0.015801606,0.015801606,0.015801606,0.005,0.005,0.005
2023,0.016266359,0.016266359,0.016266359,0.005,0.005,0.005
2024,0.016731112,0.016731112,0.016731112,0.005,0.005,0.005
2025,0.016731112,0.016731112,0.016731112,0.005,0.005,0.005
2026,0.016731112,0.016731112,0.016731112,0.005,0.005,0.005
2027,0.017195866,0.017195866,0.017195866,0.005,0.005,0.005
2028,0.017660619,0.017660619,0.017660619,0.005,0.005,0.005
2029,0.017660619,0.017660619,0.017660619,0.005,0.005,0.005
2030,0.017660619,0.017660619,0.017660619,0.005,0.005,0.005
2031,0.018125372,0.018125372,0.018125372,0.005,0.005,0.005
2032,0.018590125,0.018590125,0.018590125,0.005,0.005,0.005
2033,0.018590125,0.018590125,0.018590125,0.005,0.005,0.005
2034,0.018590125,0.018590125,0.018590125,0.005,0.005,0.005
2035,0.019054878,0.019054878,0.019054878,0.005,0.005,0.005
2036,0.019519631,0.019519631,0.019519631,0.005,0.005,0.005
2037,0.019519631,0.019519631,0.019519631,0.005,0.005,0.005
2038,0.019519631,0.019519631,0.019519631,0.005,0.005,0.005
2039,0.019984384,0.019984384,0.019984384,0.005,0.005,0.005
2040,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2041,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2042,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2043,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2044,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2045,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2046,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2047,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2048,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2049,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
2050,0.020449137,0.020449137,0.020449137,0.005,0.005,0.005
