pca,state
p2,WA
p1,WA
p1,WA
p1,WA
p2,WA
p3,WA
p4,WA
p3,WA
p2,WA
p5,OR
p5,OR
p5,OR
p5,OR
p6,OR
p6,OR
p5,OR
p5,OR
p7,OR
p7,OR
p9,CA
p8,CA
p9,CA
p9,CA
p9,CA
p9,CA
p9,CA
p9,CA
p10,CA
p9,CA
p10,CA
p10,CA
p11,CA
p10,CA
p12,NV
p12,NV
p12,NV
p12,NV
p12,NV
p12,NV
p13,NV
p14,ID
p15,ID
p15,ID
p15,ID
p15,ID
p16,ID
p16,ID
p25,UT
p25,UT
p26,UT
p25,UT
p25,UT
p27,AZ
p28,AZ
p29,AZ
p28,AZ
p28,AZ
p30,AZ
p28,AZ
p17,MT
p17,MT
p17,MT
p17,MT
p18,MT
p18,MT
p20,MT
p18,MT
p19,MT
p20,MT
p21,WY
p21,WY
p22,WY
p23,WY
p24,WY
p33,CO
p33,CO
p34,CO
p34,CO
p33,CO
p33,CO
p33,CO
p33,CO
p34,CO
p34,CO
p33,CO
p34,CO
p34,CO
p31,NM
p31,NM
p31,NM
p31,NM
p31,NM
p31,NM
p59,TX
p32,SD
p35,MT
p36,ND
p36,ND
p37,ND
p36,ND
p36,ND
p37,ND
p37,ND
p38,SD
p38,SD
p38,SD
p38,SD
p38,SD
p38,SD
p38,SD
p38,SD
p38,SD
p38,SD
p39,NE
p39,NE
p40,NE
p40,NE
p40,NE
p41,NE
p42,MN
p43,MN
p44,MN
p44,MN
p43,MN
p43,MN
p43,MN
p43,MN
p43,MN
p46,WI
p46,WI
p46,WI
p45,IA
p69,IA
p45,IA
p52,KS
p53,KS
p53,KS
p53,KS
p53,KS
p53,KS
p53,KS
p53,KS
p53,KS
p54,MO
p54,MO
p55,MO
p55,MO
p47,NM
p48,TX
p48,TX
p57,TX
p49,OK
p50,OK
p50,OK
p50,OK
p50,OK
p51,OK
p50,OK
p56,AR
p56,AR
p58,LA
p58,LA
p61,TX
p62,TX
p60,TX
p61,TX
p63,TX
p63,TX
p63,TX
p63,TX
p64,TX
p65,TX
p65,TX
p65,TX
p67,TX
p68,MN
p69,IA
p70,IA
p70,IA
p70,IA
p70,IA
p70,IA
p70,IA
p71,MO
p72,MO
p73,MO
p84,MO
p84,MO
p72,MO
p72,MO
p74,MI
p75,WI
p76,WI
p77,WI
p78,WI
p76,WI
p75,WI
p79,WI
p80,IL
p81,IL
p81,IL
p81,IL
p82,IL
p81,IL
p81,IL
p80,IL
p80,IL
p83,IL
p83,IL
p83,IL
p103,MI
p103,MI
p104,MI
p103,MI
p103,MI
p103,MI
p103,MI
p103,MI
p105,IN
p105,IN
p105,IN
p105,IN
p106,IN
p107,IN
p105,IN
p105,IN
p111,OH
p112,OH
p112,OH
p113,OH
p114,OH
p112,OH
p112,OH
p111,OH
p112,OH
p108,KY
p109,KY
p109,KY
p109,KY
p109,KY
p109,KY
p110,KY
p118,VA
p118,VA
p118,VA
p117,WV
p117,WV
p117,WV
p116,WV
p116,WV
p115,PA
p115,PA
p121,MD
p120,PA
p119,PA
p66,TX
p85,AR
p85,AR
p85,AR
p86,LA
p58,LA
p87,MS
p88,MS
p87,MS
p89,AL
p89,AL
p90,AL
p90,AL
p91,FL
p91,FL
p91,FL
p94,GA
p94,GA
p94,GA
p94,GA
p92,TN
p92,TN
p92,TN
p92,TN
p92,TN
p92,TN
p92,TN
p92,TN
p92,TN
p92,TN
p93,KY
p93,KY
p97,NC
p97,NC
p97,NC
p98,NC
p98,NC
p98,NC
p98,NC
p95,SC
p96,SC
p96,SC
p96,SC
p96,SC
p99,VA
p100,VA
p99,VA
p99,VA
p99,VA
p99,VA
p99,VA
p99,VA
p116,WV
p101,FL
p101,FL
p101,FL
p101,FL
p102,FL
p124,VA
p123,MD
p123,MD
p123,MD
p125,DE
p125,DE
p122,PA
p122,PA
p122,PA
p122,PA
p122,PA
p122,PA
p122,PA
p122,PA
p126,NJ
p126,NJ
p126,NJ
p126,NJ
p126,NJ
p127,NY
p127,NY
p127,NY
p127,NY
p127,NY
p127,NY
p127,NY
p127,NY
p127,NY
p128,NY
p132,CT
p132,CT
p133,RI
p133,RI
p131,MA
p131,MA
p131,MA
p129,VT
p129,VT
p129,VT
p130,NH
p130,NH
p134,ME
p134,ME
