year,capital_cost_dollars_per_kw,inverter_cost_dollars_per_kw,fixed_om_dollars_per_kw_per_yr,variable_om_dollars_per_kwh,sector
2014,3756.034423828125,280,0,0,res
2016,3303.0400390625,260,0,0,res
2018,3098.728271484375,240,0,0,res
2020,2894.41650390625,220,0,0,res
2022,2720.75146484375,210,0,0,res
2024,2547.086669921875,200,0,0,res
2026,2386.446533203125,190,0,0,res
2028,2238.831298828125,190,0,0,res
2030,2091.216064453125,190,0,0,res
2032,2059.84765625,190,0,0,res
2034,2028.4794921875,190,0,0,res
2036,1997.1112060546875,190,0,0,res
2038,1965.7430419921875,190,0,0,res
2040,1934.374755859375,180,0,0,res
2042,1903.0064697265625,180,0,0,res
2044,1871.6383056640625,180,0,0,res
2046,1840.27001953125,180,0,0,res
2048,1808.90185546875,180,0,0,res
2050,1777.5335693359375,180,0,0,res
2014,2649.861572265625,180,0,0,com
2016,2212.035888671875,170,0,0,com
2018,2075.208984375,160,0,0,com
2020,1938.3819580078125,165,0,0,com
2022,1860.8466796875,150,0,0,com
2024,1783.3114013671875,140,0,0,com
2026,1727.098388671875,130,0,0,com
2028,1692.20751953125,130,0,0,com
2030,1657.316650390625,130,0,0,com
2032,1649.030029296875,130,0,0,com
2034,1640.743408203125,130,0,0,com
2036,1632.4569091796875,130,0,0,com
2038,1624.1702880859375,130,0,0,com
2040,1615.8836669921875,120,0,0,com
2042,1607.59716796875,120,0,0,com
2044,1599.310546875,120,0,0,com
2046,1591.02392578125,120,0,0,com
2048,1582.7373046875,120,0,0,com
2050,1574.4508056640625,120,0,0,com
2014,2649.861572265625,180,0,0,ind
2016,2212.035888671875,170,0,0,ind
2018,2075.208984375,160,0,0,ind
2020,1938.3819580078125,165,0,0,ind
2022,1860.8466796875,150,0,0,ind
2024,1783.3114013671875,140,0,0,ind
2026,1727.098388671875,130,0,0,ind
2028,1692.20751953125,130,0,0,ind
2030,1657.316650390625,130,0,0,ind
2032,1649.030029296875,130,0,0,ind
2034,1640.743408203125,130,0,0,ind
2036,1632.4569091796875,130,0,0,ind
2038,1624.1702880859375,130,0,0,ind
2040,1615.8836669921875,120,0,0,ind
2042,1607.59716796875,120,0,0,ind
2044,1599.310546875,120,0,0,ind
2046,1591.02392578125,120,0,0,ind
2048,1582.7373046875,120,0,0,ind
2050,1574.4508056640625,120,0,0,ind
