State,Sector,capacity_mw,number_of_projects
Alabama,Residential,0.076070914,40.14203616
Alaska,Residential,8.931875178,4713.281825
Arizona,Residential,2.389680107,1261.01581
Arkansas,Residential,0.676245428,356.8495105
California,Residential,10.21745883,5391.674429
Colorado,Residential,1.653038612,872.2957599
Connecticut,Residential,0.557018845,293.9345597
DC,Residential,0.002778374,1.466126588
Delaware,Residential,0.21043874,111.0469043
Florida,Residential,0.245676755,129.6417338
Georgia,Residential,0.111134952,58.64505929
Hawaii,Residential,0.539811689,284.8544759
Idaho,Residential,2.168755757,1144.43573
Illinois,Residential,2.334816501,1232.064707
Indiana,Residential,1.211254104,639.1694733
Iowa,Residential,14.90994389,7867.862699
Kansas,Residential,4.010294561,2116.201591
Kentucky,Residential,0.206019336,108.7148188
Louisiana,Residential,0.0486368,25.66526523
Maine,Residential,2.650216361,1398.498787
Maryland,Residential,1.274210592,672.3911278
Massachusetts,Residential,4.175430841,2203.342736
Michigan,Residential,3.846245575,2029.634203
Minnesota,Residential,8.234205402,4345.126851
Mississippi,Residential,0.034556589,18.2352462
Missouri,Residential,1.026439465,541.64421
Montana,Residential,2.754425006,1453.488888
Nebraska,Residential,1.222752185,645.2369222
Nevada,Residential,12.37792508,6531.73585
New Hampshire,Residential,0.381429238,201.2772748
New Jersey,Residential,1.873614112,988.6917545
New Mexico,Residential,0.382264534,201.7180541
New York,Residential,5.185546339,2736.372914
North Carolina,Residential,0.305454625,161.186056
North Dakota,Residential,0.336544698,177.5920483
Ohio,Residential,9.464409783,4994.296239
Oklahoma,Residential,1.205974341,636.383383
Oregon,Residential,1.360635474,717.9968732
Pennsylvania,Residential,2.686948741,1417.882182
PR-VI,Residential,0.103057866,54.38284314
Rhode Island,Residential,0.624183789,329.376984
South Carolina,Residential,0.030713707,16.20738692
South Dakota,Residential,0.915896199,483.3113789
Tennessee,Residential,0.14730164,77.72994234
Texas,Residential,8.303364757,4381.62171
Utah,Residential,0.352491398,186.0069993
Vermont,Residential,1.835214778,968.4287213
Virginia,Residential,0.979877306,517.0737169
Washington,Residential,2.301329374,1214.393808
West Virginia,Residential,0.12637036,66.68466689
Wisconsin,Residential,8.638421778,4558.428723
Wyoming,Residential,2.626558333,1386.014628
Alabama,Commercial,0,0
Alaska,Commercial,1.133777736,1.814044378
Arizona,Commercial,1.030707033,1.649131253
Arkansas,Commercial,0,0
California,Commercial,6.081171494,9.72987439
Colorado,Commercial,0.92763633,1.484218128
Connecticut,Commercial,0,0
DC,Commercial,0,0
Delaware,Commercial,0,0
Florida,Commercial,0,0
Georgia,Commercial,0,0
Hawaii,Commercial,0,0
Idaho,Commercial,0.206141407,0.329826251
Illinois,Commercial,5.359676571,8.575482514
Indiana,Commercial,5.771959384,9.235135014
Iowa,Commercial,7.833373449,12.53339752
Kansas,Commercial,1.030707033,1.649131253
Kentucky,Commercial,0,0
Louisiana,Commercial,0,0
Maine,Commercial,0.61842422,0.989478752
Maryland,Commercial,0,0
Massachusetts,Commercial,6.184242197,9.894787515
Michigan,Commercial,0.30921211,0.494739376
Minnesota,Commercial,27.10759496,43.37215194
Mississippi,Commercial,0,0
Missouri,Commercial,0,0
Montana,Commercial,2.267555472,3.628088755
Nebraska,Commercial,0,0
Nevada,Commercial,0,0
New Hampshire,Commercial,1.442989846,2.308783754
New Jersey,Commercial,0,0
New Mexico,Commercial,0,0
New York,Commercial,0.92763633,1.484218128
North Carolina,Commercial,0,0
North Dakota,Commercial,1.752201956,2.80352313
Ohio,Commercial,8.245656262,13.19305002
Oklahoma,Commercial,0,0
Oregon,Commercial,3.607474615,5.771959384
Pennsylvania,Commercial,0,0
PR-VI,Commercial,0,0
Rhode Island,Commercial,1.236848439,1.978957502
South Carolina,Commercial,0,0
South Dakota,Commercial,0.824565626,1.319305002
Tennessee,Commercial,0,0
Texas,Commercial,11.33777736,18.14044378
Utah,Commercial,0.721494923,1.154391877
Vermont,Commercial,0,0
Virginia,Commercial,0,0
Washington,Commercial,4.638181648,7.421090637
West Virginia,Commercial,0,0
Wisconsin,Commercial,0,0
Wyoming,Commercial,1.339919143,2.143870629
Alabama,Industrial,0,0
Alaska,Industrial,0,0
Arizona,Industrial,0,0
Arkansas,Industrial,0,0
California,Industrial,51.43228094,30.98330177
Colorado,Industrial,18.65579729,11.2384321
Connecticut,Industrial,0,0
DC,Industrial,0,0
Delaware,Industrial,2.061414066,1.241815702
Florida,Industrial,0,0
Georgia,Industrial,0,0
Hawaii,Industrial,0,0
Idaho,Industrial,0,0
Illinois,Industrial,14.42989846,8.692709916
Indiana,Industrial,0,0
Iowa,Industrial,100.8031478,60.72478783
Kansas,Industrial,0,0
Kentucky,Industrial,0,0
Louisiana,Industrial,0,0
Maine,Industrial,4.638181648,2.79408533
Maryland,Industrial,0,0
Massachusetts,Industrial,53.08141219,31.97675433
Michigan,Industrial,0,0
Minnesota,Industrial,92.24827944,55.57125267
Mississippi,Industrial,0,0
Missouri,Industrial,0,0
Montana,Industrial,6.699595713,4.035901032
Nebraska,Industrial,4.122828131,2.483631404
Nevada,Industrial,0,0
New Hampshire,Industrial,0,0
New Jersey,Industrial,9.276363295,5.58817066
New Mexico,Industrial,1.546060549,0.931361777
New York,Industrial,3.401333208,2.048995908
North Carolina,Industrial,0,0
North Dakota,Industrial,4.638181648,2.79408533
Ohio,Industrial,16.18210041,9.748253259
Oklahoma,Industrial,0,0
Oregon,Industrial,0,0
Pennsylvania,Industrial,3.298262505,1.986905123
PR-VI,Industrial,0,0
Rhode Island,Industrial,7.730302746,4.656808883
South Carolina,Industrial,0,0
South Dakota,Industrial,1.546060549,0.931361777
Tennessee,Industrial,0,0
Texas,Industrial,166.1499737,100.0903456
Utah,Industrial,0,0
Vermont,Industrial,10.30707033,6.209078512
Virginia,Industrial,0,0
Washington,Industrial,6.184242197,3.725447107
West Virginia,Industrial,0,0
Wisconsin,Industrial,18.44965589,11.11425054
Wyoming,Industrial,2.061414066,1.241815702
