nerc_region_abbr,nerc_region_desc,sector,year,load_multiplier,scenario,sector_abbr
TRE,Texas Reliability Entity,Residential,2018,1,AEO2022 Reference case,res
TRE,Texas Reliability Entity,Commercial,2018,1,AEO2022 Reference case,com
TRE,Texas Reliability Entity,Industrial,2018,1,AEO2022 Reference case,ind
TRE,Texas Reliability Entity,Residential,2018,1,AEO2023 High Oil Price,res
TRE,Texas Reliability Entity,Commercial,2018,1,AEO2023 High Oil Price,com
TRE,Texas Reliability Entity,Industrial,2018,1,AEO2023 High Oil Price,ind
FRCC,Florida Reliability Coordinating Council,Residential,2018,1,AEO2022 Reference case,res
FRCC,Florida Reliability Coordinating Council,Commercial,2018,1,AEO2022 Reference case,com
FRCC,Florida Reliability Coordinating Council,Industrial,2018,1,AEO2022 Reference case,ind
FRCC,Florida Reliability Coordinating Council,Industrial,2018,1,AEO2023 High Economic Growth,ind
TRE,Texas Reliability Entity,Residential,2020,1,AEO2022 Reference case,res
MISW,Midcontinent / West,Residential,2018,1,AEO2022 Reference case,res
MISW,Midcontinent / West,Commercial,2018,1,AEO2022 Reference case,com
MISW,Midcontinent / West,Industrial,2018,1,AEO2022 Reference case,ind
MISW,Midcontinent / West,Residential,2018,1,AEO2023 High Oil Price,res
MISW,Midcontinent / West,Commercial,2018,1,AEO2023 High Oil Price,com
MISW,Midcontinent / West,Industrial,2018,1,AEO2023 High Oil Price,ind
MISC,Midcontinent / Central,Residential,2018,1,AEO2022 Reference case,res
TRE,Texas Reliability Entity,Commercial,2020,1,AEO2022 Reference case,com
MISC,Midcontinent / Central,Commercial,2018,1,AEO2022 Reference case,com
MISC,Midcontinent / Central,Industrial,2018,1,AEO2022 Reference case,ind
MISC,Midcontinent / Central,Residential,2018,1,AEO2023 High Oil Price,res
MISC,Midcontinent / Central,Commercial,2018,1,AEO2023 High Oil Price,com
MISC,Midcontinent / Central,Industrial,2018,1,AEO2023 High Oil Price,ind
TRE,Texas Reliability Entity,Industrial,2020,1,AEO2022 Reference case,ind
MISE,Midcontinent / East,Residential,2018,1,AEO2022 Reference case,res
MISE,Midcontinent / East,Commercial,2018,1,AEO2022 Reference case,com
FRCC,Florida Reliability Coordinating Council,Residential,2020,1,AEO2022 Reference case,res
MISE,Midcontinent / East,Industrial,2018,1,AEO2022 Reference case,ind
MISE,Midcontinent / East,Residential,2018,1,AEO2023 High Oil Price,res
MISE,Midcontinent / East,Commercial,2018,1,AEO2023 High Oil Price,com
MISE,Midcontinent / East,Industrial,2018,1,AEO2023 High Oil Price,ind
MISS,Midcontinent / South,Residential,2018,1,AEO2022 Reference case,res
MISS,Midcontinent / South,Commercial,2018,1,AEO2022 Reference case,com
MISS,Midcontinent / South,Industrial,2018,1,AEO2022 Reference case,ind
MISS,Midcontinent / South,Residential,2018,1,AEO2023 High Oil Price,res
MISS,Midcontinent / South,Commercial,2018,1,AEO2023 High Oil Price,com
ISNE,Northeast Power Coordinating Council / New England,Residential,2018,1,AEO2022 Reference case,res
ISNE,Northeast Power Coordinating Council / New England,Residential,2018,1,AEO2023 High Oil Price,res
