state_abbr,county,res1f,res2f,res3af,res3bf,res3cf,res3df,res3ef,res3ff,res4f,res5f,res6f,com1f,com2f,com3f,com4f,com5f,com6f,com7f,com8f,com9f,com10f,ind1f,ind2f,ind3f,ind4f,ind5f,ind6f,agr1f,rel1f,gov1f,gov2f,edu1f,edu2f
CO,063,3872.29895020,487.54998779,26.04000092,100.44000245,39.73900032,90.83199692,55.14799880,0.00000000,62.47699928,142.30000591,11.91200018,456.29398728,247.53599930,205.24299622,197.69400596,17.22699928,41.31800079,66.29299903,98.75900078,0.00000000,0.00000000,18.39999998,22.83999968,15.00000000,2.35199999,0.00000000,79.54699850,406.46998978,86.30599976,64.43700147,19.61599922,180.08099938,7.48999977
CO,061,985.95800781,73.62999725,5.57999992,0.00000000,11.35400009,0.00000000,0.00000000,0.00000000,4.92199993,9.80000019,0.00000000,29.37999916,24.36599922,12.42099953,15.91100025,3.21000004,20.65099907,2.56800008,0.00000000,0.00000000,0.00000000,0.00000000,2.50000000,4.19999981,4.35599995,0.00000000,7.66300011,92.61699677,18.42399979,7.46999979,6.86499977,44.40499878,1.92600000
CO,091,4086.60009766,260.69000244,81.83999634,59.52000046,79.47799683,0.00000000,0.00000000,0.00000000,234.34100342,0.00000000,1.24800003,165.78999329,55.96799850,36.04000092,184.50700378,10.05799961,22.79100037,22.66799927,119.04299927,7.48999977,0.00000000,44.32199860,30.78199959,14.12899971,5.54199982,0.00000000,106.90000153,53.26300049,72.32900238,17.99099922,2.14000010,38.46500015,0.00000000
CO,009,2520.84997559,269.64499664,20.46000052,44.63999820,11.35400009,0.00000000,0.00000000,0.00000000,28.73299980,51.99999809,33.38399935,283.16900635,67.79100228,48.44500160,68.12000084,15.94299984,60.13399887,15.75600005,31.98099947,4.70800018,0.00000000,4.09999990,9.66099977,3.70000005,4.69999981,0.00000000,23.46500015,236.93799972,53.98200130,22.04600048,0.00000000,71.04800034,0.00000000
CO,039,14049.03015136,453.72000313,46.50000024,44.64000130,11.35400010,11.35400009,0.00000000,0.00000000,45.21900009,30.09999990,14.30199982,286.52699947,221.36500168,213.80799865,522.22800253,15.08700037,0.00000000,41.87500072,116.96600067,2.14000010,0.00000000,75.88100052,108.02300167,33.64099980,1.20000005,0.00000000,478.12201310,278.23099708,138.73399926,41.05699921,41.30199933,180.54199696,0.00000000
CO,085,20120.24975587,2950.17496966,213.90000034,286.44000149,431.45201111,136.24800110,193.01799964,182.47500229,192.33399939,299.59999609,53.82100129,1165.86100674,567.54300498,1316.38999462,1057.44200898,80.27300072,203.35299683,247.14800377,341.30200243,10.59299993,0.00000000,304.57700182,236.15999793,76.93599987,43.25700081,0.00000000,652.78298951,377.14400721,341.83400249,196.23600363,41.83699960,250.36500238,5.67100000
CO,101,77580.31127933,3887.46501875,1846.98000623,2652.35998536,1407.89599416,1067.27600477,1020.23797794,1581.45001982,451.45299459,1823.49999009,257.33300209,4019.73897476,2514.17296567,1947.04899938,3328.15098231,212.00999641,802.60601282,818.27200338,1434.67900157,71.26099861,0.00000000,720.33701433,437.80400084,295.68700194,93.24199706,5.70000005,1445.95900225,405.59300393,1846.53497462,547.96000511,69.00800083,968.08400440,120.58899975
CO,069,155532.92698673,5436.68001458,3414.96000816,4839.72000983,5535.07499693,5234.19400783,2426.51197233,2372.17503736,1448.19100272,3820.30002882,599.39999809,7149.38297417,3778.33500196,3551.58300781,8647.64590929,342.00099648,947.83698606,1711.69701653,2963.16399953,131.00100056,0.00000000,2160.55197691,2876.78498465,548.34400763,154.57300041,511.77799568,3590.38602037,1610.87099648,2338.47001793,727.79198413,148.23500157,1426.44998121,512.53100537
CO,057,1497.78002930,243.77499390,9.30000019,29.76000023,22.70800018,0.00000000,0.00000000,0.00000000,35.41699982,0.80000001,0.00000000,69.75299835,34.40800095,16.72400093,28.60799980,4.17299986,0.00000000,4.06599998,23.37999916,0.00000000,0.00000000,16.52899933,6.80000019,7.80000019,4.60799980,0.00000000,17.62000084,46.74800110,10.68799973,30.08600044,10.68000031,13.05399990,0.00000000
CO,043,20307.82604980,2733.26498507,375.72000502,368.27999688,437.12900926,136.24800108,165.44399833,304.12500763,239.11800206,1159.90001201,188.51100327,794.04399301,460.65400147,539.78901289,794.30899715,51.13500047,112.34999847,163.44800110,352.20100403,3.53099990,0.00000000,249.95700026,470.12899543,6.40000021,11.10799980,2.00000000,423.65799808,190.80899906,430.69900214,313.34500097,34.31100082,223.97999906,0.00000000
