county_id,county,state,state_abbr,division,region,recs_2009_reportable_domain,state_fips,county_fips
2271,Allegan,Michigan,MI,East North Central,Midwest,8,26,005
803,Tulsa,Oklahoma,OK,West South Central,South,20,40,143
1438,Gonzales,Texas,TX,West South Central,South,21,48,177
1439,Guadalupe,Texas,TX,West South Central,South,21,48,187
1720,Marion,Georgia,GA,South Atlantic,South,15,13,197
1440,Karnes,Texas,TX,West South Central,South,21,48,255
1730,Randolph,Georgia,GA,South Atlantic,South,15,13,243
1493,Lamar,Texas,TX,West South Central,South,21,48,277
1405,Lampasas,Texas,TX,West South Central,South,21,48,281
625,Las Animas,Colorado,CO,Mountain,West,22,8,071
626,Pueblo,Colorado,CO,Mountain,West,22,8,101
343,Tuolumne,California,CA,Pacific,West,26,6,109
556,Summit,Colorado,CO,Mountain,West,22,8,117
648,Texas,Oklahoma,OK,West South Central,South,20,40,139
934,Stanton,Nebraska,NE,West North Central,Midwest,11,31,167
982,Adams,Iowa,IA,West North Central,Midwest,10,19,003
993,Story,Iowa,IA,West North Central,Midwest,10,19,169
2187,Benton,Indiana,IN,East North Central,Midwest,7,18,007
677,Lipscomb,Texas,TX,West South Central,South,21,48,295
983,Audubon,Iowa,IA,West North Central,Midwest,10,19,009
1193,Allen,Kansas,KS,West North Central,Midwest,11,20,001
836,Adams,Nebraska,NE,West North Central,Midwest,11,31,001
2252,Boone,Illinois,IL,East North Central,Midwest,6,17,007
981,Adair,Iowa,IA,West North Central,Midwest,10,19,001
864,Aurora,South Dakota,SD,West North Central,Midwest,10,46,003
442,Andrews,Texas,TX,West South Central,South,21,48,003
923,Fillmore,Nebraska,NE,West North Central,Midwest,11,31,059
2257,Ozaukee,Wisconsin,WI,East North Central,Midwest,9,55,089
1105,Adair,Missouri,MO,West North Central,Midwest,12,29,001
2341,Adams,Indiana,IN,East North Central,Midwest,7,18,001
163,Adams,North Dakota,ND,West North Central,Midwest,10,38,001
2547,Abbeville,South Carolina,SC,South Atlantic,South,16,45,001
2091,Adair,Kentucky,KY,East South Central,South,18,21,001
1155,Adair,Oklahoma,OK,West South Central,South,20,40,001
406,Beaver,Utah,UT,Mountain,West,23,49,001
3091,Addison,Vermont,VT,New England,Northeast,1,50,001
3105,Belknap,New Hampshire,NH,New England,Northeast,1,33,001
3057,Barnstable,Massachusetts,MA,New England,Northeast,2,25,001
1950,Alcorn,Mississippi,MS,East South Central,South,18,28,003
1202,Anderson,Kansas,KS,West North Central,Midwest,11,20,003
3087,Bennington,Vermont,VT,New England,Northeast,1,50,003
928,Antelope,Nebraska,NE,West North Central,Midwest,11,31,003
741,Alfalfa,Oklahoma,OK,West South Central,South,20,40,003
2381,Allen,Ohio,OH,East North Central,Midwest,7,39,003
227,Barnes,North Dakota,ND,West North Central,Midwest,10,38,003
2814,Albemarle,Virginia,VA,South Atlantic,South,13,51,003
3009,New Castle,Delaware,DE,South Atlantic,South,14,10,003
2468,Allegheny,Pennsylvania,PA,Middle Atlantic,Northeast,5,42,003
344,Douglas,Nevada,NV,Mountain,West,25,32,005
1087,Allamakee,Iowa,IA,West North Central,Midwest,10,19,005
2592,Adams,Ohio,OH,East North Central,Midwest,7,39,001
311,Alameda,California,CA,Pacific,West,26,6,001
1319,St. Francis,Arkansas,AR,West South Central,South,20,5,123
1559,Sunflower,Mississippi,MS,East South Central,South,18,28,133
1560,Washington,Mississippi,MS,East South Central,South,18,28,151
1420,Grayson,Texas,TX,West South Central,South,21,48,181
1980,Bond,Illinois,IL,East North Central,Midwest,6,17,005
2052,Bartholomew,Indiana,IN,East North Central,Midwest,7,18,005
884,Beadle,South Dakota,SD,West North Central,Midwest,10,46,005
2180,Fulton,Georgia,GA,South Atlantic,South,15,13,121
586,Arthur,Nebraska,NE,West North Central,Midwest,11,31,005
2130,Lincoln,Tennessee,TN,East South Central,South,19,47,103
971,Atchison,Missouri,MO,West North Central,Midwest,12,29,005
2458,Armstrong,Pennsylvania,PA,Middle Atlantic,Northeast,5,42,005
728,Barber,Kansas,KS,West North Central,Midwest,11,20,007
489,Archuleta,Colorado,CO,Mountain,West,22,8,007
1692,Bibb,Alabama,AL,East South Central,South,18,1,007
172,Billings,North Dakota,ND,West North Central,Midwest,10,38,007
801,Pottawatomie,Oklahoma,OK,West South Central,South,20,40,125
802,Seminole,Oklahoma,OK,West South Central,South,20,40,133
581,Banner,Nebraska,NE,West North Central,Midwest,11,31,007
576,Bennett,South Dakota,SD,West North Central,Midwest,10,46,007
1004,Appanoose,Iowa,IA,West North Central,Midwest,10,19,007
2434,Beaver,Pennsylvania,PA,Middle Atlantic,Northeast,5,42,007
2976,Broome,New York,NY,Middle Atlantic,Northeast,3,36,007
1597,Assumption,Louisiana,LA,West South Central,South,20,22,007
3092,Chittenden,Vermont,VT,New England,Northeast,1,50,007
3100,Coos,New Hampshire,NH,New England,Northeast,1,33,007
3060,Middlesex,Connecticut,CT,New England,Northeast,1,9,007
59,Clatsop,Oregon,OR,Pacific,West,27,41,007
42,Chelan,Washington,WA,Pacific,West,27,53,007
1650,Attala,Mississippi,MS,East South Central,South,18,28,007
366,Elko,Nevada,NV,Mountain,West,25,32,007
110,Beltrami,Minnesota,MN,West North Central,Midwest,10,27,007
3074,Providence,Rhode Island,RI,New England,Northeast,1,44,007
3069,Dukes,Massachusetts,MA,New England,Northeast,2,25,007
2448,Ashtabula,Ohio,OH,East North Central,Midwest,7,39,007
1224,Barry,Missouri,MO,West North Central,Midwest,12,29,009
1498,Houston,Texas,TX,West South Central,South,21,48,225
649,Curry,New Mexico,NM,Mountain,West,25,35,009
704,Barton,Kansas,KS,West North Central,Midwest,11,20,009
