state,nem_grade,sector,utility_type,nem_system_limit_kw
Alabama,,com,Coop,0
Alabama,,ind,Coop,0
Alabama,,res,Coop,0
Alabama,,com,IOU,0
Alabama,,ind,IOU,0
Alabama,,res,IOU,0
Alabama,,com,Muni,0
Alabama,,ind,Muni,0
Alabama,,res,Muni,0
Alaska, C,com,Coop,0
Alaska, C,ind,Coop,0
Alaska, C,res,Coop,0
Alaska, C,com,IOU,25
Alaska, C,ind,IOU,25
Alaska, C,res,IOU,25
Alaska, C,com,Muni,25
Alaska, C,ind,Muni,25
Alaska, C,res,Muni,25
Arizona, A,com,Coop,Infinity
Arizona, A,ind,Coop,Infinity
Arizona, A,res,Coop,Infinity
Arizona, A,com,IOU,Infinity
Arizona, A,ind,IOU,Infinity
Arizona, A,res,IOU,Infinity
Arizona, A,com,Muni,0
Arizona, A,ind,Muni,0
Arizona, A,res,Muni,0
Arkansas, B,com,Coop,300
Arkansas, B,ind,Coop,300
Arkansas, B,res,Coop,25
Arkansas, B,com,IOU,300
Arkansas, B,ind,IOU,300
Arkansas, B,res,IOU,25
Arkansas, B,com,Muni,300
Arkansas, B,ind,Muni,300
Arkansas, B,res,Muni,25
California, A,com,Coop,1000
California, A,ind,Coop,1000
California, A,res,Coop,1000
California, A,com,IOU,1000
California, A,ind,IOU,1000
California, A,res,IOU,1000
California, A,com,Muni,1000
California, A,ind,Muni,1000
California, A,res,Muni,1000
Colorado, A,com,Coop,25
Colorado, A,ind,Coop,25
Colorado, A,res,Coop,10
Colorado, A,com,IOU,Infinity
Colorado, A,ind,IOU,Infinity
Colorado, A,res,IOU,Infinity
Colorado, A,com,Muni,25
Colorado, A,ind,Muni,25
Colorado, A,res,Muni,10
Connecticut, A,com,Coop,0
Connecticut, A,ind,Coop,0
Connecticut, A,res,Coop,0
Connecticut, A,com,IOU,2000
Connecticut, A,ind,IOU,2000
Connecticut, A,res,IOU,2000
Connecticut, A,com,Muni,0
Connecticut, A,ind,Muni,0
Connecticut, A,res,Muni,0
District of Columbia, A,com,Coop,0
District of Columbia, A,ind,Coop,0
District of Columbia, A,res,Coop,0
District of Columbia, A,com,IOU,1000
District of Columbia, A,ind,IOU,0
District of Columbia, A,res,IOU,1000
District of Columbia, A,com,Muni,0
District of Columbia, A,ind,Muni,0
District of Columbia, A,res,Muni,0
Delaware, A,com,Coop,500
Delaware, A,ind,Coop,500
Delaware, A,res,Coop,25
Delaware, A,com,IOU,2000
Delaware, A,ind,IOU,2000
Delaware, A,res,IOU,25
Delaware, A,com,Muni,500
Delaware, A,ind,Muni,500
Delaware, A,res,Muni,25
Florida, B,com,Coop,0
Florida, B,ind,Coop,0
Florida, B,res,Coop,0
Florida, B,com,IOU,2000
Florida, B,ind,IOU,2000
Florida, B,res,IOU,2000
Florida, B,com,Muni,0
Florida, B,ind,Muni,0
Florida, B,res,Muni,0
Georgia, F,com,Coop,100
Georgia, F,ind,Coop,100
Georgia, F,res,Coop,10
Georgia, F,com,IOU,100
Georgia, F,ind,IOU,100
Georgia, F,res,IOU,10
Georgia, F,com,Muni,100
Georgia, F,ind,Muni,100
Georgia, F,res,Muni,10
Hawaii, B,com,Coop,50
Hawaii, B,ind,Coop,50
Hawaii, B,res,Coop,50
Hawaii, B,com,IOU,100
Hawaii, B,ind,IOU,100
Hawaii, B,res,IOU,100
Hawaii, B,com,Muni,100
Hawaii, B,ind,Muni,100
Hawaii, B,res,Muni,100
Idaho,,com,Coop,0
Idaho,,ind,Coop,0
Idaho,,res,Coop,0
Idaho,,com,IOU,0
Idaho,,ind,IOU,0
Idaho,,res,IOU,0
Idaho,,com,Muni,0
Idaho,,ind,Muni,0
Idaho,,res,Muni,0
Illinois, B,com,Coop,0
Illinois, B,ind,Coop,0
Illinois, B,res,Coop,0
Illinois, B,com,IOU,40
Illinois, B,ind,IOU,40
Illinois, B,res,IOU,40
Illinois, B,com,Muni,0
Illinois, B,ind,Muni,0
Illinois, B,res,Muni,0
Indiana, B,com,Coop,0
Indiana, B,ind,Coop,0
Indiana, B,res,Coop,0
Indiana, B,com,IOU,1000
Indiana, B,ind,IOU,1000
Indiana, B,res,IOU,1000
Indiana, B,com,Muni,0
Indiana, B,ind,Muni,0
Indiana, B,res,Muni,0
Iowa, B,com,Coop,0
Iowa, B,ind,Coop,0
Iowa, B,res,Coop,0
Iowa, B,com,IOU,500
Iowa, B,ind,IOU,500
Iowa, B,res,IOU,500
Iowa, B,com,Muni,0
Iowa, B,ind,Muni,0
Iowa, B,res,Muni,0
Kansas, B,com,Coop,0
Kansas, B,ind,Coop,0
Kansas, B,res,Coop,0
Kansas, B,com,IOU,200
Kansas, B,ind,IOU,200
Kansas, B,res,IOU,25
Kansas, B,com,Muni,0
Kansas, B,ind,Muni,0
Kansas, B,res,Muni,0
Kentucky, B,com,Coop,30
Kentucky, B,ind,Coop,30
Kentucky, B,res,Coop,30
Kentucky, B,com,IOU,30
Kentucky, B,ind,IOU,30
Kentucky, B,res,IOU,30
Kentucky, B,com,Muni,0
Kentucky, B,ind,Muni,0
Kentucky, B,res,Muni,0
Louisiana, C,com,Coop,300
Louisiana, C,ind,Coop,0
Louisiana, C,res,Coop,25
Louisiana, C,com,IOU,300
Louisiana, C,ind,IOU,0
Louisiana, C,res,IOU,25
Louisiana, C,com,Muni,300
Louisiana, C,ind,Muni,0
Louisiana, C,res,Muni,25
Maine, B,com,Coop,100
Maine, B,ind,Coop,100
Maine, B,res,Coop,100
Maine, B,com,IOU,660
Maine, B,ind,IOU,660
Maine, B,res,IOU,660
Maine, B,com,Muni,100
Maine, B,ind,Muni,100
Maine, B,res,Muni,100
Maryland, A,com,Coop,2000
Maryland, A,ind,Coop,2000
Maryland, A,res,Coop,2000
Maryland, A,com,IOU,2000
Maryland, A,ind,IOU,2000
Maryland, A,res,IOU,2000
Maryland, A,com,Muni,2000
Maryland, A,ind,Muni,2000
Maryland, A,res,Muni,2000
Massachusetts, A,com,Coop,0
Massachusetts, A,ind,Coop,0
Massachusetts, A,res,Coop,0
Massachusetts, A,com,IOU,2000
Massachusetts, A,ind,IOU,2000
Massachusetts, A,res,IOU,2000
Massachusetts, A,com,Muni,0
Massachusetts, A,ind,Muni,0
