windspeed_ms,1,2,3,4,5,6,7,8
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0.022864748,0.032049675,0.01885275,0.031197994,0.033041925,0.039709845,0.037631081,0.045225101
4,0.05419792,0.0759696,0.044688,0.0739508,0.0783216,0.09412704,0.0891996,0.10720024
5,0.105855313,0.148378125,0.08728125,0.144435156,0.152971875,0.183841875,0.174217969,0.209375469
6,0.18291798,0.2563974,0.150822,0.24958395,0.2643354,0.31767876,0.30104865,0.36180081
7,0.290466978,0.407149575,0.23949975,0.396330069,0.419754825,0.504462105,0.478054106,0.574526286
8,0.43358336,0.6077568,0.357504,0.5916064,0.6265728,0.75301632,0.7135968,0.85760192
9,0.617348183,0.865341225,0.50902425,0.842345831,0.892131975,1,1,1
10,0.8468425,1,0.69825,1,1,1,1,1
11,1,1,0.92937075,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
