state_abbr,census_division_abbr
AL,ESC
AR,WSC
AZ,MTN
CA,PAC
CO,MTN
CT,NE
DC,SA
DE,SA
FL,SA
GA,SA
IA,WNC
ID,MTN
IL,ENC
IN,ENC
KS,WNC
KY,ESC
LA,WSC
MA,NE
MD,SA
ME,NE
MI,ENC
MN,WNC
MO,WNC
MS,ESC
MT,MTN
NC,SA
ND,WNC
NE,WNC
NH,NE
NJ,MA
NM,MTN
NV,MTN
NY,MA
OH,ENC
OK,WSC
OR,PAC
PA,MA
RI,NE
SC,SA
SD,WNC
TN,ESC
TX,WSC
UT,MTN
VA,SA
VT,NE
WA,PAC
WI,ENC
WV,SA
WY,MTN
