state,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
AL,0.1,0.18,0.25,0.33,0.37,0.4,0.44,0.49,0.55,0.61,0.67,0.74,0.82,0.91,1,1.1,1.21,1.32,1.45
AR,0.01,0.03,0.07,0.13,0.2,0.31,0.52,0.9,1.54,2.6,4.42,7.58,12.71,20.58,34.11,55.49,87.92,133.69,197.88
AZ,855.88,1332.55,2256.05,3782.72,4711.34,5426.27,6012.24,6631.19,7099.97,7400.75,7832.1,8147.61,8378.04,8575.04,8714.01,8854.16,8961.2,9039.36,9111.67
CA,3240.89,5575.69,9190.06,13423.16,16396,18727.94,21316.75,23704.95,25947.34,28022.67,29754.13,31123.87,32434.97,33669.74,34592.18,35270.61,35827.1,36322.65,36676.09
CO,203.72,265.26,397.45,651.68,941.65,1304.6,1794.16,2294.06,2821.65,3342.28,3791.91,4182.68,4562.71,4849.31,5068.45,5253.42,5413.13,5552.73,5649.3
CT,91.42,202.61,443.94,908.91,1421.85,1839.9,2191.55,2453.23,2693.88,2900.57,3087.81,3264.33,3443.82,3664.21,3869.56,4047.31,4200.82,4353.56,4467.46
DC,13.16,21.33,30.11,41.66,51.54,64.95,82.53,103.51,124.82,149.44,176.93,203.48,233.5,253.88,278.51,302.49,322.6,335.85,355.6
DE,27.57,38.95,56.77,84.99,128.27,195.16,291.08,420.88,576.25,748.16,922.67,1093.61,1235.77,1375.58,1481.26,1575.16,1655.29,1731.11,1811.85
FL,104.15,183.11,315.79,526.42,873.05,1459.72,2404.57,3901.18,6100.27,8991.39,12525.15,16213.86,19877.74,23113.65,25793.71,27712.66,29342.68,30580.05,31517.86
GA,40.91,81.76,188.84,432.18,879.32,1528.91,2274.58,2997.56,3641.77,4277.32,4983.09,5897.25,7062.83,8520.56,10036.28,11462.4,12731.73,13749.92,14589.12
IA,0,0.01,0.03,0.13,0.54,2.35,9.82,29.97,101.57,288.75,582.53,978.09,1534.39,2230.78,2886.73,3318.02,3674.87,3916.93,4087.92
ID,0.01,0.04,0.08,0.16,0.24,0.38,0.63,1.07,1.8,3.02,5.05,8.46,13.9,22.9,36.59,55.49,82.55,111.17,150.24
IL,15.45,20.81,28.43,35.97,45.14,57.14,76.64,104.95,146.96,206.98,289.54,407.35,567.48,786.06,1064.86,1413.05,1831.88,2314.35,2840.55
IN,0.18,0.44,0.84,1.42,2.18,3.33,5.09,7.81,11.98,18.53,29,46.05,74.86,125.11,211.58,361.46,619.15,1034.73,1658.01
KS,0.58,1.31,2.51,4.59,8.37,17.19,39.59,98.26,243.24,548.12,996,1456.06,1903.02,2285.07,2667.51,2967.12,3244.98,3475.29,3673.15
KY,0.06,0.13,0.25,0.45,0.74,1.22,2.02,3.34,5.48,8.96,14.56,23.46,37.41,59.88,93.15,143,213.64,311.45,439.09
LA,3.87,16.11,64.29,232.04,718.62,1511.96,2394.34,3121.14,3856.93,4660.72,5681.72,6834.6,7908.61,9040.95,9785.28,10229.22,10570.61,10847.53,11076.63
MA,389.82,909.09,1927.35,3439.98,3817.74,4038.39,4336.46,4722.57,5065.08,5325.38,5528.09,5706.5,5878.69,6053.2,6172.86,6254.75,6322.13,6388.83,6455.5
MD,171.04,381.38,926.31,2108.19,3147.3,4007.3,4952.51,5953.56,6932.1,7722.76,8415.18,9039.56,9470.27,9958.09,10302.06,10548.49,10724.55,10874.72,11017.75
ME,9.84,22.18,44.69,95.46,173.81,283.65,414.36,572.26,730.82,883.15,1011.82,1122.08,1225.76,1330.73,1393.12,1438.1,1472.58,1501.31,1523.84
MI,0.62,1.4,2.48,4.08,6.56,10.39,16.07,24.6,36.15,54.36,82.1,124.5,187.54,280.34,417.21,616.26,896.89,1271.78,1799.65
MN,0.01,0.05,0.14,0.35,0.77,1.76,4.2,10.11,23.34,52.92,110.5,203.35,326.14,464.73,600.15,741.31,911.57,1132.19,1421.82
MO,51.03,194.66,507.08,1090.68,1302.38,1517.21,1864.71,2311.96,2869.42,3394.08,3811.03,4261.01,4733.15,5148.16,5465.89,5674.31,5827.23,5974,6120.88
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
