year,sector_abbr,1,2,3,4,5,6
2014,com,0.6,0.16,0.096,0.0576,0.0576,0.03
2015,com,0.6,0.16,0.096,0.0576,0.0576,0.03
2016,com,0.6,0.16,0.096,0.0576,0.0576,0.03
2017,com,0.6,0.16,0.096,0.0576,0.0576,0.03
2018,com,0.52,0.192,0.1152,0.06912,0.06912,0.03456
2019,com,0.44,0.224,0.1344,0.08064,0.08064,0.04032
2020,com,0.2,0.32,0.192,0.1152,0.1152,0.0576
2014,ind,0.6,0.16,0.096,0.0576,0.0576,0.03
2015,ind,0.6,0.16,0.096,0.0576,0.0576,0.03
2016,ind,0.6,0.16,0.096,0.0576,0.0576,0.03
2017,ind,0.6,0.16,0.096,0.0576,0.0576,0.03
2018,ind,0.52,0.192,0.1152,0.06912,0.06912,0.03456
2019,ind,0.44,0.224,0.1344,0.08064,0.08064,0.04032
2020,ind,0.2,0.32,0.192,0.1152,0.1152,0.0576
2014,res,0,0,0,0,0,0
2015,res,0,0,0,0,0,0
2016,res,0,0,0,0,0,0
2017,res,0,0,0,0,0,0
2018,res,0,0,0,0,0,0
2019,res,0,0,0,0,0,0
2020,res,0,0,0,0,0,0
