year,sector_abbr,1,2,3,4,5,6
2014,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2015,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2016,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2017,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2018,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2019,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2020,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2021,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2022,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2023,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2024,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2025,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2026,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2027,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2028,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2029,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2030,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2031,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2032,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2033,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2034,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2035,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2036,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2037,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2038,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2039,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2040,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2041,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2042,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2043,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2044,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2045,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2046,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2047,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2048,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2049,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2050,com,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2014,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2015,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2016,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2017,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2018,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2019,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2020,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2021,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2022,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2023,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2024,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2025,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2026,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2027,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2028,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2029,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2030,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2031,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2032,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
2033,ind,0.944620731,0.892308326,0.842892944,0.796214149,0.752120392,0.710468514
