year,sector_abbr,1,2,3,4,5,6
2022,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2023,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2024,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2025,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2026,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2027,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2028,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2029,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2030,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2031,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2032,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2033,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2034,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2035,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2036,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2037,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2038,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2039,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2040,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2041,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2042,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2043,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2044,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2045,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2046,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2047,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2048,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2049,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2050,com,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2022,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2023,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2024,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2025,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2026,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2027,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2028,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2029,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2030,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2031,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2032,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2033,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
2034,ind,0.941301185,0.886047921,0.834037959,0.785080919,0.7389976,0.695619316
