ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,0.044262107199,0.044262107199,0.044262107199,0.044262107199,0.044262107199,0.043404288286,0.042546469373,0.0420555437955,0.041564618218,0.042363090413,0.043161562608,0.043462670178,0.043763777748,0.0436741905025,0.043584603257,0.0436757378545,0.043766872452,0.0477292413435,0.051691610235,0.0505634955215,0.049435380808,0.0499249477795,0.050414514751,0.049381786544,0.048349058337,0.0489710341285,0.04959300992,0.0496664589745,0.049739908029,0.049121500314,0.048503092599,0.0513891602395,0.05427522788,0.0536969798135,0.053118731747,0.0514408309685,0.04976293019
p10,0.054226601992,0.054226601992,0.054226601992,0.054226601992,0.054226601992,0.052618135349,0.051009668706,0.052359614838,0.05370956097,0.055216299169,0.056723037368,0.058609072792,0.060495108216,0.0618731012625,0.063251094309,0.0581725984895,0.05309410267,0.0543306058655,0.055567109061,0.0554288572915,0.055290605522,0.0552421583925,0.055193711263,0.0552426331995,0.055291555136,0.055035256353,0.05477895757,0.055146689882,0.055514422194,0.05514615109,0.054777879986,0.0544188639515,0.054059847917,0.0512704374135,0.04848102691,0.0488546276945,0.049228228479
p100,0.034216698069,0.034216698069,0.034216698069,0.034216698069,0.034216698069,0.0332971380145,0.03237757796,0.0347122939585,0.037047009957,0.0380184502265,0.038989890496,0.038388268028,0.03778664556,0.0374752904815,0.037163935403,0.036656914551,0.036149893699,0.037387876886,0.038625860073,0.0395339266765,0.04044199328,0.0411359119875,0.041829830695,0.0417847304075,0.04173963012,0.0427505641375,0.043761498155,0.0438928897425,0.04402428133,0.044439578118,0.044854874906,0.0449375074365,0.045020139967,0.0454524148215,0.045884689676,0.046149030118,0.04641337056
p101,0.034938152523,0.034938152523,0.034938152523,0.034938152523,0.034938152523,0.034422191831,0.033906231139,0.035426479617,0.036946728095,0.037312820651,0.037678913207,0.037117592455,0.036556271703,0.0362890761015,0.0360218805,0.0362047331355,0.036387585771,0.0392529684295,0.042118351088,0.0428959726555,0.043673594223,0.044271506506,0.044869418789,0.044677245568,0.044485072347,0.044904103252,0.045323134157,0.0453404178375,0.045357701518,0.045716572667,0.046075443816,0.046003029014,0.045930614212,0.046632457972,0.047334301732,0.047225874983,0.047117448234
p102,0.033977391154,0.033977391154,0.033977391154,0.033977391154,0.033977391154,0.033482011394,0.032986631634,0.034447884535,0.035909137436,0.036282625718,0.036656114,0.036128202517,0.035600291034,0.0353299027685,0.035059514503,0.035228676043,0.035397837583,0.0380996225615,0.04080140754,0.041497280711,0.042193153882,0.0427930854415,0.043393017001,0.0432497505225,0.043106484044,0.043522998122,0.0439395122,0.0440327093965,0.044125906593,0.04453956383,0.044953221067,0.044650512389,0.044347803711,0.045029124802,0.045710445893,0.045637003417,0.045563560941
p103,0.033736375905,0.033736375905,0.033736375905,0.033736375905,0.033736375905,0.033199805339,0.032663234773,0.036058364729,0.039453494685,0.03976282586,0.040072157035,0.0396675522985,0.039262947562,0.0383702489195,0.037477550277,0.036171668124,0.034865785971,0.0367031991635,0.038540612356,0.0393372482635,0.040133884171,0.040639739254,0.041145594337,0.0410984475515,0.041051300766,0.042274209241,0.043497117716,0.0438652381845,0.044233358653,0.04480720566,0.045381052667,0.045784208377,0.046187364087,0.0470466793685,0.04790599465,0.0491942888935,0.050482583137
p104,0.03300246932,0.03300246932,0.03300246932,0.03300246932,0.03300246932,0.0324598737755,0.031917278231,0.035120088936,0.038322899641,0.0387316676535,0.039140435666,0.0388135033695,0.038486571073,0.037691510739,0.036896450405,0.035904938388,0.034913426371,0.036484902522,0.038056378673,0.0386945860035,0.039332793334,0.039796891703,0.040260990072,0.0401122664005,0.039963542729,0.040880616353,0.041797689977,0.0420438485255,0.042290007074,0.042317330331,0.042344653588,0.0431027801945,0.043860906801,0.0437942184655,0.04372753013,0.043782606441,0.043837682752
p105,0.033050594569,0.033050594569,0.033050594569,0.033050594569,0.033050594569,0.032468618255,0.031886641941,0.0349164979515,0.037946353962,0.0383839792915,0.038821604621,0.03854677916,0.038271953699,0.037625707972,0.036979462245,0.036115563754,0.035251665263,0.036686649861,0.038121634459,0.0389471612685,0.039772688078,0.0402441208025,0.040715553527,0.0407310324795,0.040746511432,0.0416554019755,0.042564292519,0.0424653427365,0.042366392954,0.0425991124375,0.042831831921,0.0430328119585,0.043233791996,0.0437420776055,0.044250363215,0.044764755768,0.045279148321
p106,0.032806991982,0.032806991982,0.032806991982,0.032806991982,0.032806991982,0.0322584528505,0.031709913719,0.034712932305,0.037715950891,0.038096516317,0.038477081743,0.0382066827265,0.03793628371,0.037299039137,0.036661794564,0.035819610866,0.034977427168,0.036403795518,0.037830163868,0.038760289443,0.039690415018,0.0401080239045,0.040525632791,0.040575769486,0.040625906181,0.0415374581435,0.042449010106,0.042393641013,0.04233827192,0.042545352762,0.042752433604,0.042981623015,0.043210812426,0.04357086556,0.043930918694,0.044468583946,0.045006249198
p107,0.031752055343,0.031752055343,0.031752055343,0.031752055343,0.031752055343,0.031221048231,0.030690041119,0.033588674518,0.036487307917,0.0368498501225,0.037212392328,0.0369475262145,0.036682660101,0.0360646635095,0.035446666918,0.0346527375735,0.033858808229,0.0352573074945,0.03665580676,0.0375940112365,0.038532215713,0.0390125409395,0.039492866166,0.0394993341645,0.039505802163,0.0404141914025,0.041322580642,0.0412996980745,0.041276815507,0.041492991754,0.041709168001,0.0418822765955,0.04205538519,0.042441772863,0.042828160536,0.043354407926,0.043880655316
p108,0.032531938124,0.032531938124,0.032531938124,0.032531938124,0.032531938124,0.03236751733,0.032203096536,0.0341088811195,0.036014665703,0.0369872156455,0.037959765588,0.0373166783905,0.036673591193,0.036557848267,0.036442105341,0.0356727124265,0.034903319512,0.036477329886,0.03805134026,0.038852836647,0.039654333034,0.040351056679,0.041047780324,0.0410629882155,0.041078196107,0.042017814995,0.042957433883,0.043019047363,0.043080660843,0.043160484373,0.043240307903,0.043294719976,0.043349132049,0.043899642678,0.044450153307,0.0448202524215,0.045190351536
p109,0.05264116458,0.05264116458,0.05264116458,0.05264116458,0.05264116458,0.046918685553,0.041196206526,0.0401433783965,0.039090550267,0.0394657138365,0.039840877406,0.0394936274835,0.039146377561,0.0393713981595,0.039596418758,0.038426098461,0.037255778164,0.038607511576,0.039959244988,0.040328076295,0.040696907602,0.041445753035,0.042194598468,0.042163237606,0.042131876744,0.043122311272,0.0441127458,0.0441496682795,0.044186590759,0.0441121352475,0.044037679736,0.044178014712,0.044318349688,0.0448207494955,0.045323149303,0.0454543279315,0.04558550656
p11,0.055613816259,0.055613816259,0.055613816259,0.055613816259,0.055613816259,0.054489735673,0.053365655087,0.0540229309285,0.05468020677,0.056168121114,0.057656035458,0.059461490388,0.061266945318,0.0626754030635,0.064083860809,0.058947880754,0.053811900699,0.05532155254,0.056831204381,0.056705329938,0.056579455495,0.05647275681,0.056366058125,0.056426820938,0.056487583751,0.0562131108325,0.055938637914,0.0562649218145,0.056591205715,0.05618057275,0.055769939785,0.055392400089,0.055014860393,0.05227851352,0.049542166647,0.0499866542885,0.05043114193
p110,0.034999282352,0.034999282352,0.034999282352,0.034999282352,0.034999282352,0.034236826332,0.033474370312,0.0357844061325,0.038094441953,0.0389160892275,0.039737736502,0.039189326042,0.038640915582,0.0383036987835,0.037966481985,0.0373026161725,0.03663875036,0.037907189927,0.039175629494,0.040009145436,0.040842661378,0.041504286647,0.042165911916,0.042050239709,0.041934567502,0.0426019559295,0.043269344357,0.0433442581455,0.043419171934,0.043676341525,0.043933511116,0.043938111475,0.043942711834,0.0445508951285,0.045159078423,0.0453639730215,0.04556886762
p111,0.034485574394,0.034485574394,0.034485574394,0.034485574394,0.034485574394,0.0336806748195,0.032875775245,0.0364288501305,0.039981925016,0.040497100487,0.041012275958,0.040690110951,0.040367945944,0.0395003804565,0.038632814969,0.0378254575065,0.037018100044,0.038749157375,0.040480214706,0.0414444296555,0.042408644605,0.042945823503,0.043483002401,0.0433900731605,0.04329714392,0.044017661237,0.044738178554,0.044774361916,0.044810545278,0.0450995679745,0.045388590671,0.045398321974,0.045408053277,0.0459606408115,0.046513228346,0.047046271398,0.04757931445
p112,0.033482120036,0.033482120036,0.033482120036,0.033482120036,0.033482120036,0.032845692943,0.03220926585,0.0352363129825,0.038263360115,0.038719833203,0.039176306291,0.038888927119,0.038601547947,0.03783286732,0.037064186693,0.0363278712295,0.035591555766,0.0370364077515,0.038481259737,0.0392979208965,0.040114582056,0.040622041732,0.041129501408,0.041135867427,0.041142233446,0.041958520992,0.042774808538,0.0427486244705,0.042722440403,0.0429529333865,0.04318342637,0.04318590459,0.04318838281,0.043661081435,0.04413378006,0.044703153465,0.04527252687
p113,0.033857448127,0.033857448127,0.033857448127,0.033857448127,0.033857448127,0.033196564305,0.032535680483,0.035881102786,0.039226525089,0.0397139524465,0.040201379804,0.0398974000965,0.039593420389,0.0386480315595,0.03770264273,0.0369043882055,0.036106133681,0.037857011513,0.039607889345,0.040616957422,0.041626025499,0.042203319113,0.042780612727,0.042797965991,0.042815319255,0.0435677886385,0.044320258022,0.0443243003695,0.044328342717,0.044466496785,0.044604650853,0.044256103864,0.043907556875,0.044373844285,0.044840131695,0.0453783686275,0.04591660556
p114,0.033909009096,0.033909009096,0.033909009096,0.033909009096,0.033909009096,0.0332436039515,0.032578198807,0.035851879154,0.039125559501,0.0396029064175,0.040080253334,0.039778947444,0.039477641554,0.0385650932495,0.037652544945,0.036837042158,0.036021539371,0.037772810066,0.039524080761,0.040597379371,0.041670677981,0.042221307491,0.042771937001,0.0427188637735,0.042665790546,0.043409464838,0.04415313913,0.0441505683965,0.044147997663,0.0443124468065,0.04447689595,0.0445201892655,0.044563482581,0.0450515924115,0.045539702242,0.046094146061,0.04664858988
p115,0.0340326659,0.0340326659,0.0340326659,0.0340326659,0.0340326659,0.0338991530845,0.033765640269,0.035694273364,0.037622906459,0.038530143559,0.039437380659,0.0390676122775,0.038697843896,0.0382001607905,0.037702477685,0.0369335187065,0.036164559728,0.037590976077,0.039017392426,0.0399024438515,0.040787495277,0.0414725894535,0.04215768363,0.0421281314395,0.042098579249,0.0430924480985,0.044086316948,0.044226081493,0.044365846038,0.0446943614835,0.045022876929,0.045000625034,0.044978373139,0.045528892013,0.046079410887,0.0465488709035,0.04701833092
p116,0.034235239709,0.034235239709,0.034235239709,0.034235239709,0.034235239709,0.0334267658675,0.032618292026,0.0349265646855,0.037234837345,0.038077921586,0.038921005827,0.0383733335775,0.037825661328,0.037546624406,0.037267587484,0.036604630157,0.03594167283,0.0372044953315,0.038467317833,0.0393104525655,0.040153587298,0.0408090088685,0.041464430439,0.0414388537945,0.04141327715,0.042337231498,0.043261185846,0.043369112543,0.04347703924,0.043785183943,0.044093328646,0.0441424215615,0.044191514477,0.0447501001915,0.045308685906,0.045565467988,0.04582225007
p117,0.034455698704,0.034455698704,0.034455698704,0.034455698704,0.034455698704,0.033705514537,0.03295533037,0.0352214671035,0.037487603837,0.038292029005,0.039096454173,0.038558670261,0.038020886349,0.0377420491825,0.037463212016,0.036795986126,0.036128760236,0.037346785322,0.038564810408,0.039374491713,0.040184173018,0.040831352041,0.041478531064,0.0414346994925,0.041390867921,0.0423058399285,0.043220811936,0.043311841898,0.04340287186,0.043646096986,0.043889322112,0.0439135472135,0.043937772315,0.0445275529785,0.045117333642,0.045366952286,0.04561657093
p118,0.035464364806,0.035464364806,0.035464364806,0.035464364806,0.035464364806,0.0346734401145,0.033882515423,0.036225488687,0.038568461951,0.039217852786,0.039867243621,0.0393720524705,0.03887686132,0.038396652228,0.037916443136,0.037228281803,0.03654012047,0.037913657061,0.039287193652,0.040098158878,0.040909124104,0.0415940590355,0.042278993967,0.0422931339865,0.042307274006,0.043228623646,0.044149973286,0.0442332993045,0.044316625323,0.044599206437,0.044881787551,0.044916087648,0.044950387745,0.045140407576,0.045330427407,0.0456530143785,0.04597560135
p119,0.036045594765,0.036045594765,0.036045594765,0.036045594765,0.036045594765,0.0351339904115,0.034222386058,0.035785973774,0.03734956149,0.03824146388,0.03913336627,0.0386205915835,0.038107816897,0.0375629015305,0.037017986164,0.036487777644,0.035957569124,0.036879011345,0.037800453566,0.0381003405275,0.038400227489,0.0387657325,0.039131237511,0.039558033384,0.039984829257,0.0409730144195,0.041961199582,0.0423217837695,0.042682367957,0.043404390682,0.044126413407,0.0440687841445,0.044011154882,0.0445715779805,0.045132001079,0.045362005501,0.045592009923
p12,0.050095845285,0.050095845285,0.050095845285,0.050095845285,0.050095845285,0.0474461326425,0.04479642,0.044371352131,0.043946284262,0.0450227559465,0.046099227631,0.0469508557645,0.047802483898,0.0477356602845,0.047668836671,0.044820384353,0.041971932035,0.043100706891,0.044229481747,0.0453541019925,0.046478722238,0.046893124177,0.047307526116,0.046657115864,0.046006705612,0.046336130259,0.046665554906,0.045926389461,0.045187224016,0.0448087987265,0.044430373437,0.0446083654865,0.044786357536,0.046287386027,0.047788414518,0.047715078645,0.047641742772
p120,0.035324697143,0.035324697143,0.035324697143,0.035324697143,0.035324697143,0.034942589801,0.034560482459,0.0362662719885,0.037972061518,0.038882884498,0.039793707478,0.039359186569,0.03892466566,0.0384145576755,0.037904449691,0.0372859264685,0.036667403246,0.0378684364935,0.039069469741,0.0398021014225,0.040534733104,0.0411298875915,0.041725042079,0.042001742224,0.042278442369,0.0432853331545,0.04429222394,0.0444310834385,0.044569942937,0.0449661580685,0.0453623732,0.045329253067,0.045296132934,0.046006693713,0.046717254492,0.046787734376,0.04685821426
p121,0.035230341672,0.035230341672,0.035230341672,0.035230341672,0.035230341672,0.0364782311095,0.037726120547,0.037987409796,0.038248699045,0.0390024769275,0.03975625481,0.040089556083,0.040422857356,0.0391542298475,0.037885602339,0.037292189871,0.036698777403,0.0379373245925,0.039175871782,0.039927215262,0.040678558742,0.0412912795765,0.041904000411,0.0421836531795,0.042463305948,0.04347253842,0.044481770892,0.044632492729,0.044783214566,0.0451419551805,0.045500695795,0.045506023499,0.045511351203,0.04617508102,0.046838810837,0.0469280864585,0.04701736208
p122,0.035347535897,0.035347535897,0.035347535897,0.035347535897,0.035347535897,0.0344685377555,0.033589539614,0.0352372396925,0.036884939771,0.037843685255,0.038802430739,0.0382355771305,0.037668723522,0.0371265475255,0.036584371529,0.03602663586,0.035468900191,0.0367334331505,0.03799796611,0.0387012043895,0.039404442669,0.039835313004,0.040266183339,0.0406725575275,0.041078931716,0.0421573411115,0.043235750507,0.0436558452495,0.044075939992,0.0448313626555,0.045586785319,0.045720787835,0.045854790351,0.046442229493,0.047029668635,0.047301483568,0.047573298501
p123,0.036299204422,0.036299204422,0.036299204422,0.036299204422,0.036299204422,0.0369750572875,0.037650910153,0.038069963978,0.038489017803,0.039403924362,0.040318830921,0.0404334050725,0.040547979224,0.039254089755,0.037960200286,0.0373861250595,0.036812049833,0.03832962906,0.039847208287,0.0407696546635,0.04169210104,0.0424184503795,0.043144799719,0.04360202903,0.044059258341,0.0452984671415,0.046537675942,0.0469010818115,0.047264487681,0.047951422044,0.048638356407,0.0486846746015,0.048730992796,0.04933848795,0.049945983104,0.0501997483325,0.050453513561
p124,0.03752702703,0.03752702703,0.03752702703,0.03752702703,0.03752702703,0.0357473477,0.03396766837,0.0366018520565,0.039236035743,0.0403851116595,0.041534187576,0.0407275958305,0.039921004085,0.0395661970565,0.039211390028,0.0378273307525,0.036443271477,0.034732737735,0.033022203993,0.0327167431745,0.032411282356,0.032546786379,0.032682290402,0.0383380015135,0.043993712625,0.038013673578,0.032033634531,0.0316337025065,0.031233770482,0.031301196941,0.0313686234,0.0385893938585,0.045810164317,0.0466081466125,0.047406128908,0.0469555137615,0.046504898615
