ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.045759999999999995,0.044346,0.042932,0.041518,0.040103999999999994,0.038689999999999995,0.038942,0.039194,0.039445999999999995,0.039698,0.03995,0.040824,0.041698,0.042572,0.043446,0.04432,0.043892,0.043464,0.043036,0.042608,0.04218,0.041894,0.041608,0.041322000000000005,0.041036,0.04075
p10,0.07322,0.07322,0.07322,0.07322,0.07322,0.07322,0.07322,0.07322,0.07322,0.07322,0.07322,0.07322,0.071182,0.069144,0.067106,0.065068,0.06303,0.060886,0.058742,0.056598,0.054454,0.05231,0.054470000000000005,0.05663,0.05879,0.060950000000000004,0.06311,0.062093999999999996,0.061078,0.060062,0.059046,0.05803,0.058426,0.058822,0.059218,0.059614,0.06001
p100,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.06495999999999999,0.063522,0.06208399999999999,0.060646,0.059208,0.05777,0.057806,0.057842000000000005,0.057878,0.057914,0.05795,0.058044,0.058138,0.058232,0.058326,0.05842,0.058764,0.059108,0.059452,0.059796,0.06014,0.060182,0.060224,0.060266,0.060308,0.06035
p101,0.07489,0.07489,0.07489,0.07489,0.07489,0.07489,0.07489,0.07489,0.07489,0.07489,0.07489,0.07489,0.07243,0.06997,0.06751,0.06505000000000001,0.06259,0.06173000000000001,0.06087000000000001,0.06001,0.05915,0.05829,0.058574,0.058858,0.059142,0.059426,0.05971,0.059202,0.058693999999999996,0.058186,0.057678,0.05717,0.056828,0.056486,0.056144,0.055802000000000004,0.05546
p102,0.07141,0.07141,0.07141,0.07141,0.07141,0.07141,0.07141,0.07141,0.07141,0.07141,0.07141,0.07141,0.06962600000000001,0.067842,0.066058,0.064274,0.062490000000000004,0.062256000000000006,0.062022,0.061788,0.061554,0.06132,0.061694,0.062068,0.062442,0.062816,0.06319,0.062522,0.061854,0.061186,0.060518,0.05985,0.059346,0.058842,0.058338,0.057833999999999997,0.05733
p103,0.06558,0.06558,0.06558,0.06558,0.06558,0.06558,0.06558,0.06558,0.06558,0.06558,0.06558,0.06558,0.06379,0.062,0.06021,0.05842,0.05663,0.05575,0.05487,0.053989999999999996,0.05311,0.05223,0.052388,0.052546,0.052704,0.052862000000000006,0.053020000000000005,0.052438000000000005,0.051856000000000006,0.051274,0.050692,0.05011,0.049640000000000004,0.04917,0.0487,0.048229999999999995,0.04776
p104,0.05644,0.05644,0.05644,0.05644,0.05644,0.05644,0.05644,0.05644,0.05644,0.05644,0.05644,0.05644,0.055146,0.053852,0.052558,0.051264,0.04997,0.049626,0.049282,0.048938,0.048594,0.04825,0.048526,0.048802,0.049078000000000004,0.049354,0.04963,0.049508,0.049386,0.049264,0.049142,0.04902,0.048548,0.048076,0.047603999999999994,0.04713199999999999,0.04665999999999999
p105,0.05968,0.05968,0.05968,0.05968,0.05968,0.05968,0.05968,0.05968,0.05968,0.05968,0.05968,0.05968,0.057678,0.055675999999999996,0.053674,0.051671999999999996,0.04967,0.049819999999999996,0.04997,0.05012,0.05027,0.05042,0.050504,0.050588,0.050672,0.050756,0.05084,0.050268,0.049696,0.049124,0.048552,0.047979999999999995,0.047395999999999994,0.046812,0.046228,0.045644000000000004,0.04506
p106,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.060149999999999995,0.058179999999999996,0.056209999999999996,0.05424,0.05227,0.0503,0.050362,0.050424,0.050486,0.050548,0.05061,0.05053,0.05045,0.05037,0.05029,0.05021,0.049628,0.049046,0.04846399999999999,0.047881999999999994,0.047299999999999995,0.046793999999999995,0.046287999999999996,0.045782,0.045276000000000004,0.044770000000000004
p107,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.056931999999999996,0.055043999999999996,0.053155999999999995,0.051268,0.04938,0.049578,0.049776,0.049974,0.050172,0.05037,0.050221999999999996,0.050074,0.049926,0.049778,0.04963,0.048826,0.048022,0.047217999999999996,0.046414,0.04561,0.04509,0.04457,0.04405,0.04353,0.04301
p108,0.05993,0.05993,0.05993,0.05993,0.05993,0.05993,0.05993,0.05993,0.05993,0.05993,0.05993,0.05993,0.058016,0.056102,0.054188,0.052274,0.05036,0.0501,0.04984,0.04958,0.04932,0.04906,0.049128,0.049196,0.049264,0.049332,0.0494,0.048392,0.047383999999999996,0.046376,0.045368,0.04436,0.043958,0.043556,0.043154,0.042752,0.04235
p109,0.06358,0.06358,0.06358,0.06358,0.06358,0.06358,0.06358,0.06358,0.06358,0.06358,0.06358,0.06358,0.062328,0.061076,0.059824,0.058572,0.05732,0.057198000000000006,0.057076,0.056954000000000005,0.056832,0.05671,0.056478,0.056246,0.056014,0.055782,0.055549999999999995,0.054726,0.053902,0.05307799999999999,0.052253999999999995,0.05143,0.05101,0.050589999999999996,0.05017,0.049749999999999996,0.04933
p11,0.07362,0.07362,0.07362,0.07362,0.07362,0.07362,0.07362,0.07362,0.07362,0.07362,0.07362,0.07362,0.071536,0.069452,0.06736800000000001,0.06528400000000001,0.0632,0.060942,0.058684,0.056426000000000004,0.054168,0.05191,0.054098,0.056286,0.058474,0.060662,0.06285,0.062418,0.061986,0.061554000000000005,0.061122,0.06069,0.060788,0.060886,0.060984,0.061082,0.06118
p110,0.06691,0.06691,0.06691,0.06691,0.06691,0.06691,0.06691,0.06691,0.06691,0.06691,0.06691,0.06691,0.06554,0.06417,0.0628,0.06143,0.06006,0.059536,0.059012,0.058488,0.057964,0.05744,0.057673999999999996,0.057908,0.058142,0.058376000000000004,0.05861,0.05829,0.05797,0.05765,0.05733,0.05701,0.056479999999999995,0.05595,0.05542,0.05489,0.05436
p111,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.060386,0.059032,0.057678,0.056324,0.05497,0.054925999999999996,0.054882,0.054838,0.054794,0.05475,0.054866,0.054981999999999996,0.055098,0.055214,0.05533,0.05489,0.05445,0.05401,0.05357,0.053130000000000004,0.052594,0.052058,0.051522000000000005,0.050986000000000004,0.05045
p112,0.06168,0.06168,0.06168,0.06168,0.06168,0.06168,0.06168,0.06168,0.06168,0.06168,0.06168,0.06168,0.060392,0.059104000000000004,0.057816,0.056528,0.055240000000000004,0.05518,0.05512,0.05506,0.055,0.054939999999999996,0.054992,0.055044,0.055096,0.055148,0.055200000000000006,0.054686000000000005,0.054172000000000005,0.053658000000000004,0.053144000000000004,0.05263,0.052102,0.051574,0.051046,0.050518,0.04999
p113,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.06235,0.061016,0.059682,0.058348,0.057014,0.05568,0.055456,0.055232,0.055008,0.054784000000000006,0.054560000000000004,0.05439,0.054220000000000004,0.05405,0.053880000000000004,0.05371,0.052986,0.052262,0.051538,0.050814000000000005,0.05009,0.049692,0.049294000000000004,0.048896,0.048498000000000006,0.048100000000000004
p114,0.06236,0.06236,0.06236,0.06236,0.06236,0.06236,0.06236,0.06236,0.06236,0.06236,0.06236,0.06236,0.061016,0.059672,0.058328000000000005,0.056984,0.05564,0.055522,0.055404,0.055285999999999995,0.055167999999999995,0.055049999999999995,0.054903999999999994,0.054757999999999994,0.054612,0.054466,0.05432,0.053588,0.052856,0.052124,0.051392,0.05066,0.050254,0.049847999999999996,0.049442,0.049035999999999996,0.04863
p115,0.06353,0.06353,0.06353,0.06353,0.06353,0.06353,0.06353,0.06353,0.06353,0.06353,0.06353,0.06353,0.062106,0.060682,0.059258,0.057833999999999997,0.056409999999999995,0.056313999999999996,0.056218,0.056122,0.056026,0.05593,0.055902,0.055874,0.055846,0.055818,0.05579,0.055376,0.054962,0.054548,0.054133999999999995,0.05372,0.053186,0.052652,0.052118,0.051584,0.05105
p116,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.060042000000000005,0.058734,0.057426000000000005,0.056118,0.054810000000000005,0.054844000000000004,0.054878,0.054911999999999996,0.054945999999999995,0.054979999999999994,0.05497,0.054959999999999995,0.05495,0.054939999999999996,0.05493,0.054468,0.054006,0.053544,0.053082,0.05262,0.05203,0.05144,0.05085,0.05026,0.04967
p117,0.06157,0.06157,0.06157,0.06157,0.06157,0.06157,0.06157,0.06157,0.06157,0.06157,0.06157,0.06157,0.060262,0.058954,0.057646,0.056338,0.05503,0.055114,0.055198000000000004,0.055282000000000005,0.055366000000000005,0.055450000000000006,0.05540200000000001,0.05535400000000001,0.055306,0.055258,0.05521,0.05471,0.05421,0.05371,0.05321,0.05271,0.05212,0.05153,0.05094,0.05035,0.04976
p118,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06606000000000001,0.06468,0.06330000000000001,0.06192,0.06054,0.05916,0.059129999999999995,0.0591,0.05907,0.05904,0.05901,0.058998,0.058986000000000004,0.058974,0.058962,0.05895,0.059698,0.060446,0.061194,0.061942,0.06269,0.062236,0.061782,0.061328,0.060874,0.06042
p12,0.06075,0.06075,0.06075,0.06075,0.06075,0.06075,0.06075,0.06075,0.06075,0.06075,0.06075,0.06075,0.058906,0.057062,0.055218,0.053374,0.05153,0.051332,0.051134,0.050936,0.050738,0.05054,0.050462,0.050384,0.050306000000000003,0.050228,0.05015,0.050814,0.051477999999999996,0.052142,0.052806,0.05347,0.053441999999999996,0.053413999999999996,0.053385999999999996,0.053357999999999996,0.053329999999999995
p120,0.06417,0.06417,0.06417,0.06417,0.06417,0.06417,0.06417,0.06417,0.06417,0.06417,0.06417,0.06417,0.062156,0.060142,0.058128,0.056114000000000004,0.0541,0.054270000000000006,0.05444,0.054610000000000006,0.05478,0.054950000000000006,0.055148,0.055346,0.055544,0.055742,0.05594,0.05549,0.05504,0.05458999999999999,0.054139999999999994,0.053689999999999995,0.053119999999999994,0.05255,0.05198,0.051410000000000004,0.05084
p121,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.066058,0.06457600000000001,0.063094,0.061612,0.06013,0.059702000000000005,0.059274,0.058846,0.058418,0.05799,0.058182,0.058374,0.058566,0.058758000000000005,0.05895,0.058656,0.058362,0.058068,0.057774,0.057479999999999996,0.05692,0.05636,0.055799999999999995,0.05524,0.05468
p123,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.06754,0.066086,0.06463200000000001,0.063178,0.061724,0.060270000000000004,0.059838,0.059406,0.058974000000000006,0.058542000000000004,0.05811,0.058274,0.058438,0.058602,0.058766,0.058929999999999996,0.059474,0.060017999999999995,0.060562,0.061105999999999994,0.061649999999999996,0.061065999999999995,0.060481999999999994,0.059898,0.059314,0.05873
p124,0.06644,0.06644,0.06644,0.06644,0.06644,0.06644,0.06644,0.06644,0.06644,0.06644,0.06644,0.06644,0.06473,0.06302,0.06131,0.0596,0.057890000000000004,0.057774000000000006,0.057658,0.057542,0.057426,0.05731,0.057182000000000004,0.057054,0.056926000000000004,0.056798,0.056670000000000005,0.062404,0.068138,0.073872,0.079606,0.08534,0.083318,0.08129600000000001,0.079274,0.077252,0.07523
p125,0.06779,0.06779,0.06779,0.06779,0.06779,0.06779,0.06779,0.06779,0.06779,0.06779,0.06779,0.06779,0.066302,0.064814,0.06332600000000001,0.061838000000000004,0.06035,0.060036,0.059722,0.059408,0.059094,0.05878,0.058914,0.059048,0.059182,0.059316,0.05945,0.059162,0.058874,0.058586,0.058298,0.05801,0.058068,0.058126,0.058184,0.058241999999999995,0.0583
