ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,0.044262107198,0.044262107198,0.044262107198,0.044262107198,0.044262107198,0.0431848347895,0.042107562381,0.04200974827,0.041911934159,0.043090522278,0.044269110397,0.0446736746375,0.045078238878,0.0453397724905,0.045601306103,0.0637620726395,0.081922839176,0.089024761835,0.096126684494,0.0951105207095,0.094094356925,0.0949539240545,0.095813491184,0.095268055707,0.09472262023,0.0953025569965,0.095882493763,0.0955482984335,0.095214103104,0.096295685638,0.097377268172,0.098397353169,0.099417438166,0.0964920412215,0.093566644277,0.0935017734475,0.093436902618
p10,0.054226601992,0.054226601992,0.054226601992,0.054226601992,0.054226601992,0.0528878178205,0.051549033649,0.0576405265045,0.06373201936,0.06842371784,0.07311541632,0.0776474868985,0.082179557477,0.0835773800645,0.084975202652,0.0837618686395,0.082548534627,0.089146671262,0.095744807897,0.0984832770175,0.101221746138,0.105059060799,0.108896375461,0.112359035506,0.115821695551,0.117817732176,0.119813768801,0.123835500031,0.127857231261,0.13484457276,0.14183191426,0.14272575533,0.1436195964,0.139954095077,0.136288593753,0.138270132516,0.140251671279
p100,0.034216698069,0.034216698069,0.034216698069,0.034216698069,0.034216698069,0.0333249961985,0.032433294328,0.03623101309,0.040028731852,0.0421541218605,0.044279511869,0.044717882881,0.045156253893,0.045799183369,0.046442112845,0.047217364385,0.047992615925,0.0482206869715,0.048448758018,0.0491156811865,0.049782604355,0.0505888311185,0.051395057882,0.0515367294365,0.051678400991,0.052294429608,0.052910458225,0.053282165832,0.053653873439,0.054385702396,0.055117531353,0.055973386945,0.056829242537,0.0574920574455,0.058154872354,0.0593981221485,0.060641371943
p101,0.034938152523,0.034938152523,0.034938152523,0.034938152523,0.034938152523,0.034420272343,0.033902392163,0.037636943601,0.041371495039,0.0438107958125,0.046250096586,0.0464448618865,0.046639627187,0.0470935704655,0.047547513744,0.0481780030865,0.048808492429,0.048909107758,0.049009723087,0.049596084245,0.050182445403,0.0508378931295,0.051493340856,0.051632704097,0.051772067338,0.052011464233,0.052250861128,0.053039740521,0.053828619914,0.0545305282675,0.055232436621,0.0560054234005,0.05677841018,0.057400022791,0.058021635402,0.0589197549415,0.059817874481
p102,0.033977391154,0.033977391154,0.033977391154,0.033977391154,0.033977391154,0.0334802591275,0.032983127101,0.036545728039,0.040108328977,0.042439535731,0.044770742485,0.0449550045695,0.045139266654,0.0455796560125,0.046020045371,0.046631619037,0.047243192703,0.047380547233,0.047517901763,0.048200816307,0.048883730851,0.049631472997,0.050379215143,0.0505931814775,0.050807147812,0.051049623599,0.051292099386,0.0522955540455,0.053299008705,0.053971388262,0.054643767819,0.0554700135905,0.056296259362,0.0569166077515,0.057536956141,0.0584103546235,0.059283753106
p103,0.033736375905,0.033736375905,0.033736375905,0.033736375905,0.033736375905,0.0332165605975,0.03269674529,0.0374152077965,0.042133670303,0.043884472322,0.045635274341,0.0464376899825,0.047240105624,0.047857625158,0.048475144692,0.049298780107,0.050122415522,0.0503090827775,0.050495750033,0.0511217450345,0.051747740036,0.052447817915,0.053147895794,0.0532950375685,0.053442179343,0.054184131814,0.054926084285,0.0551934683345,0.055460852384,0.056315404937,0.05716995749,0.057788388008,0.058406818526,0.0590025433825,0.059598268239,0.0603112436725,0.061024219106
p104,0.03300246932,0.03300246932,0.03300246932,0.03300246932,0.03300246932,0.032484494229,0.031966519138,0.0363881180625,0.040809716987,0.0423695102765,0.043929303566,0.0446335090585,0.045337714551,0.0459451455585,0.046552576566,0.0472989598555,0.048045343145,0.0481762118985,0.048307080652,0.0488495117295,0.049391942807,0.050077727346,0.050763511885,0.0509075744625,0.05105163704,0.0517683816665,0.052485126293,0.052692852635,0.052900578977,0.0537020113995,0.054503443822,0.0552482161695,0.055992988517,0.05657738527,0.057161782023,0.0578076741135,0.058453566204
p105,0.033050594569,0.033050594569,0.033050594569,0.033050594569,0.033050594569,0.032474619066,0.031898643563,0.036110689872,0.040322736181,0.041847781451,0.043372826721,0.0440606149825,0.044748403244,0.0453415258355,0.045934648427,0.0466883156505,0.047441982874,0.047555451374,0.047668919874,0.0481904796875,0.048712039501,0.0493826126465,0.050053185792,0.050184547613,0.050315909434,0.051026538409,0.051737167384,0.051938201538,0.052139235692,0.0529414768595,0.053743718027,0.0545067244675,0.055269730908,0.055867623635,0.056465516362,0.057131203063,0.057796889764
p106,0.032806991982,0.032806991982,0.032806991982,0.032806991982,0.032806991982,0.0322646959905,0.031722399999,0.035929324655,0.040136249311,0.0415957668395,0.043055284368,0.0437597773005,0.044464270233,0.0450406881495,0.045617106066,0.046344418168,0.04707173027,0.0472222674105,0.047372804551,0.04788396761,0.048395130669,0.049058882142,0.049722633615,0.0498497738465,0.049976914078,0.050667748283,0.051358582488,0.0515636190035,0.051768655519,0.0525886771745,0.05340869883,0.0541784441215,0.054948189413,0.055550738203,0.056153286993,0.0567994196885,0.057445552384
p107,0.031752055343,0.031752055343,0.031752055343,0.031752055343,0.031752055343,0.031227087298,0.030702119253,0.0347744852215,0.03884685119,0.0402594410935,0.041672030997,0.0423529077355,0.043033784474,0.0435915350695,0.044149285665,0.0448528510565,0.045556416448,0.0457005053105,0.045844594173,0.046339226562,0.046833858951,0.047475628947,0.048117398943,0.048240180272,0.048362961601,0.0490288916625,0.049694821724,0.0498934116205,0.050092001517,0.0508860795445,0.051680157572,0.052421679104,0.053163200636,0.0537558859455,0.054348571255,0.055048356638,0.055748142021
