ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,0.04929,0.04929,0.04929,0.04929,0.04929,0.04929,0.04929,0.04929,0.04929,0.04929,0.04929,0.04929,0.048156,0.047022,0.045888,0.044754,0.04362,0.043952,0.044284,0.044616,0.044948,0.04528,0.045868,0.046456,0.047044,0.047632,0.04822,0.048404,0.048588,0.048772,0.048956,0.04914,0.048622,0.048104,0.047585999999999996,0.047068,0.046549999999999994
p10,0.07328,0.07328,0.07328,0.07328,0.07328,0.07328,0.07328,0.07328,0.07328,0.07328,0.07328,0.07328,0.071384,0.069488,0.067592,0.06569599999999999,0.0638,0.06326,0.06272,0.06218,0.06164,0.0611,0.061606,0.062112,0.06261800000000001,0.063124,0.06363,0.062116000000000005,0.060602,0.059088,0.05757400000000001,0.056060000000000006,0.05630400000000001,0.05654800000000001,0.056792,0.057036,0.057280000000000005
p100,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06584000000000001,0.06447000000000001,0.0631,0.06173000000000001,0.060360000000000004,0.05899,0.059354000000000004,0.059718,0.060082,0.060446,0.06081,0.061368000000000006,0.061926,0.062484000000000005,0.063042,0.0636,0.063612,0.063624,0.063636,0.063648,0.06366,0.06394799999999999,0.06423599999999999,0.064524,0.064812,0.06509999999999999
p101,0.07377,0.07377,0.07377,0.07377,0.07377,0.07377,0.07377,0.07377,0.07377,0.07377,0.07377,0.07377,0.07154200000000001,0.069314,0.067086,0.064858,0.06263,0.06285600000000001,0.063082,0.063308,0.063534,0.06376,0.063882,0.064004,0.064126,0.06424800000000001,0.06437000000000001,0.06366200000000001,0.06295400000000001,0.062246,0.061537999999999995,0.060829999999999995,0.060157999999999996,0.059486,0.058814,0.058142,0.05747
p102,0.07082,0.07082,0.07082,0.07082,0.07082,0.07082,0.07082,0.07082,0.07082,0.07082,0.07082,0.07082,0.069196,0.067572,0.065948,0.064324,0.0627,0.063444,0.06418800000000001,0.064932,0.06567600000000001,0.06642,0.06634000000000001,0.06626,0.06618,0.06609999999999999,0.06602,0.065216,0.064412,0.063608,0.062804,0.062,0.06139,0.06078,0.06017,0.05956,0.05895
p103,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06681999999999999,0.06528999999999999,0.06376,0.062229999999999994,0.0607,0.05917,0.058022,0.056874,0.055726,0.054578,0.05343,0.053586,0.053742,0.053898,0.054054,0.05421,0.054098,0.053986,0.053874,0.053762,0.053649999999999996,0.052981999999999994,0.052314,0.051646,0.050978,0.05031
p104,0.05792,0.05792,0.05792,0.05792,0.05792,0.05792,0.05792,0.05792,0.05792,0.05792,0.05792,0.05792,0.056886,0.055852,0.054818,0.053784,0.05275,0.05234,0.05193,0.05152,0.05111,0.0507,0.050998,0.051296,0.051594,0.051892,0.05219,0.052158,0.052126,0.052094,0.052062,0.05203,0.051448,0.050866,0.050283999999999995,0.049701999999999996,0.04912
p105,0.06041,0.06041,0.06041,0.06041,0.06041,0.06041,0.06041,0.06041,0.06041,0.06041,0.06041,0.06041,0.058783999999999996,0.057158,0.055532,0.053906,0.05228,0.052303999999999996,0.052328,0.052351999999999996,0.052376,0.052399999999999995,0.052472,0.052544,0.052615999999999996,0.052688,0.05276,0.052374000000000004,0.051988,0.051602,0.051216,0.05083,0.050202,0.049574,0.048945999999999996,0.048318,0.047689999999999996
p106,0.06089,0.06089,0.06089,0.06089,0.06089,0.06089,0.06089,0.06089,0.06089,0.06089,0.06089,0.06089,0.059288,0.057686,0.056084,0.054482,0.05288,0.052712,0.052544,0.052376,0.052208,0.052039999999999996,0.051781999999999995,0.051524,0.051266,0.051008000000000005,0.05075,0.050710000000000005,0.05067,0.05063,0.050589999999999996,0.05055,0.049963999999999995,0.049378,0.048791999999999995,0.048206,0.047619999999999996
p107,0.05955,0.05955,0.05955,0.05955,0.05955,0.05955,0.05955,0.05955,0.05955,0.05955,0.05955,0.05955,0.058016,0.056482,0.054948,0.053414,0.05188,0.051928,0.051976,0.052024,0.052072,0.05212,0.051848,0.051576,0.051304,0.051032,0.05076,0.050738,0.050716,0.050694,0.050672,0.05065,0.049978,0.049306,0.048634,0.047962,0.04729
