year,sector_abbr,nerc_region_ID,nerc_region_abbr,nerc_region_desc,fuel_type,scenario,escalation_factor,sector
2014,res,5-25,BASN,Western Electricity Coordinating Council / Basin,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,res,5-24,RMRG,Western Electricity Coordinating Council / Rockies,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,res,5-23,NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,res,5-22,CASO,Western Electricity Coordinating Council / California South,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,res,5-16,SRCE,SERC Reliability Corporation / Central,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,res,5-15,SRSE,SERC Reliability Corporation / Southeastern,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,trans,5-2,FRCC,Florida Reliability Coordinating Council,electricity,AEO2025 Low Economic Growth,1.0,Transportation
2014,res,5-14,SRCA,SERC Reliability Corporation / East,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,com,5-9,NYUP,Northeast Power Coordinating Council / Upstate New York,electricity,AEO2025 Low Economic Growth,1.0,Commercial
2014,com,5-3,MISW,Midcontinent / West,electricity,AEO2025 Low Economic Growth,1.0,Commercial
2014,com,5-2,FRCC,Florida Reliability Coordinating Council,electricity,AEO2025 Low Economic Growth,1.0,Commercial
2014,trans,5-1,TRE,Texas Reliability Entity,electricity,AEO2025 Low Economic Growth,1.0,Transportation
2014,ind,5-25,BASN,Western Electricity Coordinating Council / Basin,electricity,AEO2025 Low Economic Growth,1.0,Industrial
2014,ind,5-24,RMRG,Western Electricity Coordinating Council / Rockies,electricity,AEO2025 Low Economic Growth,1.0,Industrial
2014,res,5-13,PJMD,PJM / Dominion,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,trans,5-3,MISW,Midcontinent / West,electricity,AEO2025 Low Economic Growth,1.0,Transportation
2014,trans,5-4,MISC,Midcontinent / Central,electricity,AEO2025 Low Economic Growth,1.0,Transportation
2014,res,5-17,SPPS,Southwest Power Pool / South,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,res,5-19,SPPN,Southwest Power Pool / North,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,trans,5-6,MISS,Midcontinent / South,electricity,AEO2025 Low Economic Growth,1.0,Transportation
2014,res,5-18,SPPC,Southwest Power Pool / Central,electricity,AEO2025 Low Economic Growth,1.0,Residential
2014,com,5-1,TRE,Texas Reliability Entity,electricity,AEO2025 Low Economic Growth,1.0,Commercial
