uid,incentive_id,increment_1_capacity_kw,increment_2_capacity_kw,increment_3_capacity_kw,increment_4_capacity_kw,pbi_fit_duration_years,pbi_fit_end_date,pbi_fit_min_output_kwh_yr,pbi_fit_max_size_for_dlrs_calc_kw,ptc_duration_years,ptc_end_date,rating_basis_ac_dc,fit_dlrs_kwh,pbi_dlrs_kwh,pbi_fit_dlrs_kwh,increment_1_rebate_dlrs_kw,increment_2_rebate_dlrs_kw,increment_3_rebate_dlrs_kw,increment_4_rebate_dlrs_kw,max_dlrs_yr,max_tax_credit_dlrs,tax_credit_dlrs_kw,max_tax_deduction_dlrs,pbi_fit_max_dlrs,pbi_fit_pcnt_cost_max,pbi_fit_max_size_kw,pbi_fit_min_size_kw,ptc_dlrs_kwh,rebate_dlrs_kw,rebate_max_dlrs,rebate_max_size_kw,rebate_min_size_kw,rebate_pcnt_cost_max,tax_credit_pcnt_cost,tax_deduction_pcnt_cost,tax_credit_max_size_kw,tax_credit_min_size_kw,sector_abbr
4,4,,,,,,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
5,5,,,,,,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
6,6,,,,,,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
7,7,,,,,,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
8,8,,,,,,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
9,9,,,,,,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
10,10,,,,,,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
11,11,,,,,,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
229,229,,,,,20,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
230,230,,,,,20,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
231,231,,,,,20,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
117,117,,,,,,,,,,,DC,,,0,,,,,,,,,,,,,,,15000,,0.5,0.333,,,,,res
118,118,,,,,,,,,,,DC,,,0,,,,,,,,,,,,,,,15000,,0.5,0.333,,,,,res
119,119,,,,,,,,,,,DC,,,0,,,,,,,,,,,,,,,15000,,0.5,0.333,,,,,res
120,120,5,5,40,,,,,,,,DC,,,0,1250,750,,,,,,,,,,,,,2500,,0.5,,,,,,res
121,121,3,7,10,,,,,,,,DC,,,0,3000,2000,,,,,,,,,,,,,33000,,1,,,,,,res
141,141,,,,,20,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
142,142,,,,,10,,,,,,AC,0.13,,0.13,,,,,,,,,,,50,0.5,,,,,,,,,,,res
22,22,,,,,,,,,,,,,,0,,,,,,1000,,,,,,,,,,,,,0.25,,,,res
146,146,,,,,,,,,,,,,,0,,,,,,10500,,,,,,,,,,,,,0.35,,,,res
157,157,,,,,,,,,,,,,,0,,,,,,1500,,,,,,,,,,,,,0.2,,,,res
160,160,,,,,,,,,,,,,,0,,,,,,,,20000,,,,,,,,,,,,1,,,res
166,166,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1000,5000,10,0.5,,,,,,res
167,167,,,,,1,,,,,,,,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,res
180,180,,,,,,,,,,,,,,0,,,,,,500,,,,,,,,,,,,,0.3,,,,res
