size_class,perf_improvement_factor,turbine_id
Small Residential,0,1
Small Commercial,0,2
Mid-size,0,3
Large,0,4
Small Residential,0.1,5
Small Residential,0.25,6
Small Commercial,0.1,7
Small Commercial,0.25,8
Mid-size,0.1,7
Mid-size,0.25,8
Large,0.1,7
Large,0.25,8
