windspeed_ms,1,2,3,4,5,6,7,8
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0.022495961,0.032049675,0.01885275,0.031197994,0.033041925,0.039709845,0.037631081,0.045225101
4,0.05332376,0.0759696,0.044688,0.0739508,0.0783216,0.09412704,0.0891996,0.10720024
5,0.104147969,0.148378125,0.08728125,0.144435156,0.152971875,0.183841875,0.174217969,0.209375469
6,0.17996769,0.2563974,0.150822,0.24958395,0.2643354,0.31767876,0.30104865,0.36180081
7,0.285782026,0.407149575,0.23949975,0.396330069,0.419754825,0.504462105,0.478054106,0.574526286
8,0.42659008,0.6077568,0.357504,0.5916064,0.6265728,0.75301632,0.7135968,0.85760192
9,0.607390954,0.865341225,0.50902425,0.842345831,0.892131975,1,1,1
10,0.83318375,1,0.69825,1,1,1,1,1
11,1,1,0.92937075,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1
