year,load_growth_res,load_growth_com,load_growth_ind,census_division_abbr
2014,0.194907131,0.155376502,0.124735243,NE
2014,0.160147255,0.131911016,0.074008767,MA
2014,0.129956135,0.099979689,0.070459386,ENC
2014,0.115031099,0.0931636,0.069521493,WNC
2014,0.117749298,0.09533081,0.066478427,SA
2014,0.108490375,0.102840161,0.060473163,ESC
2014,0.109783287,0.082175867,0.05648413,WSC
2014,0.11867109,0.097552262,0.066584554,MTN
2014,0.143201105,0.137771604,0.091250438,PAC
2015,0.194907131,0.155376502,0.124735243,NE
2015,0.160147255,0.131911016,0.074008767,MA
2015,0.129956135,0.099979689,0.070459386,ENC
2015,0.115031099,0.0931636,0.069521493,WNC
2015,0.117749298,0.09533081,0.066478427,SA
2015,0.108490375,0.102840161,0.060473163,ESC
2015,0.109783287,0.082175867,0.05648413,WSC
2015,0.11867109,0.097552262,0.066584554,MTN
2015,0.143201105,0.137771604,0.091250438,PAC
2016,0.178246174,0.145767312,0.166903061,NE
2016,0.163570818,0.113882516,0.082760803,MA
2016,0.126528695,0.097215171,0.067778006,ENC
2016,0.118267056,0.091541254,0.06756254,WNC
2016,0.114407732,0.093459693,0.0628964,SA
2016,0.105369387,0.097440592,0.055839806,ESC
2016,0.098572088,0.083265348,0.055235383,WSC
2016,0.111558302,0.094611611,0.063614956,MTN
2016,0.14385916,0.135448224,0.093480633,PAC
2017,0.180927857,0.150308346,0.168134771,NE
2017,0.165911081,0.113036677,0.082630639,MA
2017,0.126851193,0.098951961,0.069069975,ENC
2017,0.117362209,0.092748096,0.068502872,WNC
2017,0.115879008,0.095421006,0.064290838,SA
2017,0.104676987,0.10000904,0.057848293,ESC
2017,0.098533142,0.085236316,0.057208475,WSC
2017,0.112464573,0.094526457,0.063066707,MTN
2017,0.144422288,0.133932527,0.092330169,PAC
2018,0.155631805,0.142149439,0.152462004,NE
2018,0.171874233,0.116069489,0.083061648,MA
2018,0.126431802,0.097865529,0.068360559,ENC
2018,0.111647337,0.088090615,0.063999959,WNC
2018,0.121543028,0.098759092,0.067384196,SA
2018,0.103107391,0.097940812,0.056715952,ESC
2018,0.094142788,0.083058663,0.055097351,WSC
2018,0.107535406,0.089316766,0.05800704,MTN
2018,0.142698331,0.13336886,0.089970046,PAC
2019,0.158521573,0.145644757,0.153607813,NE
2019,0.178071522,0.119763375,0.086103708,MA
2019,0.128297754,0.099265417,0.069462153,ENC
2019,0.110619178,0.087047975,0.063213443,WNC
2019,0.124109207,0.100466107,0.06819287,SA
2019,0.103019353,0.097912299,0.056731807,ESC
2019,0.096966612,0.085986088,0.05810404,WSC
2019,0.107780683,0.088967613,0.057376242,MTN
2019,0.142734456,0.13254035,0.088864174,PAC
2020,0.153532147,0.138093601,0.147974235,NE
2020,0.184331318,0.122873091,0.08834331,MA
2020,0.130937355,0.101151689,0.07080136,ENC
2020,0.110540735,0.086574019,0.063473902,WNC
2020,0.127213825,0.102353961,0.0690935,SA
2020,0.103775186,0.098352526,0.057034183,ESC
2020,0.102100688,0.091050302,0.061376933,WSC
2020,0.109314366,0.089419259,0.057760884,MTN
2020,0.144093113,0.133492249,0.09004796,PAC
2021,0.153116067,0.137549309,0.144799671,NE
2021,0.188205133,0.124216317,0.08950034,MA
2021,0.132757485,0.102335885,0.07147418,ENC
2021,0.110929722,0.086573727,0.063911752,WNC
2021,0.128137879,0.102571463,0.069047494,SA
2021,0.103265007,0.097708287,0.056680183,ESC
2021,0.103363209,0.092289252,0.061955448,WSC
2021,0.111016794,0.090188234,0.058371809,MTN
2021,0.146287378,0.134285429,0.090664791,PAC
2022,0.159445755,0.142103493,0.146902668,NE
2022,0.19724859,0.129092909,0.091584234,MA
2022,0.136053334,0.103800488,0.071941348,ENC
2022,0.113072263,0.088697283,0.066866229,WNC
2022,0.132310402,0.105836773,0.071813886,SA
2022,0.104464789,0.099119758,0.058242513,ESC
2022,0.106329643,0.09524288,0.062934473,WSC
2022,0.114078405,0.093295369,0.061364453,MTN
2022,0.150584,0.141862722,0.098466819,PAC
2023,0.1654958,0.146112059,0.148494574,NE
2023,0.201424761,0.131357503,0.092742139,MA
2023,0.138743929,0.10516699,0.072420934,ENC
2023,0.114574889,0.089148899,0.066857792,WNC
2023,0.133494999,0.10615456,0.071868623,SA
2023,0.103980316,0.098457409,0.057961585,ESC
2023,0.106389411,0.095314057,0.062491504,WSC
2023,0.11637833,0.093717877,0.061269833,MTN
2023,0.158369466,0.145754304,0.100121487,PAC
2024,0.169449636,0.148787607,0.150245849,NE
2024,0.204234057,0.133375433,0.093213144,MA
2024,0.13911904,0.105181111,0.072665848,ENC
2024,0.113637434,0.087891338,0.065778134,WNC
2024,0.133303745,0.105671595,0.071920088,SA
2024,0.103628932,0.098105001,0.058122823,ESC
2024,0.105763466,0.094693773,0.062088688,WSC
2024,0.115959336,0.092653257,0.060540893,MTN
2024,0.157893047,0.145130644,0.099355457,PAC
2025,0.174217835,0.151940177,0.152879584,NE
2025,0.209185501,0.135426423,0.095033408,MA
2025,0.140640075,0.106541757,0.074147147,ENC
2025,0.113401873,0.088018358,0.06633054,WNC
2025,0.13508671,0.107215566,0.073685986,SA
2025,0.105098909,0.099959843,0.059895617,ESC
2025,0.107793007,0.096884743,0.063699376,WSC
2025,0.116959379,0.093398343,0.061550885,MTN
2025,0.160100808,0.149023653,0.103663458,PAC
2026,0.177718774,0.154041121,0.154931486,NE
2026,0.212795885,0.13816646,0.097183165,MA
2026,0.142938677,0.107840767,0.074998458,ENC
2026,0.113419283,0.08770769,0.066120611,WNC
2026,0.136087355,0.108091796,0.074141365,SA
2026,0.105306735,0.100227336,0.060335454,ESC
2026,0.10905037,0.098388298,0.065144119,WSC
2026,0.117648888,0.093234054,0.061337917,MTN
2026,0.164515438,0.15124289,0.104530278,PAC
2027,0.179716111,0.15515029,0.156346952,NE
2027,0.214679849,0.140239171,0.098440749,MA
2027,0.143215573,0.10789474,0.075430608,ENC
2027,0.112839438,0.087213517,0.065995357,WNC
2027,0.136030697,0.108071499,0.07448762,SA
2027,0.105455032,0.1005051,0.060873926,ESC
2027,0.109510214,0.098999108,0.066016408,WSC
