year,economic_lifetime_yrs,loan_term_yrs_res,loan_interest_rate_res,down_payment_fraction_res,real_discount_rate_res,tax_rate_res,loan_term_yrs_nonres,loan_interest_rate_nonres,down_payment_fraction_nonres,real_discount_rate_nonres,tax_rate_nonres
2014,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2015,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2016,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2017,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2018,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2019,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2020,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2021,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2022,30,30,0.04147430280720377,1,0.04371950254303458,0.25739999999999996,30,0.04147430280720377,1,0.04372281481412954,0.25739999999999996
2023,30,30,0.04333701784295374,1,0.04558721896215867,0.25739999999999996,30,0.04333701784295374,1,0.04559193895519997,0.25739999999999996
2024,30,30,0.043885465276984004,1,0.04613770001343065,0.25739999999999996,30,0.043885465276984004,1,0.04614227605513732,0.25739999999999996
2025,30,30,0.043902439024390505,1,0.0461547330885721,0.25739999999999996,30,0.043902439024390505,1,0.046159274789528304,0.25739999999999996
2026,30,30,0.043902439024390505,1,0.046154729249310966,0.25739999999999996,30,0.043902439024390505,1,0.046159238582460294,0.25739999999999996
2027,30,30,0.043902439024390505,1,0.046154725173318534,0.25739999999999996,30,0.043902439024390505,1,0.04615920048576383,0.25739999999999996
2028,30,30,0.043902439024390505,1,0.04615472083800287,0.25739999999999996,30,0.043902439024390505,1,0.04615916034754686,0.25739999999999996
2029,30,30,0.043902439024390505,1,0.04615471621780265,0.25739999999999996,30,0.043902439024390505,1,0.046159117999190924,0.25739999999999996
2030,30,30,0.043902439024390505,1,0.04615471128368287,0.25739999999999996,30,0.043902439024390505,1,0.04615907325298152,0.25739999999999996
2031,30,30,0.043902439024390505,1,0.04615470600252536,0.25739999999999996,30,0.043902439024390505,1,0.04615902589932763,0.25739999999999996
2032,30,30,0.043902439024390505,1,0.046154700336381804,0.25739999999999996,30,0.043902439024390505,1,0.0461589757034786,0.25739999999999996
2033,30,30,0.043902439024390505,1,0.04485983271097904,0.25739999999999996,30,0.043902439024390505,1,0.04615892240163255,0.25739999999999996
2034,30,30,0.043902439024390505,1,0.04356496499223983,0.25739999999999996,30,0.043902439024390505,1,0.0461588656962979,0.25739999999999996
2035,30,30,0.043902439024390505,1,0.03644322158434554,0.25739999999999996,30,0.043902439024390505,1,0.04615880525073868,0.25739999999999996
2036,30,30,0.043902439024390505,1,0.03644321854151955,0.25739999999999996,30,0.043902439024390505,1,0.04615877933036838,0.25739999999999996
2037,30,30,0.043902439024390505,1,0.036443215394579065,0.25739999999999996,30,0.043902439024390505,1,0.046158752690404814,0.25739999999999996
2038,30,30,0.043902439024390505,1,0.036443212138087766,0.25739999999999996,30,0.043902439024390505,1,0.046158725300460945,0.25739999999999996
2039,30,30,0.043902439024390505,1,0.03644320876622387,0.25739999999999996,30,0.043902439024390505,1,0.04615869712841336,0.25739999999999996
2040,30,30,0.043902439024390505,1,0.03644320527274547,0.25739999999999996,30,0.043902439024390505,1,0.04615866814027858,0.25739999999999996
2041,30,30,0.043902439024390505,1,0.036443201650952384,0.25739999999999996,30,0.043902439024390505,1,0.04615863830007472,0.25739999999999996
2042,30,30,0.043902439024390505,1,0.03644319789364259,0.25739999999999996,30,0.043902439024390505,1,0.04615860756967316,0.25739999999999996
2043,30,30,0.043902439024390505,1,0.036443193993065615,0.25739999999999996,30,0.043902439024390505,1,0.046158575908636035,0.25739999999999996
2044,30,30,0.043902439024390505,1,0.036443189940867704,0.25739999999999996,30,0.043902439024390505,1,0.04615854327403812,0.25739999999999996
2045,30,30,0.043902439024390505,1,0.036443185728032956,0.25739999999999996,30,0.043902439024390505,1,0.046158509620274124,0.25739999999999996
2046,30,30,0.043902439024390505,1,0.03644318134481628,0.25739999999999996,30,0.043902439024390505,1,0.04615847489884395,0.25739999999999996
2047,30,30,0.043902439024390505,1,0.03644317678066855,0.25739999999999996,30,0.043902439024390505,1,0.04615843905812134,0.25739999999999996
2048,30,30,0.043902439024390505,1,0.03644317202415026,0.25739999999999996,30,0.043902439024390505,1,0.046158402043096514,0.25739999999999996
2049,30,30,0.043902439024390505,1,0.03644316706283801,0.25739999999999996,30,0.043902439024390505,1,0.04615836379509575,0.25739999999999996
2050,30,30,0.043902439024390505,1,0.03644316188321417,0.25739999999999996,30,0.043902439024390505,1,0.04615832425146915,0.25739999999999996
