year,economic_lifetime_yrs,loan_term_yrs_res,loan_interest_rate_res,down_payment_fraction_res,real_discount_rate_res,tax_rate_res,loan_term_yrs_nonres,loan_interest_rate_nonres,down_payment_fraction_nonres,real_discount_rate_nonres,tax_rate_nonres
2014,30,30,0.014634146,1,0.030925165,0.257,30,0.014634146,1,0.030646059,0.257
2016,30,30,0.014634146,1,0.030925165,0.257,30,0.014634146,1,0.030646059,0.257
2018,30,30,0.014634146,1,0.030925165,0.257,30,0.014634146,1,0.030646059,0.257
2020,30,30,0.014634146,1,0.030925165,0.257,30,0.01463415,1,0.030646059,0.257
2022,30,30,0.014634146,1,0.030925165,0.257,30,0.01463415,1,0.030646059,0.257
2024,30,30,0.014634146,1,0.029244186,0.257,30,0.01463415,1,0.028992368,0.257
2026,30,30,0.016585366,1,0.023512419,0.257,30,0.01658537,1,0.023369467,0.257
2028,30,30,0.020487805,1,0.025881309,0.257,30,0.0204878,1,0.025734352,0.257
2030,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2032,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2034,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2036,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2038,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2040,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2042,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2044,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2046,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2048,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
2050,30,30,0.024390244,1,0.028207763,0.257,30,0.02439024,1,0.028056786,0.257
