year,economic_lifetime_yrs,loan_term_yrs_res,loan_interest_rate_res,down_payment_fraction_res,real_discount_rate_res,tax_rate_res,loan_term_yrs_nonres,loan_interest_rate_nonres,down_payment_fraction_nonres,real_discount_rate_nonres,tax_rate_nonres
2014,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2015,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2016,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2017,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2018,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2019,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2020,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2021,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2022,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2023,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2024,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2025,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2026,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2027,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2028,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2029,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2030,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2031,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2032,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2033,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2034,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2035,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2036,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2037,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2038,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2039,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2040,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2041,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2042,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2043,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2044,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2045,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2046,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2047,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2048,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2049,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
2050,30,30,0.043902439,1,0.037804845,0.2574,30,0.043902439,1,0.037804845,0.2574
