state_abbr,peak_demand_mw_2014
AL,16455.89
AR,9024.10
AZ,16285.49
CA,51697.29
CO,9458.67
CT,6648.64
DE,2376.86
FL,44681.12
GA,27193.31
IA,8518.78
ID,4452.39
IL,29764.74
IN,19208.96
KS,8599.61
KY,16545.51
LA,15920.79
MA,12122.84
MD,14941.67
ME,2026.23
MI,20481.43
MN,11652.69
MO,17261.85
MS,8854.48
MT,2080.36
NC,25653.04
ND,1926.60
NE,5995.06
NH,2213.08
NJ,17705.35
NM,4098.51
NV,7709.07
NY,27925.32
OH,27970.34
OK,11763.53
OR,7478.83
PA,26745.19
RI,1708.54
SC,15253.46
SD,1826.65
TN,18096.35
TX,76582.62
UT,5327.69
VA,21384.33
VT,1023.34
WA,13315.34
WI,12786.27
WV,5478.89
WY,2403.98
