county_id,ba
1,p102
2,p87
3,p40
4,p88
5,p5
6,p10
7,p100
8,p85
9,p62
10,p114
11,p25
12,p18
13,p92
14,p16
15,p79
16,p116
17,p98
18,p86
19,p80
20,p50
21,p92
22,p70
23,p3
24,p38
25,p112
26,p118
27,p42
28,p86
29,p87
30,p92
31,p40
32,p65
33,p93
34,p117
35,p98
36,p5
37,p15
38,p78
39,p25
40,p98
41,p86
42,p100
43,p46
44,p5
45,p103
46,p116
47,p109
48,p40
49,p64
50,p112
51,p101
52,p45
53,p81
54,p66
55,p63
56,p99
57,p81
58,p116
59,p97
60,p53
61,p126
62,p127
63,p127
64,p110
65,p85
66,p109
67,p107
68,p38
69,p129
70,p40
71,p31
72,p99
73,p66
74,p22
75,p94
76,p129
77,p53
78,p53
79,p63
80,p84
81,p50
82,p15
83,p57
84,p123
85,p97
86,p31
87,p52
88,p94
89,p9
90,p109
91,p126
92,p99
93,p92
94,p94
95,p85
96,p95
97,p45
98,p119
99,p57
100,p74
101,p54
102,p40
103,p93
104,p48
105,p62
106,p103
107,p63
108,p99
109,p100
110,p45
111,p83
112,p87
113,p84
114,p80
115,p2
116,p48
117,p33
118,p109
119,p40
120,p85
121,p105
122,p67
123,p27
124,p52
125,p24
126,p99
127,p38
128,p134
129,p90
130,p99
131,p34
132,p92
133,p34
134,p53
135,p122
137,p123
138,p64
139,p87
140,p96
141,p130
142,p50
143,p78
144,p131
145,p134
146,p111
147,p122
148,p92
149,p70
150,p18
151,p85
152,p94
153,p109
154,p70
155,p112
156,p105
157,p90
158,p73
159,p83
160,p37
161,p63
162,p101
163,p101
164,p66
165,p98
166,p37
167,p9
168,p44
169,p40
170,p94
171,p98
172,p87
173,p81
174,p112
175,p92
176,p87
177,p17
178,p103
179,p55
180,p3
181,p64
182,p53
183,p72
184,p12
185,p34
186,p34
187,p101
188,p17
189,p92
190,p18
191,p33
192,p112
193,p65
194,p98
195,p109
196,p40
197,p53
198,p5
199,p9
200,p1
201,p46
202,p131
203,p61
204,p98
205,p116
206,p96
207,p12
208,p14
209,p96
210,p81
211,p58
212,p130
213,p122
214,p123
215,p97
216,p80
217,p103
218,p132
219,p95
220,p89
221,p51
222,p40
223,p45
224,p85
225,p38
226,p38
227,p82
228,p87
229,p85
230,p87
231,p81
232,p63
233,p45
234,p104
235,p83
236,p33
237,p122
238,p50
239,p123
241,p92
242,p99
243,p93
244,p134
245,p28
246,p99
247,p72
248,p72
249,p85
250,p90
251,p11
252,p38
253,p40
254,p36
255,p92
256,p4
257,p5
258,p64
259,p45
260,p45
261,p65
262,p109
263,p1
264,p50
265,p12
266,p127
267,p116
268,p50
269,p131
270,p130
271,p67
272,p57
273,p57
274,p94
275,p55
276,p9
277,p5
278,p94
279,p28
280,p41
281,p92
282,p76
283,p74
284,p65
285,p10
286,p38
287,p103
288,p128
289,p51
290,p127
291,p117
292,p98
293,p79
294,p37
295,p86
296,p38
297,p94
298,p84
299,p94
301,p17
302,p43
303,p94
304,p73
305,p45
306,p103
307,p40
308,p37
309,p112
310,p43
311,p112
312,p99
313,p107
314,p122
315,p58
316,p105
317,p51
318,p46
319,p83
320,p88
321,p55
322,p36
323,p32
324,p103
325,p37
326,p74
327,p89
328,p50
329,p65
330,p76
331,p113
332,p18
333,p15
334,p107
335,p94
336,p43
337,p50
338,p109
339,p92
340,p83
341,p105
342,p44
343,p15
344,p80
345,p48
346,p64
347,p45
348,p94
349,p58
350,p80
351,p65
352,p94
353,p69
354,p90
355,p21
356,p48
357,p64
358,p24
359,p25
360,p98
361,p92
362,p43
363,p105
364,p118
365,p89
367,p43
368,p55
369,p105
370,p126
371,p45
372,p52
373,p93
374,p66
375,p62
376,p122
377,p42
378,p43
379,p31
380,p73
381,p71
382,p105
383,p40
384,p66
385,p93
386,p90
387,p105
388,p79
389,p36
390,p94
391,p103
392,p61
393,p95
394,p131
395,p89
396,p65
397,p72
398,p97
399,p85
400,p53
401,p91
402,p25
403,p88
404,p97
405,p97
406,p43
407,p112
408,p48
409,p101
410,p123
411,p42
412,p94
413,p103
414,p68
415,p70
416,p101
417,p34
418,p109
419,p19
420,p46
421,p45
422,p111
423,p122
424,p111
425,p122
426,p104
427,p43
428,p98
429,p53
430,p63
431,p90
432,p44
433,p88
434,p84
435,p116
436,p107
437,p129
438,p53
439,p92
440,p48
441,p112
442,p92
443,p46
444,p56
445,p116
446,p70
447,p72
448,p106
449,p55
450,p40
451,p99
452,p6
453,p53
454,p109
455,p76
456,p99
457,p41
458,p2
459,p70
460,p7
461,p61
462,p96
463,p118
464,p40
465,p94
466,p105
467,p124
468,p31
469,p107
470,p72
471,p40
472,p89
473,p61
474,p46
475,p52
476,p107
477,p88
478,p99
479,p131
480,p48
481,p92
482,p17
483,p93
484,p33
485,p92
486,p1
487,p85
488,p75
489,p85
490,p70
491,p99
492,p88
493,p68
494,p43
495,p34
496,p116
497,p53
498,p80
499,p98
500,p42
501,p83
503,p66
504,p40
505,p111
506,p53
507,p15
508,p101
509,p94
510,p94
511,p60
512,p43
513,p58
514,p58
515,p85
516,p91
517,p60
518,p96
519,p99
520,p46
521,p98
522,p53
523,p18
524,p81
525,p81
526,p53
527,p83
528,p99
529,p35
530,p15
531,p92
532,p112
533,p101
534,p39
535,p60
536,p48
537,p48
538,p127
539,p48
540,p55
541,p26
542,p25
543,p81
544,p21
545,p97
546,p127
547,p125
548,p87
549,p93
550,p80
551,p116
552,p107
553,p109
554,p70
555,p96
556,p99
557,p109
558,p100
559,p92
560,p89
561,p110
562,p70
563,p127
564,p81
565,p91
566,p63
567,p93
568,p81
569,p107
570,p97
571,p94
572,p107
573,p45
574,p65
575,p28
576,p64
577,p90
578,p33
579,p112
580,p105
581,p87
582,p102
583,p108
584,p9
585,p63
586,p112
587,p9
588,p41
589,p5
590,p77
591,p107
592,p116
593,p84
594,p53
595,p116
596,p113
597,p19
598,p120
599,p33
600,p16
601,p122
602,p112
603,p94
604,p34
605,p81
606,p3
607,p101
608,p40
609,p2
610,p37
611,p94
612,p103
613,p54
614,p64
615,p92
616,p132
617,p60
618,p42
619,p109
620,p108
621,p17
622,p45
623,p46
624,p3
625,p122
626,p94
627,p96
628,p92
629,p33
630,p61
631,p89
632,p60
633,p61
634,p94
635,p114
636,p31
637,p92
638,p109
639,p38
640,p38
641,p127
643,p108
644,p105
645,p45
646,p48
647,p50
648,p94
649,p38
650,p103
651,p66
652,p60
653,p36
654,p99
655,p38
656,p127
657,p65
658,p89
659,p40
660,p126
661,p83
662,p50
663,p42
664,p50
665,p93
666,p18
667,p50
668,p103
669,p72
670,p53
671,p94
672,p92
673,p72
674,p76
675,p94
676,p54
677,p117
678,p134
679,p58
680,p33
681,p58
682,p43
683,p38
684,p94
685,p34
686,p60
687,p63
688,p127
689,p107
690,p40
691,p5
692,p87
693,p103
694,p94
695,p118
697,p34
698,p89
699,p70
700,p36
701,p90
702,p37
703,p109
704,p87
705,p58
706,p56
707,p85
708,p94
709,p96
710,p101
711,p90
712,p21
713,p96
714,p111
715,p33
716,p64
717,p94
718,p74
719,p44
720,p64
721,p50
722,p53
723,p92
724,p96
725,p70
726,p87
727,p36
728,p109
729,p30
730,p15
731,p28
732,p99
733,p38
734,p63
735,p73
736,p67
737,p107
738,p49
739,p5
740,p63
741,p40
742,p45
743,p83
744,p104
745,p15
746,p92
747,p9
748,p93
749,p109
750,p91
751,p9
752,p65
753,p122
754,p117
755,p55
756,p12
757,p99
758,p109
759,p35
760,p116
761,p92
762,p48
763,p50
764,p6
765,p39
766,p2
767,p44
768,p64
769,p127
770,p107
771,p81
772,p16
773,p17
774,p130
775,p63
776,p103
777,p88
778,p51
779,p25
780,p50
781,p58
782,p73
783,p129
784,p109
785,p20
786,p96
787,p112
788,p81
789,p53
790,p63
791,p38
792,p53
793,p97
794,p50
795,p90
796,p83
797,p53
798,p109
799,p81
800,p45
801,p18
802,p58
803,p122
804,p46
805,p51
806,p46
807,p38
808,p80
809,p64
810,p38
811,p34
812,p112
813,p18
814,p52
815,p38
816,p53
817,p112
818,p60
819,p53
820,p127
821,p31
822,p94
823,p53
824,p37
825,p122
826,p127
827,p99
828,p108
829,p96
830,p84
831,p63
832,p129
833,p98
834,p103
835,p25
836,p122
837,p63
838,p97
839,p31
840,p63
841,p126
842,p89
843,p109
844,p123
845,p87
846,p66
847,p98
848,p66
849,p94
850,p37
851,p57
852,p56
853,p127
854,p33
855,p115
856,p63
857,p66
858,p99
859,p53
860,p1
861,p109
862,p87
863,p71
864,p53
865,p134
866,p38
867,p85
868,p92
869,p127
870,p90
871,p38
872,p101
873,p118
874,p102
875,p97
876,p87
877,p103
878,p50
879,p118
880,p14
881,p70
882,p50
883,p63
884,p81
885,p122
886,p97
887,p45
888,p103
889,p85
890,p112
891,p103
892,p94
893,p83
894,p94
895,p38
896,p90
897,p99
898,p87
899,p62
900,p25
901,p118
902,p40
903,p63
904,p38
905,p122
906,p50
907,p58
908,p51
909,p92
910,p101
911,p97
912,p5
913,p99
914,p83
915,p84
916,p131
917,p40
918,p36
919,p116
920,p96
921,p58
922,p54
923,p45
924,p96
925,p94
926,p127
927,p95
928,p99
929,p36
930,p92
931,p101
932,p116
933,p55
934,p118
935,p60
936,p36
937,p40
938,p111
939,p58
940,p9
941,p92
942,p116
943,p58
944,p13
945,p93
946,p102
947,p33
948,p80
949,p102
950,p5
951,p118
952,p33
953,p40
954,p85
955,p34
956,p54
957,p63
958,p73
959,p87
960,p80
961,p99
962,p9
963,p131
964,p92
965,p84
966,p94
967,p18
968,p31
969,p88
970,p105
971,p71
972,p84
973,p103
974,p127
975,p51
976,p94
977,p90
978,p29
979,p56
980,p79
981,p111
982,p130
983,p93
984,p94
985,p77
986,p94
987,p122
988,p70
989,p133
990,p127
991,p40
992,p82
993,p126
994,p123
995,p61
996,p63
997,p101
998,p85
999,p89
1000,p109
1001,p94
1002,p63
1003,p46
1004,p61
1005,p118
1006,p37
1007,p94
1008,p130
1009,p92
1010,p45
1011,p64
1012,p103
1013,p63
1014,p48
1015,p30
1016,p115
1017,p48
1018,p87
1019,p107
1020,p43
1021,p31
1022,p38
1023,p90
1024,p88
1025,p43
1026,p65
1027,p105
1028,p60
1029,p97
1030,p116
1031,p32
1032,p63
1033,p92
1034,p94
1035,p53
1036,p94
1037,p109
1038,p111
1039,p103
1040,p54
1041,p118
1042,p5
1043,p2
1044,p109
1045,p40
1046,p54
1047,p60
1048,p98
1049,p116
1050,p112
1051,p48
1052,p98
1053,p94
1054,p94
1055,p61
1056,p94
1057,p54
