year,tech,system_capex_per_kw_res,system_capex_per_kw_nonres,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,"pv,batt",2940,1741,399,876,302,0,12141,457871,0,0,0,0,0,1
2015,"pv,batt",2802,1670,382,840,289,0,11599,438937,0,0,0,0,0,1
2016,"pv,batt",2663,1600,366,803,276,0,11057,420003,0,0,0,0,0,1
2017,"pv,batt",2525,1529,349,766,263,0,10515,401069,0,0,0,0,0,1
2018,"pv,batt",2387,1459,333,729,251,0,9973,382135,0,0,0,0,0,1
2019,"pv,batt",2246,1379,333,710,250,0,9512,367232,0,0,0,0,0,1
2020,"pv,batt",2122,1324,310,677,229,0,9057,352359,0,0,0,0,0,1
2021,"pv,batt",1979,1251,286,629,213,0,8432,329440,0,0,0,0,0,1
2022,"pv,batt",1835,1179,263,581,198,0,7808,306521,0,0,0,0,0,1
2023,"pv,batt",1691,1106,239,534,182,0,7183,283602,0,0,0,0,0,1
2024,"pv,batt",1548,1034,216,486,166,0,6558,260683,0,0,0,0,0,1
2025,"pv,batt",1404,962,204,439,151,0,5934,237764,0,0,0,0,0,1
2026,"pv,batt",1271,892,192,415,142,0,5483,223255,0,0,0,0,0,1
2027,"pv,batt",1137,822,181,391,134,0,5032,208746,0,0,0,0,0,1
2028,"pv,batt",1004,753,169,367,125,0,4582,194237,0,0,0,0,0,1
2029,"pv,batt",870,683,157,343,116,0,4131,179728,0,0,0,0,0,1
2030,"pv,batt",737,613,154,319,108,0,3681,165219,0,0,0,0,0,1
2031,"pv,batt",725,605,151,313,106,0,3615,162321,0,0,0,0,0,1
2032,"pv,batt",714,597,148,307,104,0,3549,159423,0,0,0,0,0,1
2033,"pv,batt",702,588,145,300,102,0,3484,156526,0,0,0,0,0,1
2034,"pv,batt",691,580,142,294,100,0,3418,153628,0,0,0,0,0,1
2035,"pv,batt",679,572,139,288,98,0,3352,150730,0,0,0,0,0,1
2036,"pv,batt",667,563,136,282,96,0,3287,147833,0,0,0,0,0,1
2037,"pv,batt",656,555,133,275,94,0,3221,144935,0,0,0,0,0,1
2038,"pv,batt",644,547,129,269,92,0,3155,142037,0,0,0,0,0,1
2039,"pv,batt",633,538,126,263,90,0,3089,139140,0,0,0,0,0,1
2040,"pv,batt",621,530,123,257,88,0,3024,136242,0,0,0,0,0,1
2041,"pv,batt",609,522,120,251,86,0,2958,133344,0,0,0,0,0,1
2042,"pv,batt",598,514,117,244,83,0,2892,130446,0,0,0,0,0,1
2043,"pv,batt",586,505,114,238,81,0,2826,127549,0,0,0,0,0,1
2044,"pv,batt",574,497,111,232,79,0,2761,124651,0,0,0,0,0,1
2045,"pv,batt",563,489,108,226,77,0,2695,121753,0,0,0,0,0,1
2046,"pv,batt",551,480,105,219,75,0,2629,118856,0,0,0,0,0,1
2047,"pv,batt",540,472,102,213,73,0,2563,115958,0,0,0,0,0,1
2048,"pv,batt",528,464,99,207,71,0,2498,113060,0,0,0,0,0,1
2049,"pv,batt",516,455,96,201,69,0,2432,110163,0,0,0,0,0,1
2050,"pv,batt",505,447,112,194,67,0,2366,107265,0,0,0,0,0,1
