year,tech,system_capex_per_kw_res,system_capex_per_kw_nonres,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2015,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2016,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2017,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2018,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2019,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2020,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2021,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2022,"pv,batt",3182.995731470985,2058.2954411795413,621.8244797215993,672.9079077960371,275.1609021450845,997.1496562474516,8156.077351624998,224763.62228219723,96.46711443562587,0.0,55.566548596836384,0.0,0.174,1
2023,"pv,batt",2682.1846272586527,1845.2278596640967,447.33918380364224,484.08849131070974,338.7313445206362,1157.490658744144,5867.464380219969,219271.0337546971,69.39823317159522,0.0,65.85583194503802,0.0,0.174,1
2024,"pv,batt",2559.342026977293,1768.8932242233273,422.22788410937727,456.9142762542799,251.98935720098424,772.6897491818429,5538.095387223812,158335.44401313504,65.50257659931214,0.0,46.715282838715815,0.0,0.174,1
2025,"pv,batt",2436.4994266959334,1692.558588782558,400.7446649570409,433.6661917481917,183.97536992695677,666.7043735157332,5256.313625838648,150279.23746843514,62.1697644827131,0.0,37.152357962095046,0.0,0.174,1
2026,"pv,batt",2313.656826414573,1616.2239533417885,386.3057995230142,418.0411608158138,177.34672120911188,642.6829564508229,5066.9281847856455,144864.6633590891,59.92978241451196,0.0,35.81375524550245,0.0,0.174,1
2027,"pv,batt",2190.814226133214,1539.8893179010188,371.8669340889871,402.4161298834363,170.71807249126698,618.6615393859125,4877.542743732643,139450.08924974332,57.689800346310825,0.0,34.47515252890983,0.0,0.174,1
