year,tech,system_capex_per_kw_res,system_capex_per_kw_nonres,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,"pv,batt",2805,1643,440,775,309,0,11132,411072,0,0,0,0,0,1
2015,"pv,batt",2690,1589,420,757,294,0,10775,400763,0,0,0,0,0,1
2016,"pv,batt",2575,1536,400,739,279,0,10418,390454,0,0,0,0,0,1
2017,"pv,batt",2461,1482,380,721,264,0,10061,380145,0,0,0,0,0,1
2018,"pv,batt",2346,1429,359,703,249,0,9704,369837,0,0,0,0,0,1
2019,"pv,batt",2246,1379,363,710,250,0,9512,367232,0,0,0,0,0,1
2020,"pv,batt",2122,1324,333,677,229,0,9057,352359,0,0,0,0,0,1
2021,"pv,batt",2002,1269,304,649,208,0,8636,339062,0,0,0,0,0,1
2022,"pv,batt",1882,1213,275,620,187,0,8214,325699,0,0,0,0,0,1
2023,"pv,batt",1764,1159,247,597,167,0,7823,313776,0,0,0,0,0,1
2024,"pv,batt",1649,1105,219,578,146,0,7456,302998,0,0,0,0,0,1
2025,"pv,batt",1535,1051,191,561,126,0,7108,293128,0,0,0,0,0,1
2026,"pv,batt",1423,998,179,548,117,0,6784,284338,0,0,0,0,0,1
2027,"pv,batt",1312,946,169,536,109,0,6467,275926,0,0,0,0,0,1
2028,"pv,batt",1201,894,161,525,102,0,6158,267852,0,0,0,0,0,1
2029,"pv,batt",1091,842,153,514,96,0,5847,259711,0,0,0,0,0,1
2030,"pv,batt",980,790,146,504,90,0,5542,251873,0,0,0,0,0,1
2031,"pv,batt",969,781,144,498,89,0,5491,248782,0,0,0,0,0,1
2032,"pv,batt",957,772,142,491,88,0,5440,245692,0,0,0,0,0,1
2033,"pv,batt",945,762,141,485,87,0,5389,242601,0,0,0,0,0,1
2034,"pv,batt",934,753,139,479,86,0,5337,239510,0,0,0,0,0,1
2035,"pv,batt",922,744,137,473,85,0,5286,236420,0,0,0,0,0,1
2036,"pv,batt",910,735,136,466,83,0,5235,233329,0,0,0,0,0,1
2037,"pv,batt",899,725,134,460,82,0,5183,230239,0,0,0,0,0,1
2038,"pv,batt",887,716,132,454,81,0,5132,227148,0,0,0,0,0,1
2039,"pv,batt",876,707,131,448,80,0,5081,224057,0,0,0,0,0,1
2040,"pv,batt",864,698,129,442,79,0,5029,220967,0,0,0,0,0,1
2041,"pv,batt",852,688,127,435,78,0,4978,217876,0,0,0,0,0,1
2042,"pv,batt",841,679,125,429,77,0,4927,214785,0,0,0,0,0,1
2043,"pv,batt",829,670,124,423,76,0,4875,211695,0,0,0,0,0,1
2044,"pv,batt",817,661,122,417,75,0,4824,208604,0,0,0,0,0,1
2045,"pv,batt",806,651,120,411,73,0,4773,205514,0,0,0,0,0,1
2046,"pv,batt",794,642,119,404,72,0,4721,202423,0,0,0,0,0,1
2047,"pv,batt",782,633,117,398,71,0,4670,199332,0,0,0,0,0,1
2048,"pv,batt",771,624,115,392,70,0,4619,196242,0,0,0,0,0,1
2049,"pv,batt",759,615,114,386,69,0,4567,193151,0,0,0,0,0,1
2050,"pv,batt",747,605,112,379,68,0,4516,190060,0,0,0,0,0,1
