year,tech,system_capex_per_kw_res,system_capex_per_kw_nonres,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2015,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2016,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2017,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2018,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2019,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2020,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2021,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2022,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2023,"pv,batt",2792.5954461566216,1916.711920094111,799.542952870194,876.1572500830023,360.7082659025788,655.2866830563515,0.0,0.0,115.00058529033949,0.0,83.92478986666667,0.0,0.174,1
2024,"pv,batt",3153.6197393392217,1721.6542036692445,615.03304066938,673.9671154484632,277.4678968481375,504.06667927411655,0.0,0.0,88.46198868487653,0.0,64.55753066666666,0.0,0.174,1
2025,"pv,batt",2948.684082330833,1608.5293173596804,530.039960152744,651.7895952210442,239.1238571979609,487.4798922939668,0.0,0.0,79.07557982411616,0.0,57.75901284343242,0.0,0.174,1
2026,"pv,batt",2743.7484253224447,1495.404431050116,445.04687963610814,629.6120749936252,200.77981754778432,470.8931053138171,0.0,0.0,69.68917096335582,0.0,50.96049502019818,0.0,0.174,1
2027,"pv,batt",2538.8127683140565,1382.279544740552,413.5709725714027,621.3989644514413,186.57968006390877,464.7504386130017,0.0,0.0,66.2130558351979,0.0,48.44276635474547,0.0,0.174,1
2028,"pv,batt",2333.877111305668,1269.1546584309876,382.0950655066972,613.1858539092575,172.3795425800331,458.6077719121864,0.0,0.0,62.73694070704002,0.0,45.92503768929275,0.0,0.174,1
2029,"pv,batt",2128.9414542972795,1156.0297721214235,350.6191584419918,604.9727433670736,158.1794050961575,452.4651052113709,0.0,0.0,59.26082557888213,0.0,43.40730902384004,0.0,0.174,1
2030,"pv,batt",1924.0057972888912,1042.9048858118592,319.14325137728633,596.7596328248896,143.9792676122819,446.3224385105556,0.0,0.0,55.78471045072422,0.0,40.88958035838733,0.0,0.174,1
2031,"pv,batt",1890.368880557177,1021.8648867487036,287.6673443125808,588.5465222827058,129.77913012840625,440.1797718097402,0.0,0.0,52.30859532256631,0.0,38.37185169293461,0.0,0.174,1
2032,"pv,batt",1856.7319638254623,1000.824887685548,256.19143724787534,580.3334117405219,115.57899264453064,434.0371051089248,0.0,0.0,48.83248019440841,0.0,35.8541230274819,0.0,0.174,1
2033,"pv,batt",1823.095047093748,979.7848886223924,224.71553018316996,572.1203011983381,101.37885516065504,427.8944384081094,0.0,0.0,45.35636506625052,0.0,33.33639436202919,0.0,0.174,1
2034,"pv,batt",1789.4581303620332,958.7448895592368,193.2396231184644,563.9071906561542,87.1787176767794,421.7517717072941,0.0,0.0,41.88024993809261,0.0,30.818665696576463,0.0,0.174,1
2035,"pv,batt",1755.8212136303189,937.7048904960814,161.76371605375863,555.6940801139702,72.97858019290364,415.6091050064786,0.0,0.0,38.40413480993468,0.0,28.300937031123727,0.0,0.174,1
2036,"pv,batt",1722.184296898604,916.6648914329256,155.32063798637867,554.0128668516954,70.07183014474596,414.3517089602301,0.0,0.0,37.69257847270569,0.0,27.78556118156855,0.0,0.174,1
2037,"pv,batt",1688.5473801668895,895.6248923697701,148.8775599189987,552.3316535894206,67.16508009658828,413.0943129139815,0.0,0.0,36.9810221354767,0.0,27.270185332013384,0.0,0.174,1
2038,"pv,batt",1654.910463435175,874.5848933066146,142.43448185161887,550.6504403271458,64.25833004843066,411.8369168677328,0.0,0.0,36.26946579824772,0.0,26.754809482458217,0.0,0.174,1
2039,"pv,batt",1621.2735467034604,853.5448942434589,135.99140378423897,548.969227064871,61.351580000273024,410.57952082148427,0.0,0.0,35.55790946101874,0.0,26.239433632903054,0.0,0.174,1
2040,"pv,batt",1587.6366299717458,832.5048951803035,129.54832571685898,547.2880138025962,58.44482995211534,409.3221247752357,0.0,0.0,34.84635312378975,0.0,25.72405778334788,0.0,0.174,1
2041,"pv,batt",1565.0811962385478,818.6229975176807,123.10524764947915,545.6068005403214,55.53807990395773,408.0647287289871,0.0,0.0,34.13479678656078,0.0,25.20868193379272,0.0,0.174,1
