Zip Codes,County
53910,Adams
54909,Portage
54406,Portage
54408,Marathon
53503,Iowa
53504,Lafayette
54410,Wood
54412,Wood
53506,Iowa
53801,Grant
53507,Iowa
53508,Dane
53511,Rock
53803,Lafayette
54923,Green Lake
54926,Waupaca
54414,Shawano
53804,Grant
54416,Shawano
53919,Fond Du Lac
53920,Marquette
53522,Green
53922,Dodge
53923,Columbia
53523,Dane
54618,Juneau
53806,Grant
53525,Rock
53526,Iowa
54930,Waushara
53530,Lafayette
53808,Grant
53928,Columbia
54626,Crawford
54427,Marathon
54429,Marathon
54932,Fond Du Lac
54933,Waupaca
53930,Marquette
53931,Fond Du Lac
54628,Crawford
53125,Walworth
53537,Rock
54131,Outagamie
53934,Adams
54631,Crawford
53128,Walworth
53810,Grant
53541,Lafayette
54941,Green Lake
54127,Shawano
54943,Waushara
54440,Marathon
53811,Grant
54634,Vernon
53138,Walworth
54637,Juneau
53940,Sauk
53813,Grant
53942,Sauk
53553,Iowa
53943,Sauk
53556,Richland
53944,Juneau
54640,Crawford
54950,Waupaca
53946,Green Lake
53947,Green Lake
54450,Shawano
53948,Juneau
53561,Sauk
54454,Wood
54643,Jackson
53949,Marquette
53569,Grant
53570,Green
53816,Grant
54649,Monroe
53065,Fond Du Lac
54962,Waupaca
54963,Winnebago
54651,Vernon
53576,Rock
53952,Marquette
53953,Marquette
53954,Columbia
53817,Grant
54466,Wood
53577,Sauk
54966,Waushara
54467,Portage
54469,Wood
53901,Columbia
53820,Grant
54967,Waushara
53955,Columbia
54968,Green Lake
54162,Brown
53956,Dodge
53958,Sauk
53580,Iowa
53582,Iowa
53960,Columbia
54971,Fond Du Lac
53961,Sauk
54974,Fond Du Lac
54473,Portage
54475,Wood
54976,Waushara
54977,Waupaca
54654,Crawford
53585,Walworth
54655,Crawford
53588,Sauk
54657,Crawford
54660,Monroe
53962,Juneau
54489,Wood
54666,Monroe
54982,Waushara
53826,Crawford
54491,Langlade
54984,Waushara
53191,Walworth
54670,Monroe
53598,Dane
53968,Juneau
53827,Grant
53969,Columbia
