year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15,0,0,0
2015,4024.774529,2464.680204,2464.680204,24.29,18.36025339,18.36025339,0,0,0
2016,3782.044173,2622.500479,2622.500479,22.69226504,17.9353362,17.9353362,0,0,0
2017,2897.382822,1996.050983,1996.050983,17.38429693,13.65103486,13.65103486,0,0,0
2018,2725.579913,1840.602853,1840.602853,16.35347948,13.28792181,13.28792181,0,0,0
2019,2586.77788,1739.192228,1739.192228,15.52066728,12.5243724,12.5243724,0,0,0
2020,2305.813222,1627.64054,1627.64054,13.83487933,11.55146805,11.55146805,0,0,0
2021,2115.788998,1556.653102,1556.653102,12.69473399,10.92598346,10.92598346,0,0,0
2022,2011.073961,1508.346352,1508.346352,12.30644376,10.59561258,10.59561258,0,0,0
2023,1946.358924,1460.039602,1460.039602,11.91815354,10.2652417,10.2652417,0,0,0
2024,1881.643887,1411.732853,1411.732853,11.52986332,9.934870813,9.934870813,0,0,0
2025,1816.92885,1363.426103,1363.426103,11.1415731,9.604499932,9.604499932,0,0,0
2026,1752.213813,1315.119353,1315.119353,10.75328288,9.27412905,9.27412905,0,0,0
2027,1687.498777,1266.812604,1266.812604,10.36499266,8.943758168,8.943758168,0,0,0
2028,1622.78374,1218.505854,1218.505854,9.976702439,8.613387286,8.613387286,0,0,0
2029,1558.068703,1170.199104,1170.199104,9.588412218,8.283016404,8.283016404,0,0,0
2030,1493.353666,1121.892355,1121.892355,9.200121998,7.952645522,7.952645522,0,0,0
2031,1468.0183,1111.321138,1111.321138,9.048109798,7.880348745,7.880348745,0,0,0
2032,1442.682933,1100.74992,1100.74992,8.896097598,7.808051967,7.808051967,0,0,0
2033,1417.347566,1090.178703,1090.178703,8.744085398,7.73575519,7.73575519,0,0,0
2034,1392.0122,1079.607486,1079.607486,8.592073199,7.663458412,7.663458412,0,0,0
2035,1366.676833,1069.036269,1069.036269,8.440060999,7.591161635,7.591161635,0,0,0
2036,1341.341467,1058.465052,1058.465052,8.288048799,7.518864857,7.518864857,0,0,0
2037,1316.0061,1047.893835,1047.893835,8.136036599,7.44656808,7.44656808,0,0,0
2038,1290.670733,1037.322618,1037.322618,7.9840244,7.374271303,7.374271303,0,0,0
2039,1265.335367,1026.7514,1026.7514,7.8320122,7.301974525,7.301974525,0,0,0
2040,1240,1016.180183,1016.180183,7.68,7.229677748,7.229677748,0,0,0
2041,1230,1010.894575,1010.894575,7.62,7.193529359,7.193529359,0,0,0
2042,1220,1005.608966,1005.608966,7.56,7.15738097,7.15738097,0,0,0
2043,1210,1000.323358,1000.323358,7.5,7.121232581,7.121232581,0,0,0
2044,1200,995.037749,995.037749,7.44,7.085084193,7.085084193,0,0,0
2045,1190,989.7521404,989.7521404,7.38,7.048935804,7.048935804,0,0,0
2046,1180,984.4665318,984.4665318,7.32,7.012787415,7.012787415,0,0,0
2047,1170,979.1809232,979.1809232,7.26,6.976639026,6.976639026,0,0,0
2048,1160,973.8953147,973.8953147,7.2,6.940490638,6.940490638,0,0,0
2049,1150,968.6097061,968.6097061,7.14,6.904342249,6.904342249,0,0,0
2050,1140,963.3240975,963.3240975,7.08,6.86819386,6.86819386,0,0,0
