year,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,434.8347214,1947.309157,307.7060752,611.1089537,7315.237608,401140.9772,0,0,0,0,0.174,1
2015,414.8013305,1901.195652,293.2310937,596.2668043,7160.153362,392636.7222,0,0,0,0,0.174,1
2016,394.7679395,1855.082147,278.7561121,581.4246549,7005.069117,384132.4673,0,0,0,0,0.174,1
2017,374.7345485,1808.968641,264.2811305,566.5825056,6849.984871,375628.2123,0,0,0,0,0.174,1
2018,354.7011575,1762.855136,249.806149,551.7403562,6694.900626,367123.9573,0,0,0,0,0.174,1
2019,357.769091,1782.111368,251.9745949,556.799106,6748.062726,370039.1732,0,0,0,0,0.174,1
2020,328.5711,1696.78024,230.9638435,530.6463224,6469.5995,354769.2644,0,0,0,0,0.174,1
2021,299.8709716,1625.175752,210.2491994,508.1041897,6233.758013,341836.5766,0,0,0,0,0.174,1
2022,271.1498616,1553.601663,189.5220763,485.4848774,5996.120295,328805.39,0,0,0,0,0.174,1
2023,242.8833743,1494.243765,169.0653434,466.1234308,5797.402578,317908.4344,0,0,0,0,0.174,1
2024,214.9784423,1444.484303,148.8236481,449.3385197,5629.637409,308708.8038,0,0,0,0,0.174,1
2025,187.35995,1402.255034,128.7523148,434.5857248,5486.39418,300853.867,0,0,0,0,0.174,1
2026,175.8175029,1368.817325,120.452882,424.1114907,5372.374389,294601.4371,0,0,0,0,0.174,1
2027,165.6972907,1338.498208,113.1824111,414.6362923,5268.550249,288908.0996,0,0,0,0,0.174,1
2028,157.3247749,1310.956174,107.1819266,406.1109125,5173.867365,283716.0352,0,0,0,0,0.174,1
2029,149.6524809,1282.990328,101.6992372,397.5382461,5077.381195,278425.0852,0,0,0,0,0.174,1
2030,142.7345537,1257.494059,96.75774766,389.7175101,4989.088461,273583.4334,0,0,0,0,0.174,1
2031,140.9503718,1241.775383,95.54827581,384.8460412,4926.724856,270163.6405,0,0,0,0,0.174,1
2032,139.1661899,1226.056707,94.33880396,379.9745723,4864.36125,266743.8475,0,0,0,0,0.174,1
2033,137.382008,1210.338032,93.12933212,375.1031035,4801.997644,263324.0546,0,0,0,0,0.174,1
2034,135.597826,1194.619356,91.91986027,370.2316346,4739.634038,259904.2617,0,0,0,0,0.174,1
2035,133.8136441,1178.90068,90.71038843,365.3601657,4677.270433,256484.4688,0,0,0,0,0.174,1
2036,132.0294622,1163.182004,89.50091658,360.4886968,4614.906827,253064.6759,0,0,0,0,0.174,1
2037,130.2452803,1147.463329,88.29144474,355.617228,4552.543221,249644.883,0,0,0,0,0.174,1
2038,128.4610983,1131.744653,87.08197289,350.7457591,4490.179615,246225.09,0,0,0,0,0.174,1
2039,126.6769164,1116.025977,85.87250104,345.8742902,4427.81601,242805.2971,0,0,0,0,0.174,1
2040,124.8927345,1100.307301,84.6630292,341.0028213,4365.452404,239385.5042,0,0,0,0,0.174,1
2041,123.1085526,1084.588626,83.45355735,336.1313525,4303.088798,235965.7113,0,0,0,0,0.174,1
2042,121.3243707,1068.86995,82.24408551,331.2598836,4240.725192,232545.9184,0,0,0,0,0.174,1
2043,119.5401887,1053.151274,81.03461366,326.3884147,4178.361586,229126.1255,0,0,0,0,0.174,1
2044,117.7560068,1037.432598,79.82514182,321.5169458,4115.997981,225706.3325,0,0,0,0,0.174,1
2045,115.9718249,1021.713923,78.61566997,316.645477,4053.634375,222286.5396,0,0,0,0,0.174,1
2046,114.187643,1005.995247,77.40619812,311.7740081,3991.270769,218866.7467,0,0,0,0,0.174,1
2047,112.4034611,990.2765713,76.19672628,306.9025392,3928.907163,215446.9538,0,0,0,0,0.174,1
2048,110.6192791,974.5578955,74.98725443,302.0310703,3866.543558,212027.1609,0,0,0,0,0.174,1
2049,108.8350972,958.8392198,73.77778259,297.1596015,3804.179952,208607.368,0,0,0,0,0.174,1
2050,107.0509153,943.1205441,72.56831074,292.2881326,3741.816346,205187.575,0,0,0,0,0.174,1
