year,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,908.2832659,2869,506.8545011,1600,0,0,0,0,0.174,1
2015,908.2832659,2869,506.8545011,1600,0,0,0,0,0.174,1
2016,896,2869,500,1600,0,0,0,0,0.174,1
2017,883.7167332,2869,493.1454984,1600,0,0,0,0,0.174,1
2018,871.4334672,2869,486.2909973,1600,0,0,0,0,0.174,1
2019,859.1502013,2869,479.4364963,1600,0,0,0,0,0.174,1
2020,846.8669354,2869,472.5819952,1600,0,0,0,0,0.174,1
2021,822.0644524,2869,458.7413239,1600,0,0,0,0,0.174,1
2022,797.2619703,2869,444.9006531,1600,0,0,0,0,0.174,1
2023,772.4594883,2869,431.0599823,1600,0,0,0,0,0.174,1
2024,747.6570053,2869,417.219311,1600,0,0,0,0,0.174,1
2025,722.8545232,2869,403.3786402,1600,0,0,0,0,0.174,1
2026,702.3682024,2869,391.9465415,1600,0,0,0,0,0.174,1
2027,681.8818815,2869,380.5144428,1600,0,0,0,0,0.174,1
2028,661.3955597,2869,369.0823436,1600,0,0,0,0,0.174,1
2029,640.9092388,2869,357.6502449,1600,0,0,0,0,0.174,1
2030,620.4229179,2869,346.2181461,1600,0,0,0,0,0.174,1
2031,615.3139698,2869,343.3671707,1600,0,0,0,0,0.174,1
2032,610.2050218,2869,340.5161952,1600,0,0,0,0,0.174,1
2033,605.0960738,2869,337.6652197,1600,0,0,0,0,0.174,1
2034,599.9871257,2869,334.8142443,1600,0,0,0,0,0.174,1
2035,594.8781777,2869,331.9632688,1600,0,0,0,0,0.174,1
2036,594.0407941,2869,331.4959788,1600,0,0,0,0,0.174,1
2037,593.2034114,2869,331.0286894,1600,0,0,0,0,0.174,1
2038,592.3660287,2869,330.5614,1600,0,0,0,0,0.174,1
2039,591.5286461,2869,330.0941105,1600,0,0,0,0,0.174,1
2040,590.6912625,2869,329.6268206,1600,0,0,0,0,0.174,1
2041,585.6582088,2869,326.8181969,1600,0,0,0,0,0.174,1
2042,580.6251541,2869,324.0095726,1600,0,0,0,0,0.174,1
2043,575.5920995,2869,321.2009484,1600,0,0,0,0,0.174,1
2044,570.5590458,2869,318.3923247,1600,0,0,0,0,0.174,1
2045,565.5259912,2869,315.5837004,1600,0,0,0,0,0.174,1
2046,560.8681075,2869,312.984435,1600,0,0,0,0,0.174,1
2047,556.2102229,2869,310.385169,1600,0,0,0,0,0.174,1
2048,551.5523393,2869,307.7859036,1600,0,0,0,0,0.174,1
2049,546.8944547,2869,305.1866376,1600,0,0,0,0,0.174,1
2050,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2051,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2052,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2053,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2054,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2055,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2056,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2057,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2058,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2059,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2060,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2061,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2062,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2063,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2064,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2065,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2066,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2067,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2068,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2069,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2070,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2071,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2072,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2073,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2074,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
2075,542.236571,2869,302.5873722,1600,0,0,0,0,0.174,1
