year,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2015,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2016,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2017,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2018,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2019,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2020,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2021,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2022,597.3337942,646.4052909,264.3236332,957.8767111,7834.848561,215911.2606,92.66773721,0,59.37558362,0,0.174,1
2023,619.457268,670.3462276,274.1133974,993.3536263,8125.028137,223907.974,96.09987563,0,61.57467931,0,0.174,1
2024,623.8819628,675.1344149,276.0713502,1000.449009,8183.064052,225507.3166,96.78630331,0,62.01449845,0,0.174,1
2025,615.0325732,665.5580402,272.1554445,986.2582433,8066.992222,222308.6313,95.41344794,0,61.13486017,0,0.174,1
2026,592.0241604,640.6594661,261.9740898,949.3622514,7765.205462,213992.0494,91.84402399,0,58.84780066,0,0.174,1
2027,569.0157476,615.7608919,251.792735,912.4662596,7463.418703,205675.4675,88.27460004,0,56.56074114,0,0.174,1
2028,546.0073348,590.8623177,241.6113803,875.5702678,7161.631944,197358.8856,84.70517609,0,54.27368162,0,0.174,1
2029,522.998922,565.9637436,231.4300255,838.6742759,6859.845184,189042.3037,81.13575213,0,51.9866221,0,0.174,1
2030,499.9905092,541.0651694,221.2486707,801.7782841,6558.058425,180725.7218,77.56632818,0,49.69956259,0,0.174,1
2031,498.5627364,539.5201038,220.6168731,799.4887262,6539.331235,180209.6415,77.3448298,0,49.55764053,0,0.174,1
2032,497.1349637,537.9750383,219.9850754,797.1991684,6520.604045,179693.5612,77.12333141,0,49.41571847,0,0.174,1
2033,495.7071909,536.4299727,219.3532778,794.9096105,6501.876855,179177.4809,76.90183302,0,49.27379641,0,0.174,1
2034,494.2794181,534.8849072,218.7214802,792.6200527,6483.149665,178661.4005,76.68033464,0,49.13187436,0,0.174,1
2035,492.8516454,533.3398416,218.0896825,790.3304948,6464.422475,178145.3202,76.45883625,0,48.9899523,0,0.174,1
2036,491.4238726,531.7947761,217.4578849,788.040937,6445.695285,177629.2399,76.23733787,0,48.84803024,0,0.174,1
2037,489.9960998,530.2497105,216.8260872,785.7513791,6426.968096,177113.1596,76.01583948,0,48.70610818,0,0.174,1
2038,488.5683271,528.704645,216.1942896,783.4618213,6408.240906,176597.0792,75.79434109,0,48.56418612,0,0.174,1
2039,487.1405543,527.1595794,215.5624919,781.1722634,6389.513716,176080.9989,75.57284271,0,48.42226407,0,0.174,1
2040,485.7127815,525.6145139,214.9306943,778.8827055,6370.786526,175564.9186,75.35134432,0,48.28034201,0,0.174,1
2041,484.2850088,524.0694483,214.2988966,776.5931477,6352.059336,175048.8383,75.12984593,0,48.13841995,0,0.174,1
2042,482.857236,522.5243827,213.667099,774.3035898,6333.332146,174532.758,74.90834755,0,47.99649789,0,0.174,1
2043,481.4294632,520.9793172,213.0353013,772.014032,6314.604956,174016.6776,74.68684916,0,47.85457584,0,0.174,1
2044,480.0016905,519.4342516,212.4035037,769.7244741,6295.877766,173500.5973,74.46535078,0,47.71265378,0,0.174,1
2045,478.5739177,517.8891861,211.7717061,767.4349163,6277.150576,172984.517,74.24385239,0,47.57073172,0,0.174,1
2046,477.1461449,516.3441205,211.1399084,765.1453584,6258.423386,172468.4367,74.022354,0,47.42880966,0,0.174,1
2047,475.7183722,514.799055,210.5081108,762.8558006,6239.696197,171952.3563,73.80085562,0,47.2868876,0,0.174,1
2048,474.2905994,513.2539894,209.8763131,760.5662427,6220.969007,171436.276,73.57935723,0,47.14496555,0,0.174,1
2049,472.8628266,511.7089239,209.2445155,758.2766848,6202.241817,170920.1957,73.35785885,0,47.00304349,0,0.174,1
2050,471.4350539,510.1638583,208.6127178,755.987127,6183.514627,170404.1154,73.13636046,0,46.86112143,0,0.174,1
