year,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,998.8685528,2940.042339,557.4043264,1639.61929,0,0,0,0,0.174,1
2015,998.8685528,2940.042339,557.4043264,1639.61929,0,0,0,0,0.174,1
2016,896,2869,500,1600,0,0,0,0,0.174,1
2017,793.1314482,2797.957664,442.5956742,1560.380712,0,0,0,0,0.174,1
2018,690.2628953,2726.915324,385.1913478,1520.761422,0,0,0,0,0.174,1
2019,587.3943425,2655.872985,327.7870215,1481.142132,0,0,0,0,0.174,1
2020,484.5257907,2584.830646,270.3826957,1441.522842,0,0,0,0,0.174,1
2021,443.1133298,2513.788309,247.2730635,1401.903554,0,0,0,0,0.174,1
2022,401.7008689,2442.74597,224.1634313,1362.284264,0,0,0,0,0.174,1
2023,360.2884079,2371.703631,201.0537991,1322.664974,0,0,0,0,0.174,1
2024,318.875948,2300.661294,177.9441674,1283.045685,0,0,0,0,0.174,1
2025,277.4634871,2229.618955,154.8345352,1243.426395,0,0,0,0,0.174,1
2026,258.3474954,2158.576616,144.1671291,1203.807105,0,0,0,0,0.174,1
2027,239.2315036,2087.53428,133.499723,1164.187817,0,0,0,0,0.174,1
2028,220.1155108,2016.49194,122.8323163,1124.568527,0,0,0,0,0.174,1
2029,200.9995191,1945.449601,112.1649102,1084.949237,0,0,0,0,0.174,1
2030,181.8835273,1874.407262,101.4975041,1045.329947,0,0,0,0,0.174,1
2031,179.6340483,1803.364925,100.2422145,1005.710659,0,0,0,0,0.174,1
2032,177.3845684,1732.322586,98.98692433,966.091369,0,0,0,0,0.174,1
2033,175.1350884,1661.280247,97.73163418,926.472079,0,0,0,0,0.174,1
2034,172.8856095,1590.23791,96.47634458,886.8527907,0,0,0,0,0.174,1
2035,170.6361295,1519.195571,95.22105443,847.2335008,0,0,0,0,0.174,1
2036,169.2094356,1448.153232,94.42490826,807.6142108,0,0,0,0,0.174,1
2037,167.7827417,1377.110895,93.62876209,767.9949225,0,0,0,0,0.174,1
2038,166.3560467,1306.068556,92.83261535,728.3756325,0,0,0,0,0.174,1
2039,164.9293528,1235.026217,92.03646918,688.7563426,0,0,0,0,0.174,1
2040,163.5026588,1163.983878,91.24032301,649.1370526,0,0,0,0,0.174,1
2041,162.1095149,1163.983878,90.46289893,649.1370526,0,0,0,0,0.174,1
2042,160.7163719,1163.983878,89.68547541,649.1370526,0,0,0,0,0.174,1
2043,159.323228,1163.983878,88.90805133,649.1370526,0,0,0,0,0.174,1
2044,157.930084,1163.983878,88.13062726,649.1370526,0,0,0,0,0.174,1
2045,156.5369411,1163.983878,87.35320374,649.1370526,0,0,0,0,0.174,1
2046,155.2476435,1163.983878,86.63372965,649.1370526,0,0,0,0,0.174,1
2047,153.9583469,1163.983878,85.91425611,649.1370526,0,0,0,0,0.174,1
2048,152.6690504,1163.983878,85.19478257,649.1370526,0,0,0,0,0.174,1
2049,151.3797528,1163.983878,84.47530848,649.1370526,0,0,0,0,0.174,1
2050,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2051,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2052,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2053,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2054,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2055,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2056,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2057,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2058,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2059,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2060,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2061,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2062,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2063,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2064,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2065,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2066,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2067,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2068,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2069,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2070,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2071,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2072,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2073,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2074,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
2075,150.0904562,1163.983878,83.75583494,649.1370526,0,0,0,0,0.174,1
