year,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,432,2197.661574,303.7205853,687.0306758,8356.548668,458242.6817,0,0,0,0,0.174,1
2015,413,2105.601933,290.8281609,658.2607169,8007.340965,439093.4036,0,0,0,0,0.174,1
2016,395,2013.542291,277.9357364,629.4907579,7658.133262,419944.1255,0,0,0,0,0.174,1
2017,377,1921.482649,265.0433119,600.7207989,7308.925559,400794.8474,0,0,0,0,0.174,1
2018,358,1829.423008,252.1508875,571.95084,6959.717856,381645.5693,0,0,0,0,0.174,1
2019,358,1782.111368,251.9745949,556.799106,6748.062726,370039.1732,0,0,0,0,0.174,1
2020,329,1696.78024,230.9638435,530.6463224,6469.5995,354769.2644,0,0,0,0,0.174,1
2021,305,1577.352051,214.7074109,493.2966836,6014.235551,329798.7646,0,0,0,0,0.174,1
2022,282,1457.923862,198.4509784,455.9470447,5558.871602,304828.2648,0,0,0,0,0.174,1
2023,259,1338.495674,182.1945459,418.5974059,5103.507653,279857.765,0,0,0,0,0.174,1
2024,236,1219.067485,165.9381133,381.247767,4648.143704,254887.2651,0,0,0,0,0.174,1
2025,213,1099.639296,149.6816808,343.8981281,4192.779755,229916.7653,0,0,0,0,0.174,1
2026,201,1039.829802,141.5404788,325.1934736,3964.734033,217411.5688,0,0,0,0,0.174,1
2027,190,980.0203073,133.3992768,306.4888191,3736.688312,204906.3723,0,0,0,0,0.174,1
2028,178,920.210813,125.2580748,287.7841645,3508.64259,192401.1758,0,0,0,0,0.174,1
2029,167,860.4013187,117.1168728,269.07951,3280.596868,179895.9793,0,0,0,0,0.174,1
2030,155,800.5918244,108.9756708,250.3748555,3052.551146,167390.7828,0,0,0,0,0.174,1
2031,152,784.9280713,106.8435381,245.476217,2992.827319,164115.7458,0,0,0,0,0.174,1
2032,149,769.2643182,104.7114054,240.5775785,2933.103493,160840.7087,0,0,0,0,0.174,1
2033,146,753.6005651,102.5792727,235.6789401,2873.379666,157565.6717,0,0,0,0,0.174,1
2034,143,737.9368121,100.44714,230.7803016,2813.655839,154290.6346,0,0,0,0,0.174,1
2035,140,722.273059,98.31500733,225.8816631,2753.932012,151015.5976,0,0,0,0,0.174,1
2036,137,706.6093059,96.18287464,220.9830246,2694.208186,147740.5605,0,0,0,0,0.174,1
2037,134,690.9455528,94.05074196,216.0843861,2634.484359,144465.5234,0,0,0,0,0.174,1
2038,131,675.2817997,91.91860927,211.1857477,2574.760532,141190.4864,0,0,0,0,0.174,1
2039,128,659.6180466,89.78647658,206.2871092,2515.036705,137915.4493,0,0,0,0,0.174,1
2040,125,643.9542935,87.65434389,201.3884707,2455.312879,134640.4123,0,0,0,0,0.174,1
2041,122,628.2905405,85.5222112,196.4898322,2395.589052,131365.3752,0,0,0,0,0.174,1
2042,119,612.6267874,83.39007851,191.5911938,2335.865225,128090.3382,0,0,0,0,0.174,1
2043,116,596.9630343,81.25794582,186.6925553,2276.141398,124815.3011,0,0,0,0,0.174,1
2044,113,581.2992812,79.12581313,181.7939168,2216.417571,121540.2641,0,0,0,0,0.174,1
2045,110,565.6355281,76.99368044,176.8952783,2156.693745,118265.227,0,0,0,0,0.174,1
2046,106,549.971775,74.86154775,171.9966399,2096.969918,114990.1899,0,0,0,0,0.174,1
2047,103,534.3080219,72.72941506,167.0980014,2037.246091,111715.1529,0,0,0,0,0.174,1
2048,100,518.6442688,70.59728237,162.1993629,1977.522264,108440.1158,0,0,0,0,0.174,1
2049,97,502.9805158,68.46514969,157.3007244,1917.798438,105165.0788,0,0,0,0,0.174,1
2050,94,487.3167627,66.333017,152.4020859,1858.074611,101890.0417,0,0,0,0,0.174,1
