CDMS,PBA Plus
COM1 ,12 
COM1 ,13 
COM1 ,14 
COM1 ,15 
COM1 ,41 
COM1 ,42 
COM1 ,43 
COM1 ,50 
COM1 ,51 
COM2 ,9 
COM2 ,10 
COM2 ,11 
COM2 ,20 
COM3 ,45 
COM3 ,46 
COM3 ,48 
COM4 ,2 
COM4 ,5 
COM4 ,6 
COM4 ,7 
COM4 ,8 
COM5 ,3 
COM6 ,35 
COM7 ,18 
COM7 ,19 
COM8_9,23 
COM8_9,24 
COM8_9,25 
COM8_9,26 
COM8_9,32 
COM8_9,33 
COM8_9,34 
COM8_9,22 
COM10 ,47 
EDU1 ,28 
EDU1 ,29 
EDU1 ,30 
EDU2 ,27 
EDU2 ,31 
GOV1 ,4 
GOV1 ,44 
GOV2 ,16 
REL1 ,21 
RES4 ,38 
RES4 ,39 
RES4 ,40 
RES5 ,17 
RES5 ,37 
RES6 ,36 
