year,batt_eff_res,batt_eff_com,batt_eff_ind,batt_lifetime_yrs_res,batt_lifetime_yrs_com,batt_lifetime_yrs_ind
2014,0.85,0.85,0.85,10,10,10
2015,0.85,0.85,0.85,10,10,10
2016,0.85,0.85,0.85,10,10,10
2017,0.85,0.85,0.85,10,10,10
2018,0.85,0.85,0.85,10,10,10
2019,0.85,0.85,0.85,10,10,10
2020,0.85,0.85,0.85,10,10,10
2021,0.85,0.85,0.85,10,10,10
2022,0.85,0.85,0.85,10,10,10
2023,0.85,0.85,0.85,10,10,10
2024,0.85,0.85,0.85,10,10,10
2025,0.85,0.85,0.85,10,10,10
2026,0.85,0.85,0.85,10,10,10
2027,0.85,0.85,0.85,10,10,10
2028,0.85,0.85,0.85,10,10,10
2029,0.85,0.85,0.85,10,10,10
2030,0.85,0.85,0.85,10,10,10
2031,0.85,0.85,0.85,10,10,10
2032,0.85,0.85,0.85,10,10,10
2033,0.85,0.85,0.85,10,10,10
2034,0.85,0.85,0.85,10,10,10
2035,0.85,0.85,0.85,10,10,10
2036,0.85,0.85,0.85,10,10,10
2037,0.85,0.85,0.85,10,10,10
2038,0.85,0.85,0.85,10,10,10
2039,0.85,0.85,0.85,10,10,10
2040,0.85,0.85,0.85,10,10,10
2041,0.85,0.85,0.85,10,10,10
2042,0.85,0.85,0.85,10,10,10
2043,0.85,0.85,0.85,10,10,10
2044,0.85,0.85,0.85,10,10,10
2045,0.85,0.85,0.85,10,10,10
2046,0.85,0.85,0.85,10,10,10
2047,0.85,0.85,0.85,10,10,10
2048,0.85,0.85,0.85,10,10,10
2049,0.85,0.85,0.85,10,10,10
2050,0.85,0.85,0.85,10,10,10
