state_abbr,saidi,saifi,saidi_hrs,interruption_duration_hrs,sector,sector_abbr,interruption_cost_per_event_usd,interruption_cost_per_average_kw_usd,interruption_cost_per_unserved_kwh_usd,value_of_resiliency_usd
AL,288.1433002,1.469826661,4.802388337,4,Small_C&I,com,1880,857.1,214.3,2763.274124
AL,288.1433002,1.469826661,4.802388337,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,57996.42041
AL,288.1433002,1.469826661,4.802388337,4,Residential,res,9.5,6.2,1.6,13.96335328
AR,322.8802448,1.724854848,5.381337414,4,Small_C&I,com,1880,857.1,214.3,3242.727114
AR,322.8802448,1.724854848,5.381337414,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,68059.32259
AR,322.8802448,1.724854848,5.381337414,4,Residential,res,9.5,6.2,1.6,16.38612106
AZ,114.6400489,0.930223413,1.910667481,1,Small_C&I,com,647,295,295,601.8545479
AZ,114.6400489,0.930223413,1.910667481,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,16561.69764
AZ,114.6400489,0.930223413,1.910667481,1,Residential,res,5.1,3.3,3.3,4.744139404
CA,195.0623659,0.953880824,3.251039432,1,Small_C&I,com,647,295,295,617.1608929
CA,195.0623659,0.953880824,3.251039432,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,16982.89418
CA,195.0623659,0.953880824,3.251039432,1,Residential,res,5.1,3.3,3.3,4.8647922
CO,113.2855519,0.959261329,1.888092531,1,Small_C&I,com,647,295,295,620.64208
CO,113.2855519,0.959261329,1.888092531,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,17078.6887
CO,113.2855519,0.959261329,1.888092531,1,Residential,res,5.1,3.3,3.3,4.892232779
CT,655.5375747,1.254683268,10.92562625,8,Small_C&I,com,4690,2138.1,267.3,5884.464528
CT,655.5375747,1.254683268,10.92562625,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,105497.5332
CT,655.5375747,1.254683268,10.92562625,8,Residential,res,17.2,11.3,1.4,21.58055221
DC,109.24,0.64,1.820666667,1,Small_C&I,com,647,295,295,414.08
DC,109.24,0.64,1.820666667,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,11394.56
DC,109.24,0.64,1.820666667,1,Residential,res,5.1,3.3,3.3,3.264
DE,135.9102386,1.031949372,2.265170644,1,Small_C&I,com,647,295,295,667.6712436
DE,135.9102386,1.031949372,2.265170644,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,18372.82662
DE,135.9102386,1.031949372,2.265170644,1,Residential,res,5.1,3.3,3.3,5.262941796
FL,309.2305987,1.130814885,5.153843311,4,Small_C&I,com,1880,857.1,214.3,2125.931984
FL,309.2305987,1.130814885,5.153843311,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,44619.69374
FL,309.2305987,1.130814885,5.153843311,4,Residential,res,9.5,6.2,1.6,10.74274141
GA,373.2132513,1.53769739,6.220220856,4,Small_C&I,com,1880,857.1,214.3,2890.871092
GA,373.2132513,1.53769739,6.220220856,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,60674.4636
GA,373.2132513,1.53769739,6.220220856,4,Residential,res,9.5,6.2,1.6,14.6081252
IA,126.7666205,1.01613061,2.112777008,1,Small_C&I,com,647,295,295,657.4365049
IA,126.7666205,1.01613061,2.112777008,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,18091.18939
IA,126.7666205,1.01613061,2.112777008,1,Residential,res,5.1,3.3,3.3,5.182266113
ID,174.1053125,1.175369011,2.901755208,1,Small_C&I,com,647,295,295,760.4637502
ID,174.1053125,1.175369011,2.901755208,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,20926.26987
ID,174.1053125,1.175369011,2.901755208,1,Residential,res,5.1,3.3,3.3,5.994381957
