Tab,Input,Can Be Used with Existing Shema,Explanation,
Main - Scenario Options,Scenario Name,TRUE,,
Main - Scenario Options,Tech Choice Mode,Sometimes,Can be set to True if both Wind and Solar were originally set to True, can always be set to False
Main - Scenario Options,Run model for Wind,Sometimes,Can only be changed from True to False,
Main - Scenario Options,Run model for Solar,Sometimes,Can only be changed from True to False,
Main - Scenario Options,Region to Analyze,FALSE,,
Main - Scenario Options,Analysis End Year,Unknown,Need to test,
Main - Scenario Options,Markets,Unknown,Need to test,
Main - Scenario Options,Load Growth Scenario,FALSE,,
Main - Scenario Options,Res Rate Structure,FALSE,,
Main - Scenario Options,Com Rate Structure,FALSE,,
Main - Scenario Options,Ind Rate Structure,FALSE,,
Main - Scenario Options,Res Rate Escalation,TRUE,,
Main - Scenario Options,Com Rate Escalation,TRUE,,
Main - Scenario Options,Ind Rate Escalation,TRUE,,
Main - Scenario Options,Res Max Market Curve,TRUE,,
Main - Scenario Options,Com Max Market Curve,TRUE,,
Main - Scenario Options,Ind Max Market Curve,TRUE,,
Main - Scenario Options,Carbon Price,TRUE,,
Main - Market Projections,Annual Infaltion,TRUE,,
Main - Market Projections,Avoided Costs,FALSE,,
Main - Market Projections,Carbon Price,TRUE,,
Main - Market Projections,User Defined Res. Rate Escalations,TRUE,,
Main - Market Projections,User Defined Com. Rate Escalations,TRUE,,
Main - Market Projections,User Defined Ind. Rate Escalations,TRUE,,
Main - Market Projections,User-Defined Flat Electric Rates,FALSE,,
Main - Market Projections,Rate Type Popularity Weights,FALSE,,
Main - Market Projections,Carbon and Natural Gas Intensities,TRUE,,
Main - Market Projections,State Wholesale Electricity Price,FALSE,,
Main - Net Metering,All Inputs,FALSE,,
Main - Federal Incentives,ITC Options,TRUE,,
Solar - Cost,User-Input Residential PV Cost,TRUE,,
Solar - Cost,User-Input Commercial PV Cost,TRUE,,
Solar - Cost,User-Input Industrial PV Cost,TRUE,,
Solar - Cost,All Other Inputs,FALSE,All other inputs on this tab are not active in the model,
Solar - Performance,PV Efficiency Improvement Factor,FALSE,,
Solar - Performance,Panel Power Density,FALSE,,
Solar - Performance,Inveter Lifetime,TRUE,,
Solar - Performance,Annual System Degradation,TRUE,,
Solar - Performance,System Sizing,FALSE,,
Solar - Performance,Rooftop Characteristics Data Source,FALSE,,
Solar - Finance,Residential Inputs,TRUE,,
Solar - Finance,Commercial Inputs,TRUE,,
Solar - Finance,Industrial Inputs,TRUE,,
Solar - Finance,Depreciation Schedule,TRUE,,
Solar - Leasing,Leasing Availability,TRUE,,
Solar - Incentives,Overwrite Existing Incentives,TRUE,,
Solar - Incentives,Incentive Start Year,TRUE,,
Solar - Incentives,Policy Scenario,TRUE,,
Solar - Incentives,Manual Entry of Policies,TRUE,,
Solar - Diffusion Parameters,Residential,TRUE,,
Solar - Diffusion Parameters,Commercial,TRUE,,
Solar - Diffusion Parameters,Industrial,TRUE,,
Wind - Cost,2.5 kW Wind Turbine,TRUE,,
Wind - Cost,5 kW Wind Turbine,TRUE,,
Wind - Cost,10 kW Wind Turbine,TRUE,,
Wind - Cost,20 kW Wind Turbine,TRUE,,
Wind - Cost,50 kW Wind Turbine,TRUE,,
Wind - Cost,100 kW Wind Turbine,TRUE,,
Wind - Cost,250 kW Wind Turbine,TRUE,,
Wind - Cost,500 kW Wind Turbine,TRUE,,
Wind - Cost,750 kW Wind Turbine,TRUE,,
Wind - Cost,1000 kW Wind Turbine,TRUE,,
Wind - Cost,1500 kW Wind Turbine,TRUE,,
Wind - Performance,Wind Performance Improvements,FALSE,,
Wind - Performance,Wind Generation Derate Factors,FALSE,,
Wind - Siting,Residential Parcel Size,FALSE,,
Wind - Siting,Highly Developed Land,FALSE,,
Wind - Siting,Required Clearance above Tree Canopy,FALSE,,
Wind - Finance,Residential Inputs,TRUE,,
Wind - Finance,Commercial Inputs,TRUE,,
Wind - Finance,Industrial Inputs,TRUE,,
Wind - Finance,Depreciation Schedule,TRUE,,
Wind - Leasing,Leasing Availability,TRUE,,
Wind - Incentives,Overwrite Existing Incentives,TRUE,,
Wind - Incentives,Incentive Start Year,TRUE,,
Wind - Incentives,Policy Scenario,TRUE,,
Wind - Incentives,Manual Entry of Policies,TRUE,,
Wind - Diffusion Parameters,Residential,TRUE,,
Wind - Diffusion Parameters,Commercial,TRUE,,
Wind - Diffusion Parameters,Industrial,TRUE,,
